x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.0038534811225108597,100000.0,385.348112251086,99807.32594387446,8004627.8961,80.046278961
1-2,0.0009775860032619475,99614.65188774891,97.38188940527468,99565.96094304627,7904820.570156125,79.35399482260598
2-3,0.0004741756131521111,99517.26999834365,47.18866252068879,99493.6756670833,7805254.609213079,78.4311568167313
3-4,0.0002942930639525448,99470.08133582296,29.27335500792818,99455.444658319,7705760.933545996,77.46812740134816
4-5,0.0002114173910371143,99440.80798081504,21.023516185926567,99430.29622272207,7606305.488887677,76.49078525543709
5-6,0.00016829592205617764,99419.7844646291,16.7319442971012,99411.41849248056,7506875.192664955,75.50685442630083
6-7,0.00014469936653752866,99403.052520332,14.383558731588732,99395.8607409662,7407463.774172475,74.51947989884259
7-8,0.00013197329693928427,99388.66896160042,13.116650321269518,99382.11063643979,7308067.9134315085,73.53019202073264
8-9,0.0001259814109118303,99375.55231127914,12.519472290317346,99369.29257513398,7208685.802795068,72.5398313280809
9-10,0.00012491705246213617,99363.03283898883,12.412137185944927,99356.82677039586,7109316.510219934,71.54890815118443
10-11,0.00012904956298146156,99350.62070180288,12.821154183504609,99344.21012471113,7009959.683449538,70.5577844801762
11-12,0.0001410694053138275,99337.79954761938,14.013524307366866,99330.79278546569,6910615.473324827,69.56682657352499
12-13,0.0001654121127036429,99323.78602331202,16.4293572878406,99315.57134466809,6811284.680539361,68.57657116434027
13-14,0.0002057024651115889,99307.35666602418,20.427768069916954,99297.14278198921,6711969.109194693,67.58783371676476
14-15,0.00026159323035420664,99286.92889795426,25.972788462364285,99273.94250372308,6612671.9664127035,66.60163668884468
15-16,0.00032740215873366333,99260.9561094919,32.49825130821506,99244.7069838378,6513398.02390898,65.61893295410371
16-17,0.0003936872699872691,99228.45785818368,39.06498067923511,99208.92536784407,6414153.316925142,64.64026001585337
17-18,0.0004507074236734496,99189.39287750445,44.705395719553636,99167.04017964467,6314944.391557298,63.66552116470801
18-19,0.0004916870275684599,99144.68748178489,48.7481566871227,99120.31340344132,6215777.351377653,62.694003171068864
19-20,0.0005144033227072307,99095.93932509776,50.975280455624414,99070.45168486994,6116657.037974211,61.72459819879887
20-21,0.0005208827211323134,99044.96404464214,51.590810386025346,99019.16863944913,6017586.586289342,60.75610854457031
21-22,0.0005159057608471296,98993.37323425611,51.07125153724278,98967.83760848749,5918567.417649892,59.78751126748961
22-23,0.0005052360066005928,98942.30198271887,49.9892135376188,98917.30737595005,5819599.580041405,58.81811382413407
23-24,0.0004942195238647096,98892.31276918126,48.8745117306647,98867.87551331593,5720682.272665455,57.84759312908137
24-25,0.00048700166605364413,98843.43825745059,48.13691910984895,98819.36979789566,5621814.397152139,56.875949443496616
25-26,0.0004863075479118633,98795.30133834074,48.04490073906211,98771.2788879712,5522995.027354243,55.903418002034726
26-27,0.000493595887634489,98747.25643760168,48.74123969278851,98722.88581775529,5424223.748466272,54.93037421139731
27-28,0.0005093861531327285,98698.5151979089,50.27565697657496,98673.37736942062,5325500.862648517,53.95725408806704
28-29,0.0005336120820036833,98648.23954093232,52.63989248743497,98621.9195946886,5226827.485279096,52.98449835093426
29-30,0.0005659203756457815,98595.59964844488,55.797258790069016,98567.70101904985,5128205.565684408,52.01251966588443
30-31,0.0006058856711200358,98539.80238965481,59.703854302891706,98509.95046250336,5029637.864665358,51.0416881574079
31-32,0.0006531447304971939,98480.09853535192,64.32175741720953,98447.93765664332,4931127.914202855,50.072329207029604
32-33,0.0007074671525846574,98415.7767779347,69.62592936649271,98380.96381325145,4832679.976546212,49.10472827390946
33-34,0.0007687829349789699,98346.15084856821,75.60684249324677,98308.34742732158,4734299.01273296,48.13913886698785
34-35,0.0008371844832084115,98270.54400607497,82.27057459833533,98229.4087187758,4635990.665305639,47.17579120167532
35-36,0.0009129159839494656,98188.27343147663,89.63764425199565,98143.45460935064,4537761.256586863,46.21490019125007
36-37,0.0009963585045432398,98098.63578722463,97.74141005069107,98049.76508219929,4439617.801977512,45.25667218866344
37-38,0.0010880155998194618,98000.89437717394,106.62650187862462,97947.58112623463,4341568.036895313,44.30131035525057
38-39,0.0011885017474158517,97894.26787529532,116.34750843178396,97836.09412107943,4243620.455769079,43.349018771710966
39-40,0.0012985344241909173,97777.92036686353,126.9679955221705,97714.43636910245,4145784.3616479994,42.400005503215695
40-41,0.0014189298173990738,97650.95237134137,138.55984801711304,97581.6724473328,4048069.925278897,41.45448484603747
41-42,0.0015506017919027263,97512.39252332425,151.2028905793886,97436.79107803456,3950488.2528315643,40.51267895910396
42-43,0.0016945636229865361,97361.18963274486,164.98473024234332,97278.69726762369,3853051.4617535295,39.57481904532581
43-44,0.0018519320275637472,97196.20490250252,180.00076481659292,97106.20452009422,3755772.764485906,38.641146207851634
44-45,0.002023933107608438,97016.20413768593,196.3543075287613,96918.02698392155,3658666.5599658117,37.711912071651575
45-46,0.0022119099156589933,96819.84983015717,214.15678587193932,96712.77143722119,3561748.5329818903,36.78737923297715
46-47,0.0024173314422062044,96605.69304428523,233.5279792920719,96488.9290546392,3465035.761544669,35.86782157813675
47-48,0.0026418029004259794,96372.16506499315,254.59626518903016,96244.86693239864,3368546.8324900297,34.95352449764193
48-49,0.002887077243488882,96117.56879980412,277.49884558139144,95978.81937701342,3272301.965557631,34.04478501087826
49-50,0.0031550678951146496,95840.06995422274,302.3819277781103,95688.87899033369,3176323.1461806176,33.14191180888916
50-51,0.00344786270774455,95537.68802644462,329.4008317305114,95372.98761057937,3080634.267190284,32.2452252176918
51-52,0.0037677391873343884,95208.28719471411,358.7199946225112,95028.92719740285,2985261.2795797046,31.355057081054643
52-53,0.004117181041595448,94849.5672000916,390.5128398797505,94654.31078015172,2890232.352382302,30.471750559337405
53-54,0.004498896121282165,94459.05436021184,424.96147328113824,94246.57362357127,2795578.04160215,29.595659839462748
54-55,0.004915835833095179,94034.09288693071,462.2561633461745,93802.96480525762,2701331.467978579,28.72714975010965
55-56,0.005371216108756202,93571.83672358454,502.5945567356224,93320.53944521672,2607528.5031733215,27.86659527562849
56-57,0.00586854001828922,93069.24216684891,546.1805721280034,92796.1518807849,2514207.9637281047,27.01438096187336
57-58,0.006411622116704652,92523.06159472092,593.2229080259394,92226.45014070795,2421411.81184732,26.170900207062303
58-59,0.007004614612105223,91929.83868669497,643.9330913532997,91607.87214101832,2329185.3617066117,25.336554430870716
59-60,0.007652035439508307,91285.90559534167,698.5229847431641,90936.64410297008,2237577.489565593,24.511752115211277
60-61,0.008358798318050005,90587.3826105985,757.2016614020231,90208.7817798975,2146640.845462623,23.69690771053883
61-62,0.009130244859201076,89830.18094919648,820.1715478125036,89420.09517529023,2056432.0636827257,22.892440402026377
62-63,0.00997217877954948,89010.00940138398,887.6237269199811,88566.19753792399,1967011.9685074354,22.098772730573952
63-64,0.010890902252820472,88122.385674464,959.7322886659346,87642.51953013105,1878445.7709695115,21.3163290643168
64-65,0.011893254411205756,87162.65338579807,1036.6476118730411,86644.32957986154,1790803.2514393805,20.545533917065985
65-66,0.012986651974707188,86126.00577392503,1118.4884629575863,85566.76154244624,1704158.9218595189,19.786810110906817
66-67,0.014110181000380322,85007.51731096745,1199.4714556507142,84407.78158314209,1618592.1603170726,19.040576780946008
67-68,0.015422821923839172,83808.04585531674,1292.5565670114977,83161.767571811,1534184.3787339306,18.30593188370592
68-69,0.01685548739470817,82515.48928830524,1390.838789567206,81820.06989352164,1451022.6111621195,17.5848513252138
69-70,0.01841874719714941,81124.65049873803,1494.2144289933567,80377.54328424136,1369202.5412685978,16.87776197309962
70-71,0.020124023620075236,79630.43606974468,1602.484776344433,78829.19368157246,1288824.9979843565,16.185080248154527
71-72,0.021983644980578296,78027.95129340026,1715.3387797959663,77170.28190350227,1209995.804302784,15.507209714541455
