x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.006586212953006464,100000.0,658.6212953006464,99670.68935234968,7411799.8994,74.117998994
1-2,0.0005642823357470949,99341.37870469935,56.05658521182446,99313.35041209344,7312129.210047651,73.60607740087414
2-3,0.00041572922350167695,99285.32211948752,41.275809869848416,99264.6842145526,7212815.859635558,72.64735316016909
3-4,0.00032428839004486657,99244.04630961767,32.18369199928409,99227.95446361802,7113551.175421005,71.67735939774592
4-5,0.00026783149881157267,99211.86261761839,26.57206186476457,99198.576586686,7014323.220957387,70.70044887668261
5-6,0.00023990789308946003,99185.29055575363,23.795334082696773,99173.39288871227,6915124.644370701,69.71925580521035
6-7,0.00022519791573679616,99161.49522167094,22.330962045264567,99150.3297406483,6815951.2514819885,68.73586603595724
7-8,0.00021065186891234533,99139.16425962567,20.883850233698137,99128.72233450883,6716800.92174134,67.75123607206714
8-9,0.00018686626336664866,99118.28040939197,18.521862691430773,99109.01947804625,6617672.1994068315,66.76540565548162
9-10,0.0001550219022941284,99099.75854670054,15.362633086798326,99092.07723015714,6518563.179928785,65.77779073858113
10-11,0.00012789255742875726,99084.39591361374,12.672156794675567,99078.05983521641,6419471.102698628,64.78791179486439
11-12,0.00012906513233306292,99071.72375681906,12.786705137138506,99065.33040425049,6320393.042863412,63.79613479197572
12-13,0.00018697710355539848,99058.93705168192,18.52175313120003,99049.67617511631,6221327.712459161,62.8043051704998
13-14,0.0003163087045201455,99040.41529855072,31.32734545822178,99024.75162582162,6122278.036284044,61.8159568276127
14-15,0.000493612300054082,99009.0879530925,48.87210363078289,98984.65190127712,6023253.284658222,60.83535773515919
15-16,0.0006866669609880473,98960.21584946172,67.95271067607108,98926.23949412369,5924268.632756946,59.86515471802268
16-17,0.0008632158192636498,98892.26313878565,85.3653659441833,98849.58045581356,5825342.393262822,58.90594681898949
17-18,0.001015106731579301,98806.89777284148,100.29954705567923,98756.74799931364,5726492.812807009,57.956407314520696
18-19,0.0011315823627123254,98706.5982257858,111.69464563563092,98650.75090296798,5627736.064807695,57.01479096599566
19-20,0.0012202475029320786,98594.90358015016,120.31018489550729,98534.74848770241,5529085.313904728,56.07881455464888
20-21,0.0013133186257252654,98474.59339525465,129.32851766671013,98409.9291364213,5430550.565417025,55.14671732250804
21-22,0.0014164049010012383,98345.26487758794,139.2967151628805,98275.6165200065,5332140.636280604,54.21858025312771
22-23,0.0014661542637308764,98205.96816242505,143.9850989451582,98133.97561295248,5233865.0197605975,53.294775436704526
23-24,0.0014619597122158751,98061.9830634799,143.3626685388031,97990.30172921049,5135731.044147645,52.37229437653792
24-25,0.0014306302079915832,97918.6203949411,140.08533626186346,97848.57772681017,5037740.7424184345,51.448240611432325
25-26,0.0013944552217915623,97778.53505867923,136.3477887917046,97710.36116428339,4939892.164691624,50.521233128795366
26-27,0.0013499790020905834,97642.18726988752,131.81490253254464,97576.27981862125,4842181.803527341,49.59108290091174
27-28,0.0013127999762448817,97510.37236735498,128.01161452749318,97446.36656009124,4744605.52370872,48.65744441867338
28-29,0.0012887256178277858,97382.36075282749,125.49914302671593,97319.61118131413,4647159.1571486285,47.72074861631138
29-30,0.0012814571083672609,97256.86160980078,124.63049664737017,97194.54636147709,4549839.545967314,46.78168173081186
30-31,0.0012929858461728557,97132.23111315341,125.59060003649805,97069.43581313516,4452644.999605837,45.84106581901495
31-32,0.0013240640791628332,97006.64051311692,128.44300814368015,96942.41900904507,4355575.563792702,44.89976707526281
32-33,0.0013746520574700427,96878.19750497324,133.17381352420063,96811.61059821115,4258633.144783657,43.95863315443127
33-34,0.0014442908076687595,96745.02369144904,139.7279484052562,96675.15971724641,4161821.534185446,43.01845588935749
34-35,0.001532383717300749,96605.29574304378,148.03638220166366,96531.27755194296,4065146.3744681994,42.07995372511363
35-36,0.0016383911113523502,96457.25936084212,158.034716362212,96378.242002661,3968615.0969162565,41.14376795705808
36-37,0.0017619524421381007,96299.22464447991,169.67465403834694,96214.38731746073,3872236.8549135956,40.21046762535446
37-38,0.0019029539583072755,96129.54999044156,182.9301076646079,96038.08493660926,3776022.467596135,39.28055907857257
38-39,0.002061558776928668,95946.61988277695,197.79959633597747,95847.72008460897,3679984.3826595256,38.3544973981945
