x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.004743951246054231,100000.0,474.3951246054231,99762.80243769729,8034683.538,80.34683538
1-2,0.000519223358644477,99525.60487539458,51.676018834525514,99499.76686597732,7934920.735562302,79.72743039840624
2-3,0.0003383615184295512,99473.92885656006,33.658149612058814,99457.09978175403,7835420.968696325,78.76858850116282
3-4,0.0002684906176428101,99440.270706948,26.698779700676702,99426.92131709766,7735963.868914571,77.79508054350109
4-5,0.0002145154179525263,99413.57192724732,21.325743932126993,99402.90905528126,7636536.947597473,76.81583912090022
5-6,0.000180302397126197,99392.24618331519,17.920660242608832,99383.28585319388,7537134.0385421915,75.83221355759477
6-7,0.00015883015301324936,99374.32552307258,15.783639328418069,99366.43370340837,7437750.752688997,74.84579858569316
7-8,0.00014383063515446948,99358.54188374415,14.29080218716088,99351.39648265057,7338384.318985589,73.85760881607912
8-9,0.00013050450986430636,99344.251081557,12.964872795235182,99337.76864515938,7239032.922502939,72.86816140533416
9-10,0.00011821178987416355,99331.28620876177,11.742129133240546,99325.41514419515,7139695.15385778,71.87760700946208
10-11,0.00011081466095465606,99319.54407962853,11.006061603355054,99314.04104882685,7040369.738713585,70.88604568169417
11-12,0.00011626341539594001,99308.53801802517,11.54594980795316,99302.7650431212,6941055.697664758,69.89384635191095
12-13,0.00014433162321985722,99296.99206821721,14.331696046055077,99289.82622019418,6841752.932621637,68.90191525561359
13-14,0.00019977732934823702,99282.66037217116,19.8344247397404,99272.74315980129,6742463.1064014435,67.91178924020201
14-15,0.0002729929076570281,99262.82594743141,27.098047477642798,99249.2769236926,6643190.363241642,66.92525927843127
15-16,0.0003578572349999002,99235.72789995377,35.512223199479905,99217.97178835403,6543941.086317949,65.94339785480626
16-17,0.0004348545617105248,99200.21567675429,43.13766630970452,99178.64684359943,6444723.114529595,64.96682563201115
17-18,0.0004862903582855879,99157.07801044459,48.21913099225109,99132.96844494846,6345544.467685996,63.994871521099036
18-19,0.0005011225046194947,99108.85887945234,49.665679591651205,99084.02603965651,6246411.499241048,63.02576348738568
19-20,0.0004885133793500496,99059.19319986069,48.3917412257534,99034.99732924781,6147327.473201391,62.05711226416527
20-21,0.00046823980703710903,99010.80145863493,46.36079856958073,98987.62105935015,6048292.475872143,61.087198434597255
21-22,0.0004550687695119056,98964.44066006535,45.035626236609936,98941.92284694704,5949304.854812793,60.11558106257744
22-23,0.00044639166814979144,98919.40503382873,44.156798225435686,98897.32663471601,5850362.931965847,59.14272260296271
