x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.005190700648642473,100000.0,519.0700648642473,99740.46496756788,7751031.7171,77.510317171
1-2,0.0005078446451459323,99480.92993513575,50.52085756169636,99455.6695063549,7651291.252132433,76.91214041848303
2-3,0.000377340327372425,99430.40907757405,37.51910311210593,99411.649526018,7551835.582626077,75.95096563199547
3-4,0.0002954920771205869,99392.88997446194,29.369811509571715,99378.20506870716,7452423.93310006,74.97944707126324
4-5,0.00023855519827382034,99363.52016295237,23.703684253657848,99351.66832082554,7353045.728031352,74.00146166291853
5-6,0.00020665348654724396,99339.8164786987,20.528919428286446,99329.55201898456,7253694.059710527,73.01900000254103
6-7,0.0001882094296405033,99319.28755927042,18.69282646383142,99309.9411460385,7154364.507691543,72.03398940434462
7-8,0.00017321057437326998,99300.5947328066,17.199913049276738,99291.99477628196,7055054.566545504,71.04745531010077
8-9,0.00015425842280722516,99283.39481975732,15.315299895842793,99275.73716980939,6955762.571769223,70.0596769922802
9-10,0.00013161425609240738,99268.07951986148,13.065094439728508,99261.54697264162,6856486.834599413,69.07040881381786
10-11,0.00011389082096728326,99255.01442542174,11.304235078030825,99249.36230788272,6757225.287626771,68.07943484511824
11-12,0.00011739039485457631,99243.71019034371,11.650258326077587,99237.88506118067,6657975.925318888,67.087132399114
12-13,0.0001618400127287589,99232.05993201764,16.0597178424987,99224.0300730964,6558738.040257708,66.0949500065906
13-14,0.00025730942962364926,99216.00021417515,25.52921242464927,99203.23560796282,6459514.010184612,65.10556761248809
14-15,0.00038676415725190887,99190.4710017505,38.363318924411935,99171.28934228829,6360310.774576649,64.12219551275649
15-16,0.000530487045976707,99152.10768282608,52.598908707026766,99125.80822847257,6261139.485234361,63.14681181829117
16-17,0.000661377254701158,99099.50877411905,65.54216105526018,99066.73769359142,6162013.677005889,62.180062779636785
17-18,0.000765662646282976,99033.96661306379,75.82660894885832,98996.05330858937,6062946.939312298,61.22088356816883
18-19,0.0008317461668140583,98958.14000411493,82.30805362347151,98916.9859773032,5963950.8860037085,60.26741090480998
19-20,0.0008683311436840269,98875.83195049145,85.8569642402799,98832.90346837131,5865033.900026405,59.31716360134509
20-21,0.0009027607737658678,98789.97498625118,89.18371425889885,98745.38312912174,5766200.996558034,58.36828076290665
21-22,0.0009403663178204799,98700.79127199229,92.81489965441115,98654.38382216508,5667455.613428912,57.42056918075723
22-23,0.0009577247740297127,98607.97637233789,94.43930188872454,98560.75672139353,5568801.229606747,56.47414574840561
23-24,0.0009502866025716615,98513.53707044917,93.61609444999456,98466.72902322416,5470240.4728853535,55.52780496525534
24-25,0.000926405205079738,98419.92097599916,91.1767270757021,98374.33261246131,5371773.74386213,54.58014689091347
25-26,0.0008955192699253036,98328.74424892347,88.05528526246783,98284.71660629223,5273399.411249668,53.630293476542626
26-27,0.0008715976314381668,98240.688963661,85.62635181158059,98197.87578775521,5175114.694643376,52.677915324450126
27-28,0.0008621588011917251,98155.06261184943,84.62525111233082,98112.74998629326,5076916.818855621,51.72343314508495
28-29,0.0008727988998138225,98070.4373607371,85.59576983271172,98027.63947582073,4978804.068869328,50.767633986943075
29-30,0.0008995245433360947,97984.84159090438,88.13976988591784,97940.77170596142,4880776.429393508,49.811545848807846
30-31,0.0009347811960371937,97896.70182101846,91.51199601634816,97850.94582301029,4782835.657687546,48.85594273065356
31-32,0.0009763081577682595,97805.18982500212,95.48800469822274,97757.44582265301,4684984.711864536,47.90118725036107
32-33,0.0010278111498111208,97709.70182030389,100.4271209756283,97659.48825981608,4587227.266041882,46.94751064206672
33-34,0.0010883635031977658,97609.27469932826,106.23437215635396,97556.15751325009,4489567.777782066,45.99529902882234
34-35,0.0011585761646891696,97503.04032717191,112.96469850778827,97446.55797791801,4392011.620268816,45.04486840134831
35-36,0.0012384321154971924,97390.07562866413,120.61099738923807,97329.7701299695,4294565.0622908985,44.09653688601213
36-37,0.0013316890910095192,97269.46463127488,129.53268493780502,97204.69828880597,4197235.292160929,43.150595184949744
37-38,0.00144113945404061,97139.93194633708,139.99218849068623,97069.93585209173,4100030.5938721234,42.20746825452893
38-39,0.0015666567634203216,96999.9397578464,151.96561167299382,96923.9569520099,4002960.6580200316,41.26766127910125
39-40,0.0017056247061633704,96847.97414617341,165.1862974455847,96765.38099745061,3906036.701068022,40.33163042907444
40-41,0.0018565784363444155,96682.78784872782,179.49917908560994,96593.03825918502,3809271.3200705713,39.39968431641263
41-42,0.0020242404917226228,96503.2886696422,195.34586450948674,96405.61573738746,3712678.2818113863,38.47203896357278
42-43,0.0022070881215543532,96307.94280513273,212.5601165765445,96201.66274684445,3616272.666073999,37.54905941030307
43-44,0.002406010006486698,96095.38268855619,231.2064523258348,95979.77946239327,3520071.0033271546,36.63101082323233
44-45,0.0026224218142537965,95864.17623623036,251.3963069673609,95738.47808274667,3424091.223864761,35.71815205950395
45-46,0.0028581046025198697,95612.779929263,273.271326375546,95476.14426607522,3328352.7457820144,34.81075174515816
46-47,0.0031152107013329563,95339.50860288745,297.00265745954044,95191.00727415767,3232876.6015159395,33.90909654235441
47-48,0.0033958892180706688,95042.50594542791,322.7538211984961,94881.12903482866,3137685.5942417816,33.01349815043174
48-49,0.0037027105114598546,94719.75212422942,350.71982183325616,94544.39221331279,3042804.4652069528,32.12428661359007
49-50,0.0040379587968282695,94369.03230239615,381.05826413363167,94178.50317032934,2948260.07299364,31.241817374435232
50-51,0.0044036509488778585,93987.97403826252,413.89023105670225,93781.02892273417,2854081.5698233107,30.366454847312845
51-52,0.004802031182745256,93574.08380720581,449.34566833902016,93349.4109730363,2760300.5409005764,29.498558025828252
52-53,0.005236111485788137,93124.73813886679,487.611510979933,92880.93238337681,2666951.12992754,28.638481924648275
53-54,0.005708766643453691,92637.12662788686,528.8437384386762,92372.70475866752,2574070.1975441636,27.78659368272421
54-55,0.00622329424029904,92108.28288944818,573.2169463897375,91821.67441625331,2481697.492785496,26.943260854880148
55-56,0.006783495344694079,91535.06594305843,620.9276937010025,91224.60209620793,2389875.818369243,26.108855592630718
56-57,0.007393510930440141,90914.13824935743,672.1746748781702,90578.05091191836,2298651.216273035,25.283759605885958
57-58,0.008057527745959326,90241.96357447926,727.1271253512175,89878.40001180365,2208073.1653611166,24.468363474147267
58-59,0.008780363375814086,89514.83644912804,785.9727915499117,89121.85005335308,2118194.765349313,23.663057984282855
59-60,0.009567120805835853,88728.86365757813,848.8797575765884,88304.42377878983,2029072.9152959601,22.868239619596004
60-61,0.010422734373836557,87879.98390000153,915.9497289667491,87422.00903551816,1940768.4915171703,22.08430640731076
61-62,0.011352962157447775,86964.03417103479,987.2993890027531,86470.3844765334,1853346.4824816522,21.31164337243854
62-63,0.01236509187307638,85976.73478203203,1063.1102245269476,85445.17966976855,1766876.0980051188,20.55063038256219
63-64,0.013466772836594754,84913.62455750509,1143.5124926478147,84341.86831118118,1681430.9183353502,19.801662302103875
64-65,0.014665460018710231,83770.11206485727,1228.52722925004,83155.84845023225,1597089.050024169,19.065141619813712
65-66,0.015969720320279233,82541.58483560722,1318.166024617249,81882.5018232986,1513933.2015739367,18.341460302575246
66-67,0.017356463455006674,81223.41881098997,1409.751300283649,80518.54316084814,1432050.699750638,17.63100742020076
67-68,0.018910305570217847,79813.66751070632,1509.300841307225,79059.0170900527,1351532.15658979,16.933592938934844
68-69,0.02059289046929628,78304.3666693991,1612.51324609055,77498.11004635382,1272473.1394997374,16.250347121407888
69-70,0.02241547382590466,76691.85342330855,1719.0842330702894,75832.31130677341,1194975.0294533835,15.581511935271616
70-71,0.024394428506827836,74972.76919023826,1828.917857970172,74058.31026125318,1119142.71814661,14.927322683077934
71-72,0.02654494171154182,73143.8513322681,1941.599270172737,72173.05169718173,1045084.4078853569,14.288069179429552
72-73,0.028876897664956443,71202.25206209536,2056.1001463115617,70174.20198893957,972911.3561881752,13.664053144550834
73-74,0.031403722476219045,69146.15191578379,2171.446565061756,68060.42863325292,902737.1541992356,13.05549375037847
74-75,0.034140981179608065,66974.70535072204,2286.5821548887966,65831.41427327764,834676.7255659827,12.462566594284901
75-76,0.03709706576437133,64688.12319583324,2399.7395603695804,63488.253415648454,768845.3112927051,11.885416878847225
76-77,0.04029731228785619,62288.383635463666,2510.0544472640704,61033.35641183163,705357.0578770566,11.324054610328083
77-78,0.04377790479164679,59778.3291881996,2616.970003804722,58469.84418629724,644323.7014652251,10.77854985603071
78-79,0.04756808470766409,57161.359184394874,2719.056375688508,55801.83099655062,585853.8572789278,10.249123982322427
79-80,0.05167838257436485,54442.302808706365,2813.4901527777456,53035.557732317495,530052.0262823772,9.736032440523653
80-81,0.05643247113881686,51628.81265592862,2913.5414801370744,50172.04191586008,477016.4685500597,9.239346093993179
81-82,0.0613729970769171,48715.271175791546,2989.8021954730784,47220.370078055006,426844.4266341996,8.762025055632138
82-83,0.06671605944970542,45725.46898031847,3050.623106856588,44200.157426890175,379624.0565561446,8.302245226168058
83-84,0.07248901316206967,42674.845873461876,3093.4574642106722,41128.11714135654,335423.89912925445,7.859990874339487
84-85,0.07872009765716859,39581.3884092512,3115.850760982575,38023.463028759914,294295.78198789794,7.4352061364050925
85-86,0.08543827923676306,36465.537648268626,3115.552788111471,34907.76125421289,256272.318959138,7.02779488488649
86-87,0.09267305279702326,33349.98486015716,3090.6449077252705,31804.662406294523,221364.55770492513,6.63762093545616
87-88,0.10045419876835768,30259.33995243189,3039.6777501808997,28739.50107734144,189559.8952986306,6.264508597894781
88-89,0.10881149139526523,27219.662202250987,2961.8120395022597,25738.75618249986,160820.39422128917,5.908243571369147
89-90,0.11777435509442781,24257.850162748728,2856.952658894992,22829.37383330123,135081.6380387893,5.568574178359209
90-91,0.12737146653474707,21400.897503853736,2725.8637002256582,20037.965653740906,112252.26420548807,5.245212925545501
91-92,0.13763030133738421,18675.033803628077,2570.250529879169,17389.908538688494,92214.29855174717,4.937838374023843
92-93,0.14857662593497753,16104.783273748908,2392.794360227674,14908.38609363507,74824.39001305867,4.646097295517401
93-94,0.16023393718132609,13711.988913521234,2197.125970200201,12613.425928421133,59916.0039194236,4.369607085981605
94-95,0.17262285476935216,11514.862943321034,1987.7285135539016,10520.998686544082,47302.57799100247,4.107958403312077
95=96,0.18576047437082976,9527.134429767131,1769.765011068207,8642.251924233027,36781.57930445839,3.860717991921673
96-97,0.1996596925942748,7757.369418698924,1548.8339934776554,6982.952421960096,28139.327380225364,3.6274316538795093
97-98,0.21432851826168733,6208.535425221269,1330.6661982628696,5543.202326089834,21156.374958265267,3.4076273242028354
98-99,0.2297693879756786,4877.8692269584,1120.785026903628,4317.476713506586,15613.172632175432,3.2008182068281976
99-100,0.24597850728032675,3757.084200054772,924.1619632559733,3295.003218426785,11295.695918668847,3.0065059277894743
100-101,0.2629452416592211,2832.9222367987986,744.9034221568413,2460.4705257203777,8000.692700242062,2.8241836631854893
101-102,0.28065158387292444,2088.0188146419573,586.0057874857315,1795.0159208990915,5540.222174521684,2.6533392015778805
102-103,0.2990717254067392,1502.0130271562257,449.20962761501187,1277.4082133487198,3745.206253622592,2.4934579034333835
103-104,0.31817175977616596,1052.8033995412138,334.97231033035797,885.3172443760349,2467.798040273872,2.344025523995533
104-105,0.33790954385909705,717.8310892108559,242.56197592311912,596.5501012492963,1582.4807958978372,2.204530870399511
105-106,0.35823474010445544,475.2691132877368,170.25790727830739,390.1401596485831,985.9306946485409,2.074468268784048
106-107,0.37908905733468434,305.01120600942943,115.62641056262981,247.19800072811452,595.7905349999578,1.9533398224770107
107-108,0.4004067009888417,189.38479544679961,75.83094116229964,151.46932486564978,348.5925342718433,1.8406574479722
108-109,0.4221150352867834,113.55385428449998,47.93278920825197,89.587459680374,197.12320940619352,1.7359446814752524
109-110,0.4441354503484243,65.621065076248,29.144641289982662,51.04874443125667,107.53574972581953,1.638738255785227
