x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.004330980912839588,100000.0,433.09809128395875,99783.45095435802,8094877.2161,80.948772161
1-2,0.0004077387297361092,99566.90190871604,40.59728210801966,99546.60326766204,7995093.765145642,80.29870983106038
2-3,0.00022557026953400964,99526.30462660802,22.45017536034792,99515.07953892785,7895547.1618779795,79.33126012765807
3-4,0.00018106796492023508,99503.85445124767,18.01696042720669,99494.84597103407,7796032.082339052,78.34904612824573
4-5,0.00014946686133464595,99485.83749082046,14.869835877001583,99478.40257288195,7696537.236368018,77.36314464938968
5-6,0.0001308704247815409,99470.96765494345,13.017807790433363,99464.45875104824,7597058.833795136,76.37463485977842
6-7,0.00011902078734194858,99457.94984715302,11.837563498224187,99452.0310654039,7497594.375044088,75.38456590515278
7-8,0.00010873900632730484,99446.1122836548,10.813671432838207,99440.70544793838,7398142.343978684,74.39347978608372
8-9,9.568024042191491e-05,99435.29861222196,9.5139932776423,99430.54161558313,7298701.638530746,73.40151576347391
9-10,7.99065306089009e-05,99425.78461894432,7.944769501967662,99421.81223419333,7199271.096915163,72.40849166548527
10-11,6.653506501707817e-05,99417.83984944236,6.614772438240113,99414.53246322324,7099849.28468097,71.41423808275184
11-12,6.53947622738821e-05,99411.22507700411,6.50097343126607,99407.97459028848,7000434.752217746,70.4189566801455
12-13,8.78747465497463e-05,99404.72410357285,8.735164936448921,99400.35652110462,6901026.777627458,69.42352931272225
13-14,0.0001380190236513222,99395.98893863641,13.718537348168217,99389.12966996232,6801626.421106353,68.42958648266419
14-15,0.0002031729667837197,99382.27040128825,20.191790723131586,99372.17450592668,6702237.291436391,67.43896335205392
15-16,0.00027324880389835513,99362.07861056512,27.150569133191254,99348.50332599852,6602865.116930464,66.4525663035836
16-17,0.00033265026981326714,99334.92804143194,33.04379061486381,99318.4061461245,6503516.6136044655,65.47059268912837
17-18,0.0003706538499699669,99301.88425081708,36.80662570683737,99283.48093796366,6404198.207458341,64.4922123661077
18-19,0.0003812079469606716,99265.07762511024,37.84063644635997,99246.15730688705,6304914.726520377,63.51594012077292
19-20,0.0003733693927293317,99227.23698866388,37.048413216666916,99208.71278205555,6205668.56921349,62.53997145886921
20-21,0.00036287172076685285,99190.18857544722,35.99331441156116,99172.19191824144,6106459.856431435,61.56314393723193
21-22,0.00035902642416491985,99154.19526103565,35.59897616551987,99136.39577295289,6007287.664513193,60.58531006881017
22-23,0.0003582518718537768,99118.59628487013,35.509422654573534,99100.84157354284,5908151.2687402405,59.606890030605534
23-24,0.0003635579536075549,99083.08686221555,36.02244429674669,99065.07564006718,5809050.427166698,58.6280727733557
24-25,0.00040722822271224175,99047.06441791881,40.334760007773994,99026.89703791493,5709985.35152663,57.649213382376885
25-26,0.00047631631572735616,99006.72965791104,47.158520702870554,98983.1503975596,5610958.454488715,56.672495636162814
26-27,0.0005138052655594724,98959.57113720817,50.845948727804746,98934.14816284427,5511975.3040911555,55.69926426266299
27-28,0.000553574941134767,98908.72518848037,54.75339172392787,98881.3484926184,5413041.155928311,54.727640515164104
28-29,0.0005957702701240725,98853.97179675644,58.89425748019103,98824.52466801634,5314159.807435692,53.75767620507544
29-30,0.0006405516155932341,98795.07753927624,63.28334653044223,98763.43586601103,5215335.282767676,52.789424459880664
30-31,0.000688096642461462,98731.7941927458,67.93701608822445,98697.82568470169,5116571.8469016645,51.822940003632574
31-32,0.0007386024511951424,98663.85717665758,72.87336675504673,98627.42049328005,5017874.0212169625,50.85827946329386
32-33,0.0007922880068838021,98590.98380990254,78.11245405946087,98551.92758287281,4919246.600723682,49.895501704381914
33-34,0.0008493968972343417,98512.87135584308,83.67652726729897,98471.03309220943,4820694.673140809,48.93466819912036
34-35,0.0009102004585689236,98429.19482857578,89.5902982695396,98384.39967944102,4722223.6400486,47.97584343012072
35-36,0.0009750013148031137,98339.60453030624,95.88124371426682,98291.6639084491,4623839.240369159,47.019095332483126
36-37,0.0010441373807640866,98243.72328659198,102.57994390897385,98192.4333146375,4525547.57646071,46.06449577708893
37-38,0.0011179863882162704,98141.143342683,109.72046238110144,98086.28311149245,4427355.1431460725,45.11212109774303
38-39,0.0011969710007182469,98031.4228803019,117.34077034686862,97972.75249512847,4329268.86003458,44.16205266469195
39-40,0.0012815645920623247,97914.08210995504,125.4832206964015,97851.34049960684,4231296.107539452,43.21437750688214
40-41,0.001372297772672242,97788.59888925863,134.19507644846888,97721.5013510344,4133444.7670398448,42.269188985116685
41-42,0.0014697657590849167,97654.40381281017,143.52909894791992,97582.63926333621,4035723.2656888105,41.32658751800613
42-43,0.0015746366936569888,97510.87471386224,153.5442013550369,97434.10261318472,3938140.6264254744,40.38668136227502
43-44,0.0016876610350621947,97357.33051250721,164.3061731836301,97275.17742591539,3840706.52381229,39.44958744856799
44-45,0.0018096821551368011,97193.02433932357,175.88848175065064,97105.08009844825,3743431.3463863744,38.51543227338189
45-46,0.0019416482943519042,97017.13585757292,188.37315636076343,96922.94927939255,3646326.266287926,37.58435284711925
46-47,0.0020846260468162024,96828.76270121217,201.85176080793207,96727.8368208082,3549403.3170085335,36.656497697497684
47-48,0.002239815566419792,96626.91094040424,216.42645925937634,96518.69771077455,3452675.4801877253,35.73202792664254
48-49,0.00240856770870157,96410.48448114486,232.21117970155933,96294.37889129408,3356156.782476951,34.8111183191214
49-50,0.0025924033484413765,96178.2733014433,249.33287775397147,96053.60686256632,3259862.403585657,33.893958496931525
50-51,0.0027930351410173655,95928.94042368933,267.93290164392556,95794.97397286737,3163808.7967230906,32.98075411601022
51-52,0.0030123920263868628,95661.0075220454,288.16845629554325,95516.92329389763,3068013.8227502233,32.07172809718933
52-53,0.0032526468082741938,95372.83906574985,310.2141605832596,95217.73198545822,2972496.899456326,31.16712188264724
53-54,0.003516247177864949,95062.6249051666,334.26368654322624,94895.49306189499,2877279.1674708677,30.26719670681521
54-55,0.0038059505910296547,94728.36121862337,360.5314623672902,94548.09548743971,2782383.6744089727,29.372234868367624
55-56,0.004124863450750668,94367.82975625608,389.25441188824203,94173.20255031195,2687835.578921533,28.48254098736804
56-57,0.004476485091791697,93978.57534436784,420.6936914768854,93768.2284986294,2593662.376371221,27.59844322886578
57-58,0.004864757112334668,93557.88165289095,455.13637018586644,93330.31346779801,2499894.147872592,26.72029447126056
58-59,0.005294118646676085,93102.74528270509,492.89697985790286,92856.29679277613,2406563.834404794,25.84847339460613
59-60,0.00576956822316407,92609.84830284718,534.3188379201521,92342.68888388711,2313707.5376120177,24.983385460754345
60-61,0.006296732900989122,92075.52946492704,579.7750157577995,91785.64195704814,2221364.8487281306,24.125463753909578
61-62,0.0068819454262906,91495.75444916924,629.668788856468,91180.920054741,2129579.2067710822,23.275169646851502
62-63,0.00753233018968643,90866.08566031278,684.4333602378072,90523.86898019387,2038398.2867163413,22.432993254893166
63-64,0.008255898800268864,90181.65230007497,744.5305950304529,89809.38700255974,1947874.4177361473,21.59945363669643
64-65,0.009061656110711181,89437.12170504453,810.4484404229363,89031.89748483305,1858065.0307335875,20.775098698517116
65-66,0.009959717528388779,88626.6732646216,882.6966311964369,88185.32494902337,1769033.1332487543,19.96050475647183
66-67,0.01096143842060461,87743.97663342516,961.8001966462598,87263.07653510204,1680847.808299731,19.15627571020561
67-68,0.012079556358299515,86782.1764367789,1048.2901911639628,86258.03134119693,1593584.731764629,18.36304178111459
68-69,0.01332834682967253,85733.88624561494,1142.6909709372471,85162.54076014631,1507326.700423432,17.581457769278806
69-70,0.014723792877578487,84591.1952746777,1245.5032384911503,83968.44365543211,1422164.1596632858,16.812200785736024
70-71,0.016283768853546834,83345.69203618655,1357.181984056161,82667.10104415847,1338195.7160078536,16.05596742092973
71-72,0.018028238113902834,81988.51005213038,1478.1083818239226,81249.45586121842,1255528.6149636952,15.313470316333326
72-73,0.01997946398244623,80510.40167030646,1608.5546703841667,79706.12433511438,1174279.1591024767,14.585434114602982
73-74,0.022162232637375413,78901.84699992229,1748.6410887308791,78027.52645555684,1094573.0347673623,13.872590774312803
74-75,0.024604085710776477,77153.20591119141,1898.28409110014,76204.06386564135,1016545.5083118054,13.175674248480593
75-76,0.02733555927579108,75254.92182009127,2057.1353762081285,74226.3541319872,940341.4444461641,12.495414541711945
76-77,0.030390424495038513,73197.78644388315,2224.5118021267845,72085.53054281976,866115.0903141769,11.832531178769747
77-78,0.03380592346838017,70973.27464175636,2399.3170908395427,69773.61609633658,794029.5597713571,11.187726137469193
78-79,0.03762299170553038,68573.95755091682,2579.957436153536,67283.97883284005,724255.9436750205,10.561676320595227
79-80,0.041886456124247205,65994.00011476329,2764.2547902705974,64611.87271962799,656971.9648421805,9.955025664449936
80-81,0.04664519451899693,63229.74532449269,2949.363770047598,61755.06343946889,592360.0921225525,9.368377004882474
81-82,0.05195223906678296,60280.38155444509,3131.7007935534252,58714.53115766838,530605.0286830836,8.80228384426934
82-83,0.057864802687722934,57148.680760891664,3306.897136092664,55495.23219284533,471890.4975254152,8.257242183766072
83-84,0.06444420307139845,53841.783624799,3469.7908376428422,52106.88820597758,416395.2653325699,7.7336826029809
84-85,0.07175565511461669,50371.99278715615,3614.4753418711366,48564.755116220585,364288.3771265923,7.231962782689005
85-86,0.0798678987017518,46757.51744528502,3734.4246668654164,44890.30511185231,315723.62201037176,6.752360673977763
86-87,0.08885262564237037,43023.0927784196,3822.714756617885,41111.73540011066,270833.31689851946,6.295068518048743
87-88,0.09878366776877494,39200.37802180172,3872.357118916048,37264.1994623437,229721.5814984088,5.860187913765695
88-89,0.10973590846459495,35328.02090288567,3876.752468034359,33389.64466886849,192457.3820360651,5.447726114211645
89-90,0.12178388317950785,31451.26843485131,3830.2576009172744,29536.13963439267,159067.73736719662,5.0575937087145535
90-91,0.1350000418326749,27621.010833934037,3728.8376180418613,25756.592024913105,129531.59773280394,4.689603813256058
91-92,0.14945265848542896,23892.173215892177,3570.7488041094466,22106.798813837453,103775.00570789084,4.343472850718477
92-93,0.1652033922017396,20321.42441178273,3357.168247197748,18642.840288183856,81668.2068940534,4.018822954492339
93-94,0.18230452818041892,16964.256164584982,3092.660716016428,15417.925806576768,63025.36660586954,3.7151859765854582
94-95,0.20079595995443925,13871.595448568554,2785.360324194953,12478.915286471078,47607.44079929277,3.4320090270658454
95-96,0.22070201065886427,11086.235124373601,2446.754382586178,9862.857933080511,35128.525512821696,3.1686614183015123
96-97,0.2420282317504474,8639.480741787424,2090.998247176854,7593.981618198996,25265.667579741184,2.9244428380442185
97-98,0.2647583573432898,6548.48249461057,1733.765468364383,5681.599760428378,17671.68596154219,2.6985925328633105
98-99,0.28885162630616185,4814.717026246187,1390.7388432351784,4119.347604628598,11990.08620111381,2.490299250351153
99-100,0.3142407061873331,3423.9781830110082,1075.9533221994009,2886.001521911308,7870.738596485213,2.298711666896129
100-101,0.34083045633848735,2348.0248608116076,800.2783848045335,1947.885668409341,4984.7370745739045,2.12294901888343
101-102,0.36849774661505413,1547.746476007074,570.3410887399978,1262.5759316370752,3036.8514061645637,1.96211165926808
102-103,0.3970924993311611,977.4053872670763,388.12034808962477,783.345213222264,1774.2754745274885,1.8152912779502282
103-104,0.42644004599947116,589.2850391774516,251.29473921363262,463.6376695706353,990.9302613052246,1.6815805517282536
104-105,0.45634479166337244,337.990299963819,154.24011302122972,260.8702434532041,527.2925917345892,1.5600820254043817
105-106,0.4865950679569844,183.75018694258927,89.4119347024378,139.04421959137036,266.4223482813851,1.4499160665595723
106-107,0.5169689448273311,94.33825224015146,48.769946717445706,69.9532788814286,127.37812869001473,1.350227777866348
107-108,0.5472406752940382,45.56830552270576,24.936830286250547,33.09989037958048,57.42484980858613,1.2601927842142935
108-109,0.5771873818466258,20.63147523645521,11.908227175363077,14.67736164877367,24.324959429005652,1.1790218174037388
109-110,0.6065955673239156,8.723248061092132,5.2914836065254285,6.077506257829418,9.647597780231981,1.105963938279215
