x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.004286950346349171,100000.0,428.6950346349171,99785.65248268255,8092636.5309,80.92636530899999
1-2,0.0003975879880567294,99571.30496536508,39.588354809362535,99551.5107879604,7992850.878417317,80.27263357849486
2-3,0.0002156161893281404,99531.71661055571,21.460649452856398,99520.98628582928,7893299.367629357,79.3043628345524
3-4,0.00017328002276791312,99510.25596110286,17.243139418580764,99501.63439139357,7793778.381343528,78.32135799540104
4-5,0.00014414499777214065,99493.01282168427,14.34142011152524,99485.8421116285,7694276.746952134,77.33484521915275
5-6,0.0001282487653582226,99478.67140157275,12.758016786728032,99472.29239317938,7594790.904840506,76.3459221744334
6-7,0.00011862705594872367,99465.91338478602,11.799348472087914,99460.01371054997,7495318.612447326,75.35565056796418
7-8,0.00010950515779391802,99454.11403631393,10.890738450800873,99448.66866708852,7395858.598736776,74.3645315269342
8-9,9.612002203578466e-05,99443.22329786312,9.558484814700059,99438.44405545577,7296409.930069688,73.37262095994907
9-10,7.860840784212893e-05,99433.66481304842,7.816322076861655,99429.75665201,7196971.486014232,72.37962615122069
10-11,6.271474300528674e-05,99425.84849097156,6.235466536193858,99422.73075770347,7097541.729362222,71.3852769383881
11-12,5.9437047251403684e-05,99419.61302443537,5.909208237049635,99416.65842031685,6998118.998604519,70.3897227691333
12-13,8.155208455007263e-05,99413.70381619832,8.107394779054482,99409.6501188088,6898702.340184202,69.39387705480638
13-14,0.00013369850777940966,99405.59642141926,13.290379906465981,99398.95123146604,6799292.690065393,68.39949595232574
14-15,0.00020195757222241063,99392.3060415128,20.073028825730763,99382.26952709994,6699893.738833928,67.40857522749909
15-16,0.00027592444968109307,99372.23301268707,27.41922870760703,99358.52339833326,6600511.4693068275,66.4220906504549
16-17,0.00033784771611661724,99344.81378397947,33.5634184449481,99328.032074757,6501152.945908494,65.44028518735703
17-18,0.00037485723359324846,99311.25036553452,37.22754057671075,99292.63659524616,6401824.913833737,64.46223252925088
18-19,0.00038006354873558424,99274.0228249578,37.73043741211085,99255.15760625176,6302532.277238491,63.48621822600317
19-20,0.0003643254812916211,99236.29238754569,36.15430998568862,99218.21523255284,6203277.119632239,62.51016609333502
20-21,0.00034468858062540675,99200.13807756,34.19315479179852,99183.0415001641,6104058.9043996865,61.532766210740604
21-22,0.00033361321146864535,99165.9449227682,33.083069354007506,99149.4033880912,6004875.862899522,60.55381076211397
22-23,0.0003379610940910706,99132.8618534142,33.50305045235882,99116.11032818802,5905726.459511431,59.57385219286932
23-24,0.00035508814702924765,99099.35880296184,35.18900768913028,99081.76429911728,5806610.349183243,58.59382360614928
24-25,0.0003843552894463324,99064.16979527271,38.07583765542267,99045.131876445,5707528.584884126,57.614459361839685
25-26,0.00041614734734750906,99026.09395761728,41.20944631864763,99005.48923445796,5608483.45300768,56.636420047104814
26-27,0.00045242347762815206,98984.88451129863,44.78308568322273,98962.49296845702,5509477.963773223,55.65979079507178
27-28,0.0005070571957635139,98940.1014256154,50.16829037743019,98915.01728042669,5410515.470804766,54.684757675051195
28-29,0.0005810342579431968,98889.93313523797,57.458438917285335,98861.20391577932,5311600.453524339,53.712246384679055
29-30,0.0006630126091954746,98832.47469632069,65.5271769216533,98799.71110785985,5212739.2496085595,52.74318249771214
30-31,0.0007475567393706983,98766.94751939904,73.83389724519881,98730.03057077643,5113939.5385007,51.777843367046046
31-32,0.000822651577197601,98693.11362215383,81.19004557980689,98652.51859936393,5015209.507929924,50.81620514203891
32-33,0.000876858463369997,98611.92357657403,86.46869977731428,98568.68922668537,4916556.98933056,49.85763192736789
33-34,0.0009091877597818522,98525.45487679672,89.57813760092277,98480.66580799627,4817988.300103875,48.90094956809519
34-35,0.0009319022368075673,98435.8767391958,91.73261371537055,98390.01043233811,4719507.634295879,47.944995164721654
