x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.0048504344703454785,100000.0,485.04344703454785,99757.47827648273,7893455.5617,78.934555617
1-2,0.0004256171222835826,99514.95655296545,42.3552694322489,99493.77891824933,7793698.083423518,78.31685159080013
2-3,0.0002752503051492471,99472.60128353321,27.379863857281904,99458.91135160456,7694204.304505268,77.34998587775922
3-4,0.0002136046236417183,99445.22141967593,21.24195909431722,99434.60044012878,7594745.393153664,76.37114468379062
4-5,0.0001722737076024969,99423.97946058161,17.128137566268894,99415.41539179848,7495310.792713535,75.38735457360347
5-6,0.00015085828200175596,99406.85132301535,14.996346809794076,99399.35314961046,7395895.377321737,74.40025791873552
6-7,0.0001402233750695393,99391.85497620555,13.937061359185728,99384.88644552596,7296496.024172126,73.4114080667768
7-8,0.00013253133245343167,99377.91791484636,13.170687877702346,99371.33257090751,7197111.1377266,72.42163338432555
8-9,0.00012142133472707887,99364.74722696866,12.065000233117344,99358.7147268521,7097739.805155693,71.43116651766906
9-10,0.00010704341635860223,99352.68222673553,10.63505052994035,99347.36470147056,6998381.09042884,70.43978012045653
10-11,9.687684077218768e-05,99342.0471762056,9.623943686272426,99337.23520436246,6899033.72572737,69.44726751493627
11-12,0.00010505695530005287,99332.42323251933,10.435561947384716,99327.20545154564,6799696.490523008,68.45394755553423
12-13,0.00014787018729972248,99321.98767057195,14.6867609198282,99314.64429011203,6700369.285071462,67.4610873404491
13-14,0.00023131062834283139,99307.30090965213,22.970834172442263,99295.8154925659,6601054.64078135,66.47099035333629
14-15,0.0003374849330984747,99284.33007547968,33.50696549325014,99267.57659273305,6501758.825288785,65.48625367513587
15-16,0.0004496730875028493,99250.82310998644,44.63042406506675,99228.5078979539,6402491.248696052,64.5081929607881
16-17,0.0005464934065484741,99206.19268592137,54.21553019163349,99179.08492082555,6303262.740798098,63.53698867119826
17-18,0.0006152309995639234,99151.97715572974,61.0013700142589,99121.47647072261,6204083.655877273,62.57145680648441
18-19,0.0006472824806222401,99090.97578571548,64.13985261385625,99058.90585940855,6104962.17940655,61.60966859997976
19-20,0.0006534159804468488,99026.83593310163,64.70571709177683,98994.48307455574,6005903.273547141,60.64924943784407
20-21,0.0006558968851509819,98962.13021600984,64.90895295658673,98929.67573953155,5906908.790472585,59.68857761629893
21-22,0.0006637281634618045,98897.22126305326,65.64087104040206,98864.40082753306,5807979.114733053,58.727424699674955
22-23,0.0006715705587492946,98831.58039201285,66.3723796659399,98798.39420217989,5709114.713905521,57.766097549593646
23-24,0.0006771427713169614,98765.2080123469,66.87814666317675,98731.76893901532,5610316.3197033405,56.80458161949074
24-25,0.0006826439505005314,98698.32986568373,67.37581780731492,98664.64195678008,5511584.550764325,55.84273369432809
25-26,0.000683378576058146,98630.95404787641,67.40228093249421,98597.25290741016,5412919.908807545,54.88053888417283
26-27,0.0006977397034648367,98563.55176694391,68.77170338230853,98529.16591525276,5314322.655900135,53.91772679282083
27-28,0.0007376715207987127,98494.7800635616,72.65679420022222,98458.4516664615,5215793.489984882,52.95502448575423
28-29,0.0008097805757245346,98422.12326936137,79.70032364509457,98382.27310753883,5117335.038318421,51.9937476283997
29-30,0.0009016280552806994,98342.42294571627,88.6682875521382,98298.0888019402,5018952.765210882,51.03548005911221
30-31,0.000997308189642173,98253.75465816414,97.9892741836799,98204.7600210723,4920654.676408942,50.08108538476166
31-32,0.001084402117166124,98155.76538398046,106.44031979444975,98102.54522408322,4822449.91638787,49.13058237101699
32-33,0.0011580577254963224,98049.325064186,113.5467783702808,97992.55167500087,4724347.371163786,48.18337472564026
33-34,0.0012148582283147014,97935.77828581573,118.9780860969275,97876.28924276726,4626354.819488785,47.23865884832439
34-35,0.001261530786985198,97816.8001997188,123.39890493632512,97755.10074725063,4528478.5302460175,46.295508757186234
35-36,0.0013089621244172195,97693.40129478247,127.87696210036239,97629.46281373229,4430723.429498767,45.35335417516474
36-37,0.0013617284970719142,97565.52433268211,132.85775481557647,97499.09545527432,4333093.966685034,44.412142468582545
37-38,0.0014198328647064566,97432.66657786653,138.33810210324128,97363.49752681491,4235594.87122976,43.472020421864826
38-39,0.0014870589653800238,97294.3284757633,144.68240344051276,97221.98727404304,4138231.3737029457,42.53312026028124
39-40,0.0015663163653839652,97149.64607232278,152.16708053433922,97073.56253205561,4041009.3864289024,41.59571907673842
40-41,0.0016589227227186661,96997.47899178843,160.9113219459043,96917.02333081549,3943935.8238968467,40.66018895429984
41-42,0.001774044211945808,96836.56766984252,171.7923523793827,96750.67149365283,3847018.800566031,39.72692230978458
42-43,0.0018999573917811556,96664.77531746314,183.65895438927868,96572.9458402685,3750268.1290723784,38.79663627992593
43-44,0.002039964024702211,96481.11636307386,196.81800644377853,96382.70735985196,3653695.18323211,37.869536764921655
44-45,0.0021952978913735164,96284.29835663008,211.37271715468856,96178.61199805274,3557312.475872258,36.94592510500757
45-46,0.0023673641904750427,96072.92563947539,227.43960383306563,95959.20583755885,3461133.8638742054,36.02611079902474
46-47,0.002557611887557411,95845.48603564233,245.13555445347663,95722.9182584156,3365174.6580366464,35.1104136170297
47-48,0.002767528910543241,95600.35048118886,264.5767338147566,95468.06211428148,3269451.739778231,34.19916060267536
48-49,0.002998778775707467,95335.7737473741,285.8908948792746,95192.82829993447,3173983.6776639493,33.29268282937046
49-50,0.0032532933049245682,95049.88285249482,309.2251475178859,94895.27027873587,3078790.849364015,32.3913166115302
50-51,0.0035333371472892126,94740.65770497693,334.75068522760694,94573.28236236313,2983895.579085279,31.495407055090862
51-52,0.0038413039444615293,94405.90701974931,362.64178301543143,94224.5861282416,2889322.2967229155,30.605312611619542
52-53,0.004179587628212475,94043.26523673389,393.06206790015733,93846.73420278382,2795097.710594674,29.721402203109506
53-54,0.004550914770687673,93650.20316883373,426.19409287894695,93437.10612239425,2701250.97639189,28.84404822402832
54-55,0.00495833315450651,93224.00907595479,462.2356949973224,92992.89122845612,2607813.870269496,27.973629284112473
55-56,0.005405219720387532,92761.77338095747,501.3977667768705,92511.07449756903,2514820.97904104,27.11053149785182
56-57,0.005895310345246315,92260.3756141806,543.9035468145897,91988.42384077329,2422309.904543471,26.25514895661402
57-58,0.006432710949377367,91716.472067366,589.9855541060087,91421.479290313,2330321.4807026978,25.407883973023626
58-59,0.0070220259547251794,91126.48651326,639.8925534590257,90806.54023653048,2238900.0014123847,24.56914654650487
59-60,0.007668254279045488,90486.59395980097,693.8742113284954,90139.65685413673,2148093.4611758543,23.739355932992165
60-61,0.008376244117312618,89792.71974847247,752.1257405706431,89416.65687818715,2057953.8043217175,22.91893830687456
61-62,0.009152145663455381,89040.59400790183,814.9124863209099,88633.13776474138,1968537.1474435304,22.108311039219192
62-63,0.010003907702235594,88225.68152158092,882.6015749087278,87784.38073412655,1879904.009678789,21.307900117710567
63-64,0.01093986051906462,87343.0799466722,955.521111922104,86865.31939071114,1792119.6289446624,20.518163889329884
64-65,0.011967804571375336,86387.55883475009,1033.8694215324779,85870.62412398386,1705254.3095539513,19.739582094406853
65-66,0.013095156508125151,85353.68941321761,1117.7199214119894,84794.82945251162,1619383.6854299675,18.97262668506506
66-67,0.013979946248724492,84235.96949180562,1177.6143257046388,83647.1623289533,1534588.8559774559,18.21773839887649
67-68,0.015330767778610345,83058.35516610098,1273.348355124835,82421.68098853857,1450941.6936485025,17.468943259794802
68-69,0.01681813219520484,81785.00681097615,1375.4710561327252,81097.27128290979,1368520.012659964,16.733140535439784
69-70,0.018456107323696742,80409.53575484343,1484.047021740021,79667.51224397341,1287422.7413770542,16.0108217177402
70-71,0.020264406036185248,78925.48873310341,1599.3781502919715,78125.79965795742,1207755.229133081,15.302473871492376
71-72,0.022258402867749705,77326.11058281144,1721.155721548381,76465.53272203724,1129629.4294751235,14.608641517865571
72-73,0.024448752764915864,75604.95486126306,1848.4468492056444,74680.73143666024,1053163.8967530862,13.929826407352108
73-74,0.026851059751508408,73756.50801205741,1980.4404036943622,72766.28781021023,978483.165316426,13.2663976602101
74-75,0.029490457279674007,71776.06760836305,2116.7090555074237,70717.71308060935,905716.8775062157,12.618647241140936
75-76,0.032393731085079876,69659.35855285563,2256.526528520364,68531.09528859545,834999.1644256064,11.986891377876121
76-77,0.035601841900520854,67402.83202433526,2399.664969377748,66202.9995396464,766468.069137011,11.371452001605565
77-78,0.03915915435291834,65003.167054957514,2545.469052133618,63730.432528890706,700265.0695973645,10.772783870750775
78-79,0.04311004644087731,62457.6980028239,2692.554261492028,61111.420872077884,636534.6370684739,10.191452093538482
79-80,0.04748665115385165,59765.14374133187,2838.046532004427,58346.120475329655,575423.2161963959,9.628073826558031
80-81,0.05248288562591379,56927.09720932745,2987.6983318524085,55433.24804340124,517077.0957210663,9.083145304593955
81-82,0.057867497310945634,53939.39887747504,3121.3380194963106,52378.729867726885,461643.84767766506,8.558564931846995
82-83,0.06379998875537779,50818.06085797873,3242.191711309147,49196.965002324156,409265.11780993815,8.05353669345455
83-84,0.0703300554387008,47575.86914666958,3346.0135146296466,45902.862389354756,360068.152807614,7.568293743569361
84-85,0.07751010187744155,44229.85563203994,3428.2606160639475,42515.725324007966,314165.2904182593,7.103014150258251
85-86,0.08539490650000175,40801.59501597599,3484.2483914402073,39059.47082025588,271649.5650942513,6.657817298267043
86-87,0.09404113503945945,37317.346624535785,3509.3656332322857,35562.66380791964,232590.09427399543,6.232760775147656
87-88,0.10350667595655633,33807.9809913035,3499.3517332122674,32058.305124697366,197027.43046607578,5.827837826717826
88-89,0.11384977213626271,30308.62925809123,3450.6305347961516,28583.313990693154,164969.1253413784,5.442975462090159
89-90,0.12512792611726076,26857.998723295077,3360.68567990595,25177.6558833421,136385.81135068525,5.0780332799849335
90-91,0.13739656216108914,23497.313043389127,3228.450032184585,21883.088027296835,111208.15546734315,4.732803076759924
91-92,0.15070743828511193,20268.863011204543,3054.6684213704966,18741.528800519296,89325.06744004632,4.407009282694732
92-93,0.16510681557810267,17214.194589834045,2842.1808514693025,15793.104164099394,70583.53863952702,4.100310256816232
93-94,0.1806334109913164,14372.013738364743,2596.0658643748843,13073.980806177302,54790.434475427624,3.8123004523137696
94-95,0.19731618313345703,11775.947873989859,2323.5850872742267,10614.155330352745,41716.453669250324,3.5425134448320375
95=96,0.21517202742468086,9452.362786715632,2033.8840647712088,8435.420754330027,31102.298338897577,3.2904257951894107
96-97,0.23420348536008762,7418.478721944423,1737.4335727490322,6549.761935569907,22666.87758456755,3.055461696953744
97-98,0.25439659962398536,5681.045149195391,1445.238568265644,4958.425865062569,16117.115648997642,2.8369983384624775
98-99,0.27571906844758404,4235.806580929747,1167.8926446180958,3651.860258620699,11158.689783935073,2.6343718889746315
99-100,0.2981188643696662,3067.913936311651,914.6030186771019,2610.6124269731,7506.829525314374,2.446884000383445
100-101,0.3215234799402462,2153.3109176345492,692.3400196311852,1807.1409078189567,4896.217098341274,2.2738087000087552
101-102,0.3458399423571203,1460.970898003364,505.2620911509137,1208.339852427907,3089.0761905223176,2.1143995371461566
102-103,0.3709556989920328,955.7088068524504,354.5256284787924,778.4459926130542,1880.7363380944105,1.967896836996264
103-104,0.3967404175928102,601.1831783736579,238.51366523773797,481.92634575478894,1102.2903454813563,1.8335349110454342
104-105,0.42304867336278107,362.66951313592,153.42685640127667,285.9560849352817,620.3639997265674,1.7105490736246958
105-106,0.4497234179997635,209.24265673464333,94.10132277805504,162.19199534561582,334.4079147912857,1.598182320994777
106-107,0.4766000531276986,115.1413339565883,54.87636588090407,87.70315101613626,172.21591944566987,1.4956915429744837
107-108,0.5035108727660548,60.26496807568423,30.344066673006196,45.09293473918113,84.51276842953361,1.402353160187484
108-109,0.5302896052665397,29.920901402678034,15.866742994045188,21.98752990565544,39.419833690352476,1.3174681190194442
109-110,0.5567757796680275,14.054158408632846,7.825015005544517,10.141650905860587,17.432303784697037,1.2403662515991813
