x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.005579675073199948,100000.0,557.9675073199948,99721.01624634,7694802.6636,76.948026636
1-2,0.0004521447671204387,99442.03249268001,44.962194623385905,99419.55139536831,7595081.647353659,76.37697517810427
2-3,0.00033123154297321335,99397.07029805663,32.92344496184225,99380.60857557571,7495662.095958291,75.41129807429387
3-4,0.0002512865442847982,99364.14685309479,24.968873088521395,99351.66241655053,7396281.487382715,74.43611928070764
4-5,0.00019853691589610936,99339.17798000626,19.722494023805144,99329.31673299437,7296929.824966164,73.45470310248388
5-6,0.0001720003531706934,99319.45548598246,17.082981420309945,99310.9139952723,7197600.50823317,72.46919018045774
6-7,0.0001604663685659859,99302.37250456214,15.934691105793892,99294.40515900924,7098289.594237898,71.48157103609773
7-8,0.00015415647442645487,99286.43781345634,15.305647211683885,99278.78498985051,6998995.189078888,70.49296301906715
8-9,0.00014519503017168257,99271.13216624466,14.41367503005498,99263.92532872963,6899716.404089037,69.50375455106536
9-10,0.00013373860186773634,99256.7184912146,13.274454756994533,99250.08126383611,6800452.478760308,68.51377500820993
10-11,0.00012891790897752943,99243.44403645761,12.794257284908578,99237.04690781517,6701202.397496471,67.52287229204529
11-12,0.00014789898798275126,99230.6497791727,14.676112679210462,99223.3117228331,6601965.350588656,66.53151385464703
12-13,0.00021053791731370574,99215.97366649349,20.888724459995014,99205.52930426349,6502742.038865823,65.54128129331541
13-14,0.00032468413833553524,99195.0849420335,32.20707068152437,99178.98140669274,6403536.50956156,64.55497783285922
14-15,0.0004691504856841042,99162.87787135197,46.52231231517828,99139.61671519438,6304357.528154868,63.57578222299848
15-16,0.0006210784466876921,99116.35555903679,61.55903215195156,99085.57604296082,6205217.911439673,62.605388146496686
16-17,0.0007549122469433789,99054.79652688483,74.77767901662983,99017.40768737652,6106132.335396713,61.64398443582108
17-18,0.0008575412598782634,98980.01884786821,84.87945006557516,98937.57912283542,6007114.927709336,60.69017765032195
18-19,0.0009179458836216257,98895.13939780263,90.78038612039978,98849.74920474243,5908177.348586501,59.74183751155899
19-20,0.0009465875457108045,98804.35901168223,93.5269757023975,98757.59552383103,5809327.599381758,58.79626827693793
20-21,0.0009719303813380439,98710.83203597984,95.94005662292548,98662.86200766837,5710570.003857926,57.85150308302982
21-22,0.0009991340572990874,98614.89197935691,98.5294971334461,98565.62723079018,5611907.141850258,56.907298981020034
22-23,0.0010088470837165506,98516.36248222346,99.38794498855373,98466.66850972918,5513341.514619468,55.96371380047968
23-24,0.0009987220161284545,98416.9745372349,98.29119923109002,98367.82893761936,5414874.846109739,55.01972471284498
24-25,0.000974944385697776,98318.68333800382,95.85524832958428,98270.75571383903,5316507.01717212,54.07422919705733
25-26,0.0009389293037552977,98222.82808967424,92.22429159111414,98176.71594387868,5218236.2614582805,53.1265120639186
26-27,0.000926624000181202,98130.60379808312,90.93017263157643,98085.13871176733,5120059.545514402,52.17597107676634
27-28,0.0009488476212151664,98039.67362545154,93.02471110422098,97993.16126989943,5021974.406802635,51.22389968359612
28-29,0.0010179093280249436,97946.64891434732,99.70080757869835,97896.79851055797,4923981.245532735,50.272074645848
29-30,0.0011197235905874878,97846.94810676861,109.56153606213854,97792.16733873755,4826084.447022177,49.322789728260624
30-31,0.0012274088466396982,97737.38657070647,119.96373292432915,97677.4047042443,4728292.27968344,48.37751903937841
31-32,0.0013271792639026694,97617.42283778214,129.55581938592334,97552.64492808918,4630614.874979196,47.436356547480464
32-33,0.0014209959004030967,97487.86701839622,138.5298593721833,97418.60208871013,4533062.230051107,46.498732290406004
33-34,0.0015029427908963137,97349.33715902404,146.3104844816898,97276.1819167832,4435643.6279623965,45.564189314577405
34-35,0.0015744777971908278,97203.02667454236,153.04400731881472,97126.50467088295,4338367.446045613,44.632020158913825
35-36,0.0016440715052888487,97049.98266722354,159.5571110919589,96970.20411167755,4241240.94137473,43.70161461973259
36-37,0.001713519355417916,96890.42555613158,166.02361954511017,96807.41374635903,4144270.7372630527,42.77275812832662
37-38,0.001782682697036923,96724.40193658647,172.42891771359734,96638.18747772966,4047463.323516694,41.84531764973076
38-39,0.001857578158475671,96551.97301887287,179.35283623759054,96462.29660075408,3950825.136038964,40.91915486042633
39-40,0.0019454685790226656,96372.62018263528,187.4899044434025,96278.87523041357,3854362.8394382102,39.994376329436996
40-41,0.0020518063616580206,96185.13027819188,197.35326220169958,96086.45364709102,3758083.964207797,39.07136116922087
41-42,0.0021923026043010278,95987.77701599018,210.4342535332216,95882.55988922357,3661997.510560706,38.150664849240854
42-43,0.002349788026867197,95777.34276245696,225.05645326837697,95664.81453582278,3566114.9506714824,37.23338785370163
43-44,0.0025256095784799188,95552.28630918858,241.32776954814227,95431.62242441451,3470450.1361356596,36.31990682992094
44-45,0.002721218056399906,95310.95853964044,259.3619013508524,95181.27758896502,3375018.5137112453,35.41060299280857
45-46,0.002938185480674994,95051.59663828959,279.27922115759856,94911.95702771079,3279837.2361222804,34.50586157540741
46-47,0.003178222337171764,94772.31741713198,301.2074961606615,94621.71366905165,3184925.2790945694,33.606071539607946
47-48,0.003443194878456898,94471.10992097133,325.28244184202714,94308.46870005032,3090303.565425518,32.71162546952898
48-49,0.003735142679207575,94145.82747912931,351.6480982866092,93970.003429986,2995995.0967254676,31.822919580685973
49-50,0.004056296643083845,93794.1793808427,380.4570149633162,93603.95087336104,2902025.0932954815,30.9403537879688
50-51,0.0044090976536481806,93413.72236587938,411.87022410194135,93207.78725382841,2808421.1424221206,30.0643317843839
51-52,0.004796216054648898,93001.85214177745,446.056976354476,92778.82365360021,2715213.3551682923,29.195261090381972
52-53,0.005220572135927509,92555.79516542297,483.19420525922123,92314.19806279335,2622434.531514692,28.333553040386846
53-54,0.005685357791057591,92072.60096016375,523.4656792118036,91810.86812055785,2530120.333451899,27.479622678918172
54-55,0.006194059501919066,91549.13528095194,567.0607912794544,91265.60488531222,2438309.465331341,26.63388854355094
55-56,0.006750482793822552,90982.0744896725,614.172928388816,90674.98802547809,2347043.860446029,25.796772315984565
