x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.00293318766403927,100000.0,293.318766403927,99853.34061679804,7617770.9549,76.177709549
1-2,0.0006785281902738159,99706.68123359607,67.65379397564018,99672.85433660824,7517917.614283202,75.40033948848402
2-3,0.00032683372586093706,99639.02743962043,32.56539457925129,99622.7447423308,7418244.759946594,74.45119598785652
3-4,0.000209078016383492,99606.46204504117,20.825521503354793,99596.0492842895,7318622.015204263,73.47537363484355
4-5,0.00015832689598689284,99585.63652353782,15.767084715650688,99577.75298117999,7219025.965919973,72.4906343718926
5-6,0.00013430190918165168,99569.86943882216,13.37242356260161,99563.18322704086,7119448.212938793,71.50203423047705
6-7,0.00012323392716846659,99556.49701525956,12.268738102326157,99550.3626462084,7019885.029711752,70.51157122006589
7-8,0.00011940192338377193,99544.22827715724,11.88577231804583,99538.28539099821,6920334.667065544,69.52020008430341
8-9,0.00012020070174179012,99532.3425048392,11.963857415085876,99526.36057613166,6820796.381674546,68.52844221307183
9-10,0.00012476041614237226,99520.3786474241,12.41620385469909,99514.17054549676,6721270.021098414,67.53662026257153
10-11,0.00013402861306024524,99507.96244356941,13.33691419476258,99501.29398647202,6621755.850552917,66.54498482277828
11-12,0.0001514304644289381,99494.62552937465,15.066517352096485,99487.0922706986,6522254.556566445,65.55383792706294
12-13,0.00018303536778708598,99479.55901202255,18.20827767106267,99470.45487318702,6422767.464295747,64.5636905519407
13-14,0.00023629330496571378,99461.3507343515,23.502051281373937,99449.59970871081,6323297.009422559,63.57541861975386
14-15,0.00031737601826995805,99437.84868307011,31.559188480363385,99422.06908882993,6223847.4097138485,62.59032644150009
15-16,0.00042826619109902133,99406.28949458976,42.57235297313461,99385.00331810319,6124425.340625019,61.61003867827039
16-17,0.0005650481540182543,99363.71714161662,56.14528494726244,99335.64449914299,6025040.337306916,60.63622125488541
17-18,0.0007182029211926488,99307.57185666937,71.32298820400882,99271.91036256736,5925704.692807773,59.67022032680794
18-19,0.0008746888486999376,99236.24886846537,86.80084027205845,99192.84844832934,5826432.782445205,58.71274709474322
19-20,0.0010208757925486262,99149.4480281933,101.21927133654067,99098.83839252504,5727239.933996876,57.76370971191212
20-21,0.0011452762176173024,99048.22875685677,113.43758079234624,98991.5099664606,5628141.095604351,56.82222858745199
21-22,0.0012403486872792143,98934.79117606442,122.7136383614747,98873.43435688368,5529149.58563789,55.88680705656124
22-23,0.0013031367224250778,98812.07753770295,128.76564685849488,98747.6947142737,5430276.151281006,54.95559132646531
23-24,0.001334904117280069,98683.31189084446,131.73275934992145,98617.4455111695,5331528.456566732,54.02664700252501
24-25,0.0013401329084181503,98551.57913149454,132.07221437069126,98485.5430243092,5232911.011055563,53.09819545431576
