x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.0011466757068647315,100000.0,114.66757068647314,99942.66621465677,7630338.3643,76.30338364299999
1-2,0.0006543472032158263,99885.33242931352,65.35968791740439,99852.65258535482,7530395.6980853425,75.39040532717279
2-3,0.00038909517471088123,99819.97274139612,38.83946973344893,99800.5530065294,7430543.045499988,74.43944174128674
3-4,0.00023575994614375998,99781.13327166268,23.52439460629053,99769.37107435953,7330742.492493458,73.46822241971219
4-5,0.00016632710281179645,99757.6088770564,16.592394067953137,99749.31268002241,7230973.121419098,72.4854294606311
5-6,0.00016622217395078303,99741.01648298845,16.579168591863223,99732.72689869252,7131223.808739075,71.4974045803449
6-7,0.0001668462693383178,99724.43731439658,16.63865032777,99716.11798923269,7031491.081840383,70.50920788525012
7-8,0.00016100524132967416,99707.7986640688,16.053478186358962,99699.77192497562,6931774.96385115,69.52089060962409
8-9,0.0001457547614588523,99691.74518588245,14.530546538984984,99684.47991261295,6832075.191926175,68.5320051242686
9-10,0.00012810106220298453,99677.21463934347,12.768757072734777,99670.8302608071,6732390.712013562,67.5419225584603
10-11,0.00011876604191026727,99664.44588227074,11.83675175661733,99658.52750639243,6632719.8817527555,66.55051180024317
11-12,0.00012493475526221203,99652.60913051412,12.450074332961657,99646.38409334763,6533061.354246363,65.55835728987358
12-13,0.00015266970888947303,99640.15905618116,15.212034076807967,99632.55303914276,6433414.970153015,64.56648635542217
13-14,0.00021143980982204415,99624.94702210436,21.064679851884968,99614.41468217842,6333782.417113872,63.57626886073585
14-15,0.00030998913673960975,99603.88234225247,30.876121503188504,99588.44428150088,6234168.0024316935,62.58960851556213
15-16,0.00044224800070807277,99573.00622074929,44.03596292561887,99550.98823928648,6134579.558150193,61.608861587949654
16-17,0.0005858293264723732,99528.97025782368,58.30698961062971,99499.81676301836,6035028.569910906,60.63589881697295
17-18,0.000722725912274263,99470.66326821304,71.8900258550453,99434.71825528552,5935528.753147888,59.67114884057129
18-19,0.0008496690348394681,99398.773242358,84.45605972506146,99356.54521249548,5836094.034892603,58.71394429247943
19-20,0.0009698072617096423,99314.31718263293,96.31574599545212,99266.15930963522,5736737.489680108,57.76344894090748
20-21,0.0010828040888492395,99218.00143663748,107.43365764304079,99164.28460781596,5637471.330370473,56.819037359573
21-22,0.0011827245578986748,99110.56777899445,117.22050245949785,99051.9575277647,5538307.045762657,55.880085947166265
22-23,0.0012601381317281742,98993.34727653494,124.7452916905711,98930.97463068966,5439255.088234892,54.94566289430033
23-24,0.0013066659631254883,98868.60198484437,129.18823703539724,98804.00786632668,5340324.113604203,54.01435851619328
24-25,0.0013216345879852674,98739.41374780897,130.49742440649234,98674.16503560572,5241520.105737876,53.08437539567816
25-26,0.0013135406666080086,98608.91632340247,129.52682168093543,98544.152912562,5142845.940702271,52.153964696615766
26-27,0.0012954325411236565,98479.38950172154,127.57340579052148,98415.60279882628,5044301.787789709,51.221903520243984
27-28,0.0012777674954075745,98351.81609593102,125.67075372168415,98288.98071907018,4945886.184990883,50.287695553753
28-29,0.0012646798897491273,98226.14534220933,124.22463066186705,98164.0330268784,4847597.204271813,49.351394044664026
29-30,0.0012566521270138242,98101.92071154747,123.27998732630766,98040.28071788432,4749433.171244934,48.41325365290104
30-31,0.0012530671080173388,97978.64072422116,122.77381197976966,97917.25381823127,4651392.89052705,47.47353970360997
31-32,0.0012536965330752084,97855.86691224138,122.68156108894603,97794.52613169691,4553475.636708818,46.532474550477836
32-33,0.0012595854984929727,97733.18535115244,123.10330298983745,97671.63369965753,4455681.110577121,45.59025774682357
33-34,0.0012733441745510583,97610.0820481626,124.29122935347868,97547.93643348585,4358009.476877464,44.6471244100291
34-35,0.0013001907314161966,97485.79081880912,126.75012166739378,97422.41575797542,4260461.540443978,43.703410565367804
35-36,0.0013467341967665352,97359.04069714173,131.11674947122557,97293.48232240611,4163039.1246860027,42.75965636962384
36-37,0.0014173887197961393,97227.9239476705,137.80976265262507,97159.01906634419,4065745.6423635967,41.816645643404264
37-38,0.0015122308182591747,97090.11418501787,146.82266281888627,97016.70285360843,3968586.6232972527,40.87529051345633
38-39,0.0016272470115597142,96943.29152219898,157.75068142026046,96864.41618148885,3871569.9204436443,39.93643974381761
39-40,0.0017558265351116484,96785.54084077872,169.93862082337142,96700.57153036703,3774705.5042621554,39.00071716778335
40-41,0.0018928793792940394,96615.60221995534,182.88168116022888,96524.16137937523,3678004.932731788,38.06843665227519
41-42,0.0020491082738463276,96432.72053879511,197.60108552555576,96333.91999603233,3581480.771352413,37.139684034026345
42-43,0.002224477316739399,96235.11945326955,214.07284029750457,96128.0830331208,3485146.8513563806,36.21491687396637
43-44,0.0024200563424076047,96021.04661297204,232.37634286033924,95904.85844154187,3389018.76832326,35.29454101852518
44-45,0.0026371155052575044,95788.6702701117,252.60578759731013,95662.36737631305,3293113.909881718,34.37895004279276
45-46,0.002877137204043882,95536.0644825144,274.8703654505775,95398.62929978911,3197451.542505405,33.46852897724945
46-47,0.0031418267321641708,95261.19411706382,299.2941662148713,95111.54703395638,3102052.9132056157,32.563657656795584
47-48,0.0034331228114367076,94961.89995084895,326.0158649386299,94798.89201837963,3006941.3661716594,31.664713613860016
48-49,0.0037532088595547864,94635.88408591032,355.1882385830384,94458.2899666188,2912142.47415328,30.772074486139328
49-50,0.00410452559952232,94280.69584732728,386.97752964613255,94087.20708250422,2817684.184186661,29.88611994070829
50-51,0.004489785436407607,93893.71831768115,421.56264907288295,93682.93699314471,2723596.9771041567,29.007233134479833
51-52,0.0049119888932979425,93472.15566860826,459.1341904768201,93242.58857336985,2629914.040111012,28.135801740092354
52-53,0.00537444330437118,93013.02147813144,499.8932105024763,92763.0748728802,2536671.451537642,27.27221856924674
53-54,0.005880783899090814,92513.12826762897,544.0497151707957,92241.10341004358,2443908.376664762,26.416881824543204
54-55,0.0064349973694231895,91969.07855245817,591.8207785533431,91673.1681631815,2351667.273254718,25.570195007589994
55-56,0.007041447984764279,91377.25777390483,643.4282076053482,91055.54367010215,2259994.105091537,24.732566506684307
56-57,0.007704906301336519,90733.82956629948,699.0956551697747,90384.28173871459,2168938.561421435,23.904408882428854
57-58,0.008430580499685553,90034.7339111297,759.0450720055477,89655.21137512694,2078554.2796827203,23.08613786468667
58-59,0.009224150371989249,89275.68883912415,823.4923784150035,88863.94264991664,1988899.0683075935,22.2781710695239
59-60,0.010091803967291625,88452.19646070915,892.6422271578429,88005.87534713023,1900035.1256576767,21.480926440325092
60-61,0.011040276885085106,87559.5542335513,966.6817226730321,87076.21337221478,1812029.2503105465,20.694820413055602
61-62,0.01207689418379011,86592.87251087827,1045.7729583843043,86069.98603168612,1724953.0369383318,19.920265801571993
62-63,0.013209614838704318,85547.09955249396,1130.0442356567398,84982.0774346656,1638883.0509066456,19.157669394752343
63-64,0.014447078642054354,84417.05531683723,1219.579836893,83807.26539839072,1553900.97347198,18.407429252771507
64-65,0.01579865538400672,83197.47547994423,1314.408243926988,82540.27135798073,1470093.7080735893,17.669931684741723
65-66,0.017274496085925687,81883.06723601725,1414.4887244721697,81175.82287378116,1387553.4367156085,16.945547883742154
66-67,0.018845688173982664,80468.57851154507,1516.4857384322204,79710.33564232897,1306377.6138418273,16.23463018741405
67-68,0.02069452501208348,78952.09277311285,1633.876058649519,78135.1547437881,1226667.2781994983,15.536855770557105
68-69,0.022720539918498303,77318.21671446333,1756.7116292880667,76439.8608998193,1148532.1234557102,14.854612176290185
69-70,0.024939852403875005,75561.50508517526,1884.4927842389216,74619.2586930558,1072092.262555891,14.188339172802282
70-71,0.027369873248322848,73677.01230093635,2016.530487991751,72668.74705694047,997473.0038628351,13.538456198367838
71-72,0.030029371885765054,71660.48181294459,2151.9192578740162,70584.52218400758,924804.2568058947,12.905359179971912
72-73,0.03293853938389845,69508.56255507057,2289.5105252383614,68363.8072924514,854219.7346218871,12.289417349770423
73-74,0.036119044795743974,67219.05202983221,2427.8879513929546,66005.10805413574,785855.9273294357,11.690970098487378
74-75,0.039594082222099924,64791.16407843925,2565.346677787291,63508.4907395456,719850.8192753,11.110323907806542
75-76,0.04338840544153485,62225.81740065196,2699.8789943104016,60875.87790349676,656342.3285357545,10.547749406163328
76-77,0.047528346440699226,59525.938406341564,2829.1694227843254,58111.3536949494,595466.4506322577,10.003478593943846
77-78,0.052041813621673955,56696.76898355724,2950.6026843933905,55221.46764136054,537355.0969373083,9.477702284818875
78-79,0.0569582648891375,53746.16629916385,3061.2883768434094,52215.522110742146,482133.6292959478,8.97056780966066
79-80,0.06230865024935882,50684.87792232044,3158.1063313933128,49105.824756623784,429918.1071852056,8.482177028108806
80-81,0.06812531801454154,47526.77159092713,3237.7764288363887,45907.88337650894,380812.28242858185,8.012584690294407
81-82,0.07444187823850068,44288.99516209074,3296.955985161904,42640.51716950979,334904.3990520729,7.561797187458772
82-83,0.08129301666234393,40992.03917692883,3332.3665238335307,39325.85591501207,292263.8818825631,7.1297717252147645
83-84,0.0887142522825322,37659.6726530953,3340.9497006242755,35989.197802783165,252938.02596755105,6.7164159470398825
84-85,0.09674163174062099,34318.72295247103,3320.049257676349,32658.698323632852,216948.82816476788,6.3215880283548564
85-86,0.10541135415679646,30998.673694794677,3267.6121712329723,29364.867609178193,184290.12984113503,5.945097253373172
86-87,0.11475932087838164,27731.061523561704,3182.3977876805607,26139.862629721425,154925.26223195685,5.58670507799799
87-88,0.12482060598328294,24548.663735881142,3064.1790835925267,23016.57419408488,128785.39960223543,5.246126672630185
88-89,0.1356288453562388,21484.484652288615,2913.915846463738,20027.526729056746,105768.82540815054,4.9230329291088495
89-90,0.14721554481799273,18570.568805824878,2733.87640432953,17203.630603660113,85741.2986790938,4.61705290643548
90-91,0.1596093111824943,15836.692401495347,2527.6835656117137,14572.85061868949,68537.66807543368,4.327776680751983
91-92,0.17283501425081066,13309.008835883633,2300.2627318141126,12158.877469976576,53964.8174567442,4.054758556568445
92-93,0.18691289256906718,11008.74610406952,2057.676577870083,9979.907815134478,41805.93998676762,3.7975205887720067
93-94,0.20185762115122122,8951.069526199437,1806.841601317807,8047.648725540534,31826.03217163314,3.555556358765795
94-95,0.21767736507443383,7144.227924881629,1555.1367101794233,6366.659569791917,23778.383446092605,3.3283349434132985
