x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.012358856594054385,100000.0,1235.8856594054384,99382.05717029728,7620153.6609,76.201536609
1-2,0.0005925478942076091,98764.11434059456,58.52246797579884,98734.85310660666,7520771.6037297025,76.14882848839028
2-3,0.00027240691500735574,98705.59187261877,26.888085775995204,98692.14782973076,7422036.750623096,75.19368061944616
3-4,0.0002373283829950072,98678.70378684277,23.41925720577469,98666.99415823989,7323344.602793365,74.21403323874848
4-5,0.00021448825807908822,98655.28452963699,21.160400129058658,98644.70432957246,7224677.608635125,73.231531823972
5-6,0.00020023019678479533,98634.12412950794,19.749530084147302,98624.24936446587,7126032.904305552,72.2471352302878
6-7,0.00019101231187090237,98614.3745994238,18.83655967593913,98604.95631958584,7027408.654941087,71.26150405036537
7-8,0.00018298735962823479,98595.53803974786,18.041737177018643,98586.51717115934,6928803.698621501,70.27502295112198
8-9,0.00017386144112131526,98577.49630257084,17.138825569296095,98568.92688978619,6830217.181450342,69.28779323514036
9-10,0.0001639734533600872,98560.35747700154,16.161282179908632,98552.27683591159,6731648.254560555,68.29975485966905
10-11,0.00015646301435975972,98544.19619482163,15.418521984301355,98536.48693382948,6633095.977724643,67.31087404286123
11-12,0.00015709874017276438,98528.77767283733,15.47874684316514,98521.03829941574,6534559.490790814,66.32132910943722
12-13,0.0001730194936838766,98513.29892599417,17.044721101303896,98504.77656544352,6436038.452491398,65.33167118204338
13-14,0.00020852579669887206,98496.25420489286,20.53900987992991,98485.9846999529,6337533.675925954,64.34289026608621
14-15,0.0002589390330501081,98475.71519501293,25.499206471514483,98462.96559177717,6239047.691226001,63.35620593230241
15-16,0.0003170401356970235,98450.21598854141,31.21266983640844,98434.6096536232,6140584.725634224,62.372486073051626
16-17,0.0003749863969587751,98419.003318705,36.905787446754914,98400.55042498161,6042150.115980601,61.39210835548323
17-18,0.0004300466502663795,98382.09753125824,42.30889148949785,98360.9430855135,5943749.565555619,60.414950633342144
18-19,0.00047835495936198255,98339.78863976875,47.04132559844253,98316.26797696954,5845388.622470106,59.44072794260839
19-20,0.0005216968806055002,98292.74731417031,51.27901965994731,98267.10780434034,5747072.3544931365,58.46893602560454
20-21,0.000570314161965041,98241.46829451036,56.02850066059882,98213.45404418006,5648805.246688796,57.499194024204606
21-22,0.0006227841630865101,98185.43979384976,61.14833694929365,98154.86562537511,5550591.792644616,56.53172002181427
22-23,0.0006665662844614978,98124.29145690046,65.40634437184323,98091.58828471454,5452436.927019241,55.56663743568674
23-24,0.000697621173263592,98058.88511252862,68.40795448112199,98024.68113528806,5354345.338734527,54.60336748261094
24-25,0.0007209818416264491,97990.47715804749,70.64935468326357,97955.15248070586,5256320.657599239,53.64113748646607
25-26,0.0007449193470596189,97919.82780336423,72.9423741914724,97883.35661626849,5158365.505118533,52.67947892511824
26-27,0.000777127962721624,97846.88542917276,76.03955073222917,97808.86565380664,5060482.148502264,51.71837740471907
27-28,0.0008235439604674335,97770.84587844054,80.51858963298197,97730.58658362404,4962673.282848458,50.758211594268076
28-29,0.0008850769301697299,97690.32728880756,86.46345498405398,97647.09556131554,4864942.696264834,49.79963555534339
29-30,0.0009577071657568093,97603.8638338235,93.47591979920466,97557.1258739239,4767295.600703519,48.84330817907095
30-31,0.001037938795025441,97510.3879140243,101.2098145339457,97459.78300675732,4669738.474829595,47.889651294864514
31-32,0.0011241821756701434,97409.17809949035,109.50566176612556,97354.42526860729,4572278.691822837,46.93888995914605
32-33,0.0012165294863022628,97299.67243772422,118.36792052804309,97240.4884774602,4474924.26655423,45.991154486345934
33-34,0.0013152018756150351,97181.30451719617,127.8130339757323,97117.39800020831,4377683.77807677,45.046563223507064
34-35,0.0014226278225612603,97053.49148322044,138.0709972607417,96984.45598459007,4280566.380076561,44.10522810317059
35-36,0.001537534647535748,96915.4204859597,149.01081687765884,96840.91507752087,4183581.924091971,43.1673504909165
36-37,0.0016672072757676242,96766.40966908203,161.32966225020414,96685.74483795693,4086741.00901445,42.233054042101244
37-38,0.0018176917084314743,96605.08000683182,175.59825292077738,96517.28088037143,3990055.264176493,41.302747887526415
38-39,0.001986833536960245,96429.48175391104,191.58932830036647,96333.68708976086,3893537.9832961215,40.37704976194384
39-40,0.0021671526169328654,96237.89242561067,208.56220041826575,96133.61132540154,3797204.2962063607,39.456436550099
40-41,0.0023538895339773923,96029.3302251924,226.04243537193926,95916.30900750644,3701070.6848809593,38.54104445175041
41-42,0.002552460786472609,95803.28778982046,244.53413529866685,95681.02072217113,3605154.375873453,37.630800143129505
42-43,0.002767836253605288,95558.75365452179,264.4909827143222,95426.50816316463,3509473.3551512817,36.72581758275387
