x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.013438026929496121,100000.0,1343.802692949612,99328.09865352519,7278748.2414,72.787482414
1-2,0.000676158313758914,98656.19730705039,66.7072080130019,98622.8437030439,7179420.142746475,72.77211506948487
2-3,0.0003925273879610488,98589.49009903739,38.699075028986826,98570.14056152289,7080797.299043431,71.82101552539186
3-4,0.00029306399179956254,98550.7910240084,28.8816882125004,98536.35017990215,6982227.158481908,70.84902197061956
4-5,0.0002347807920381275,98521.9093357959,23.13105190696675,98510.34380984242,6883690.808302006,69.86964477962019
5-6,0.00020438434592038047,98498.77828388894,20.131608373509216,98488.71247970218,6785180.464492164,68.88593526445788
6-7,0.00018898639110587117,98478.64667551543,18.611124036195857,98469.34111349733,6686691.752012461,67.89991513637405
7-8,0.0001775026447444894,98460.03555147923,17.476916712024014,98451.29709312323,6588222.410898964,66.9126552107972
8-9,0.0001626053883050981,98442.5586347672,16.00729047255371,98434.55498953092,6489771.113805841,65.92444572558918
9-10,0.00014471822673679062,98426.55134429465,14.244115974363996,98419.42928630747,6391336.55881631,64.93508582312822
10-11,0.00013238588583852092,98412.3072283203,13.028400469833857,98405.79302808538,6292917.129530002,63.94441210417103
11-12,0.0001416346797702963,98399.27882785046,13.936750346410697,98392.31045267725,6194511.336501917,62.95281236094438
12-13,0.00019230481480663874,98385.34207750404,18.91997498790222,98375.8820900101,6096119.02604924,61.961659098028655
13-14,0.0002960582274914344,98366.42210251614,29.122188572345184,98351.86100822997,5997743.14395923,60.97348074435872
14-15,0.00043862882579524245,98337.29991394379,43.13357439312776,98315.73312674722,5899391.282951,59.99138971797712
15-16,0.0006031103188620404,98294.16633955066,59.28222600332484,98264.525226549,5801075.549824253,59.01749580727734
16-17,0.0007617618132209736,98234.88411354733,74.83158344388804,98197.46832182539,5702811.0245977035,58.05280961095207
17-18,0.0008960434532644642,98160.05253010345,87.9556724416951,98116.0746938826,5604613.556275878,57.09668456582244
18-19,0.0009890912992806813,98072.09685766176,97.00225770412548,98023.5957288097,5506497.481581995,56.14744313638897
19-20,0.001050246196692415,97975.09459995764,102.89797047418509,97923.64561472055,5408473.885853185,55.20253803210437
20-21,0.0011068135658293884,97872.19662948346,108.32627494703364,97818.03349200994,5310550.240238464,54.260049565891634
21-22,0.0011721100108577796,97763.87035453643,114.59001114275425,97706.57534896505,5212732.206746454,53.31961784903469
22-23,0.0012329189530035543,97649.28034339368,120.39364848252748,97589.08351915241,5115025.631397489,52.381600902843104
23-24,0.0012908642726005273,97528.88669491115,125.89655538096574,97465.93841722068,5017436.547878337,51.44564567392048
24-25,0.0013467959129603276,97402.99013953019,131.18194903003433,97337.39916501517,4919970.609461117,50.51149458977839
25-26,0.0014066305125780784,97271.80819050015,136.82549341439974,97203.39544379295,4822633.210296102,49.57894070244183
26-27,0.0014666410328229016,97134.98269708574,142.46215134608852,97063.7516214127,4725429.8148523085,48.648073882799814
27-28,0.0015093468506382228,96992.52054573965,146.39535542117525,96919.32286802906,4628366.063230895,47.7187935439646
28-29,0.0015344164849035065,96846.12519031847,148.6022909910534,96771.82404482295,4531446.740362867,46.79017081434939
29-30,0.0015539119001239134,96697.52289932742,150.2594315457695,96622.39318355454,4434674.916318044,45.861308370174285
30-31,0.0015784820214807568,96547.26346778165,152.39811960705921,96471.06440797812,4338052.52313449,44.93190554885195
31-32,0.0016207623850418961,96394.8653481746,156.2331718674999,96316.74876224085,4241581.458726511,44.002151394745766
32-33,0.001686946560372006,96238.6321763071,162.34942952472795,96157.45746154473,4145264.7099642707,43.072772505434564
33-34,0.0017784012028882249,96076.28274678238,170.86217680590698,95990.85165837943,4049107.252502726,42.144711855417114
34-35,0.0018896877729088276,95905.42056997647,181.2313006067633,95814.80491967309,3953116.4008443467,41.21890480590712
35-36,0.0020136609228170715,95724.18926936972,192.75605930007504,95627.81123971968,3857301.5959246736,40.29599650167997
36-37,0.002153531999210485,95531.43321006963,205.7299983483242,95428.56821089548,3761673.7846849537,39.376293836324955
37-38,0.002316049181048784,95325.70321172131,220.7790168564066,95215.31370329311,3666245.216474058,38.46019586481534
38-39,0.002501389240889042,95104.9241948649,237.894434136603,94985.9769777966,3571029.902770765,37.54831763972511
