x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.01515323107921041,100000.0,1515.3231079210411,99242.33844603947,6937080.8244,69.370808244
1-2,0.000757116004171361,98484.67689207896,74.5643250406384,98447.39472955864,6837838.485953961,69.4304809817975
2-3,0.0005102200779911652,98410.11256703832,50.21081530907364,98385.00715938378,6739391.091224402,68.48270889471279
3-4,0.0003477700815133989,98359.90175172925,34.20663104984879,98342.79843620432,6641006.084065018,67.51741274434796
4-5,0.0002547321221761867,98325.6951206794,25.046712982539386,98313.17176418814,6542663.285628814,66.54072750361662
5-6,0.0002084736344928399,98300.64840769686,20.49309344655536,98290.40186097358,6444350.113864626,65.55755448465627
6-7,0.0001869912528421894,98280.15531425031,18.377529371736625,98270.96654956444,6346059.712003652,64.57112009756352
7-8,0.00017210464138348066,98261.77778487858,16.911308027369795,98253.3221308649,6247788.745454088,63.583103077293956
8-9,0.0001515475512885372,98244.86647685121,14.888768941236098,98237.4220923806,6149535.423323223,62.59396184097006
9-10,0.00012585596044327642,98229.97770790997,12.362828188750642,98223.7962938156,6051298.001230842,61.603373455143945
10-11,0.00010887819355867459,98217.61487972122,10.693756483745645,98212.26800147934,5953074.204937027,60.61106464687879
11-12,0.00012657941965699604,98206.92112323748,12.430975082079787,98200.70563569645,5854861.936935548,59.617610143672294
12-13,0.00021105640160745892,98194.4901481554,20.724575748348755,98184.12786028122,5756661.231299851,58.62509416377871
13-14,0.0003812571872961986,98173.76557240705,37.42945372841229,98155.05084554285,5658477.1034395695,57.637364426713546
14-15,0.0006140229874576025,98136.33611867864,60.257966281734475,98106.20713553777,5560322.052594027,56.659156766050394
15-16,0.0008834348795033837,98076.0781523969,86.6438282847272,98032.75623825454,5462215.845458489,55.693660965632695
16-17,0.0011422009116503632,97989.43432411218,111.92362121710433,97933.47251350363,5364183.089220234,54.7424640852353
17-18,0.0013557411078805768,97877.51070289507,132.69656479693597,97811.1624204966,5266249.616706731,53.80449072404702
18-19,0.0014936278790778784,97744.81413809814,145.99437943194894,97671.81694838217,5168438.454286234,52.876855921829666
19-20,0.0015726677837358866,97598.81975866618,153.4905195650998,97522.07449888364,5070766.637337852,51.9552044776402
