x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.006351386202773832,100000.0,635.1386202773832,99682.43068986131,7933572.1623,79.335721623
1-2,0.0004918971304721509,99364.86137972261,48.877290182448604,99340.42273463139,7833889.731610139,78.83963830707664
2-3,0.00023847846552268407,99315.98408954017,23.684723487548844,99304.14172779639,7734549.308875508,77.87819231496796
3-4,0.00018911688180345908,99292.29936605263,18.77785004320345,99282.91044103102,7635245.167147711,76.89664974923674
4-5,0.0001541546001049824,99273.52151600942,15.303470010313799,99265.86978100426,7535962.25670668,75.91110037827546
5-6,0.00013248764982959476,99258.2180459991,13.150488035187893,99251.6428019815,7436696.386925676,74.92272713861634
6-7,0.00012038258827211903,99245.06755796392,11.947378105869008,99239.09386891099,7337444.7441236945,73.93258853734238
7-8,0.00011435242372636754,99233.12017985806,11.347547806496683,99227.4464059548,7238205.650254783,72.94142960672484
8-9,0.00011192635019094152,99221.77263205156,11.105530870180981,99216.21986661648,7138978.203848829,71.94971440716559
9-10,0.00011253997771042236,99210.66710118139,11.165166264203087,99205.08451804929,7039761.983982212,70.95771240810842
10-11,0.00011758990449943862,99199.50193491719,11.66485995891879,99193.66950493773,6940556.899464163,69.96564260995709
11-12,0.00013019524095567248,99187.83707495827,12.913784347846176,99181.38018278434,6841363.229959225,68.97381202887878
12-13,0.0001542791620176688,99174.92329061042,15.300624058441958,99167.2729785812,6742181.849776441,67.98272815417212
13-14,0.000191834508354757,99159.62266655198,19.022237462881215,99150.11154782053,6643014.57679786,66.99314093939819
14-15,0.00023887437768610706,99140.6004290891,23.682149230925656,99128.75935447363,6543864.4652500395,66.00589906584817
15-16,0.0002922500363945056,99116.91827985818,28.96692297459979,99102.43481837088,6444735.705895565,65.02155048544542
16-17,0.00034344676306690173,99087.95135688357,34.03143615245227,99070.93563880734,6345633.271077194,64.04041242332505
17-18,0.00038465126349460554,99053.91992073112,38.101215451602705,99034.86931300531,6246562.335438387,63.06224266982326
18-19,0.0004103089405942312,99015.81870527951,40.6270756750337,98995.505167442,6147527.466125381,62.08631657557153
19-20,0.0004237333260075383,98975.19162960448,41.939087141445775,98954.22208603375,6048531.960957939,61.11159636440413
20-21,0.0004379868196143707,98933.25254246303,43.331460635178736,98911.58681214544,5949577.738871905,60.13729040514759
21-22,0.0004543992583814072,98889.92108182785,44.935506800978466,98867.45332842736,5850666.15205976,59.16342219768326
22-23,0.0004612977872458108,98844.98557502688,45.59697312610398,98822.18708846382,5751798.698731333,58.19009093147687
23-24,0.0004566387619247617,98799.38860190078,45.115630490095384,98776.83078665573,5652976.51164287,57.216715524635475
24-25,0.00044593139710025594,98754.27297141068,44.03763091576121,98732.2541559528,5554199.680856214,56.24262640730647
25-26,0.0004341412037182547,98710.23534049492,42.85418039003467,98688.8082502999,5455467.426700261,55.267494884212965
26-27,0.0004307373191152509,98667.3811601049,42.499723245026196,98646.13129848237,5356778.618449962,54.29128203734993
27-28,0.0004430406007477522,98624.88143685987,43.69482672046223,98603.03402349964,5258132.487151479,53.31446193441319
28-29,0.0004758689237179739,98581.18661013941,46.911723171007786,98557.7307485539,5159529.453127979,52.33787125663695
