x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.008160492207971772,100000.0,816.0492207971772,99591.97538960142,7448220.1696,74.48220169599999
1-2,0.0004416560901825786,99183.95077920282,43.80519591000404,99162.04818124781,7348628.194210398,74.0909001555046
2-3,0.00033372553073419357,99140.14558329282,33.085597701849615,99123.6027844419,7249466.14602915,73.12341638573139
3-4,0.00024077598121380558,99107.05998559097,23.862599613246154,99095.12868578435,7150342.543244708,72.14766076487675
4-5,0.00018932793808757318,99083.19738597772,18.759217460211183,99073.81777724762,7051247.414558924,71.16491595533451
5-6,0.0001663654732463881,99064.4381685175,16.480902137792967,99056.19771744861,6952173.596781677,70.17829733163585
6-7,0.00015606803171949979,99047.95726637972,15.45821973640101,99040.22815651151,6853117.399064228,69.18989132338635
7-8,0.0001450945609503236,99032.49904664331,14.36907696898605,99025.31450815882,6754077.170907716,68.2006132928809
8-9,0.00012425190218970047,99018.12996967432,12.303190999999023,99011.97837417433,6655051.856399558,67.21043770911206
9-10,9.48855734745949e-05,99005.82677867432,9.394224651220918,99001.12966634872,6556039.878025383,66.21872763793274
10-11,6.940902620835973e-05,98996.43255402311,6.871245981676306,98992.99693103226,6457038.748359034,65.22496398883241
11-12,7.00318943796418e-05,98989.56130804143,6.932426502211835,98986.09509479033,6358045.751428002,64.22945679739571
12-13,0.00012348030399487165,98982.62888153922,12.222405104504025,98976.51767898697,6259059.656333211,63.23392020456388
13-14,0.00024514855222738485,98970.40647643471,24.262451861053762,98958.27525050419,6160083.138654224,62.241667564747914
14-15,0.0004156032097220415,98946.14402457366,41.12233504623221,98925.58285705054,6061124.86340372,61.25680715661255
15-16,0.0006096050088792849,98905.02168952742,60.29299662525023,98874.8751912148,5962199.280546669,60.28206837932454
16-17,0.0007905135161217685,98844.72869290216,78.13809402912835,98805.6596458876,5863324.405355454,59.3185340573097
17-18,0.0009361531977156205,98766.59059887304,92.46065961660453,98720.36026906474,5764518.745709566,58.36506768894523
18-19,0.0010249492896021633,98674.12993925644,101.13597938335243,98623.56194956477,5665798.385440501,57.4192890165675
19-20,0.0010689096533771437,98572.99395987309,105.36562480599521,98520.31114747009,5567174.823490936,56.477688257670366
20-21,0.0011042422614085522,98467.62833506709,108.73211658825132,98413.26227677296,5468654.512343466,55.5375873757683
21-22,0.0011620160590971814,98358.89621847884,114.29461696094545,98301.74890999836,5370241.250066693,54.59842939003801
22-23,0.0012062797697677608,98244.60160151789,118.51047540080438,98185.34636381749,5271939.501156694,53.66136576684171
23-24,0.001230501517341078,98126.09112611708,120.74430402143595,98065.71897410636,5173754.154792877,52.72557069600665
