x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.007076520377666114,100000.0,707.6520377666114,99646.17398111669,7695047.631,76.95047631
1-2,0.00046616252019115084,99292.34796223338,46.28637116177139,99269.20477665249,7595401.457018883,76.49533536972912
2-3,0.0002871583840699578,99246.06159107162,28.499338671799627,99231.81192173572,7496132.252242231,75.53077806884579
3-4,0.00021551169136718533,99217.56225239982,21.382544654343686,99206.87098007265,7396900.4403204955,74.552329974642
4-5,0.000172120293784754,99196.17970774547,17.073675593622404,99187.64286994866,7297693.569340423,73.56829255764778
5-6,0.00014978626899630272,99179.10603215185,14.855668254944726,99171.67819802437,7198505.926470474,72.58087125867887
6-7,0.0001385996852468392,99164.2503638969,13.74413388817487,99157.37829695283,7099334.24827245,71.5916696008941
7-8,0.0001300437004222032,99150.50623000873,12.893898728885047,99144.05928064429,7000176.869975497,70.6015242497757
8-9,0.00011821742581744913,99137.61233127984,11.719793331492104,99131.7524346141,6901032.810694853,69.61064169706096
9-10,0.00010352783591688264,99125.89253794836,10.26228913778326,99120.76139337946,6801901.058260239,68.61881274517924
10-11,9.298841545808064e-05,99115.63024881057,9.216605403965902,99111.0219461086,6702780.296866859,67.62586566862188
11-12,9.946475815575638e-05,99106.4136434066,9.857595464725792,99101.48484567423,6603669.27492075,66.63210817698761
12-13,0.00013854146230367454,99096.55604794188,13.728981784139911,99089.69155704981,6504567.790075076,65.63868664545954
13-14,0.00021908834791739394,99082.82706615774,21.707892888909345,99071.9731197133,6405478.098518026,64.64771230478799
14-15,0.0003292623916769124,99061.11917326883,32.61710102118214,99044.81062275825,6306406.125398313,63.66176940084547
15-16,0.00045456943105475,99028.50207224765,45.01532984518575,99005.99440732505,6207361.314775554,62.68257304595889
16-17,0.0005721506986232383,98983.48674240246,56.633471091829605,98955.17000685654,6108355.320368229,61.71085219764781
17-18,0.0006672026735248116,98926.85327131063,66.00426098601521,98893.85114081761,6009400.150361373,60.74589407873277
18-19,0.000726241080343852,98860.84901032461,71.79680978896857,98824.95060543013,5910506.299220555,59.786117137263176
19-20,0.0007567806787707653,98789.05220053565,74.76164597944192,98751.67137754592,5811681.348615126,58.82920444279365
20-21,0.0007836303794980929,98714.29055455621,77.35551696915189,98675.61279607164,5712929.67723758,57.873380289151015
21-22,0.0008228991112182697,98636.93503758706,81.16824617572459,98596.3509144992,5614254.064441508,56.918375072199005
22-23,0.0008494920764438686,98555.76679141133,83.72234297715367,98513.90561992275,5515657.713527009,55.964839938799734
23-24,0.0008583783859582957,98472.04444843417,84.52627457566048,98429.78131114635,5417143.807907086,55.01199694034813
24-25,0.0008523463816930925,98387.51817385851,83.86024511925169,98345.58805129888,5318714.02659594,54.05882905997641
25-26,0.000836114667893026,98303.65792873925,82.19313030175745,98262.56136358838,5220368.438544641,53.104518677513596
26-27,0.000816313690612678,98221.46479843749,80.17952642699574,98181.37503522399,5122105.877181053,52.148538893125284
27-28,0.000807011127829401,98141.2852720105,79.20110931399218,98101.6847173535,5023924.50214583,51.19073474757756
28-29,0.0008134534881126339,98062.08416269651,79.76894441374014,98022.19969048964,4925822.817428476,50.23167577446098
29-30,0.0008350469811442162,97982.31521828278,81.81983652854802,97941.40530001851,4827800.617737986,49.272163114157095
30-31,0.0008677970167798031,97900.49538175423,84.95775783355121,97858.01650283745,4729859.212437968,48.31292419915042
31-32,0.0009099444636495,97815.53762392068,89.00670691978598,97771.03427046079,4632001.19593513,47.35445214996579
32-33,0.0009632237016551681,97726.5309170009,94.13251085979184,97679.46466157101,4534230.161664669,46.39712593006693
33-34,0.0010264142312721805,97632.3984061411,100.21128315729858,97582.29276456246,4436550.697003098,45.441377754006275
34-35,0.001099014040274686,97532.1871229838,107.18924302685714,97478.59250147037,4338968.404238536,44.487553619271225
35-36,0.001179086734660853,97424.99787995694,114.87252262461895,97367.56161864463,4241489.811737065,43.535949746319254
