x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.00460815348926829,100000.0,460.815348926829,99769.59232553659,8069187.0338,80.691870338
1-2,0.0004627879665510058,99539.18465107317,46.065536856815235,99516.15188264476,7969417.441474464,80.06311754924087
2-3,0.0002380545771551307,99493.11911421636,23.684792400579827,99481.27671801607,7869901.289591819,79.09995545076147
3-4,0.0001815712860177086,99469.43432181577,18.060793109266093,99460.40392526114,7770420.012873803,78.11867098523938
4-5,0.0001404234163488477,99451.3735287065,13.965301631486327,99444.39087789076,7670959.608948542,77.13276686655644
5-6,0.00011461392663015853,99437.40822707502,11.3969118108311,99431.70977116961,7571515.218070651,76.14352941279762
6-7,0.00010039622222241466,99426.01131526419,9.981995926695577,99421.02031730083,7472083.508299482,75.15220020852173
7-8,9.433893517266078e-05,99416.0293193375,9.378802345080324,99411.33991816496,7372662.487982181,74.1596957599283
8-9,9.386747268379965e-05,99406.65051699242,9.331051051991805,99401.98499146642,7273251.148064016,73.1666453928124
9-10,9.801923834809854e-05,99397.31946594043,9.742849547894108,99392.44804116648,7173849.16307255,72.1734670674972
10-11,0.00010748078431389383,99387.57661639253,10.682254685787083,99382.23548904964,7074456.715031384,71.1804931348387
11-12,0.0001243820694420724,99376.89436170674,12.3607037754353,99370.71400981903,6975074.479542334,70.18809074627376
12-13,0.00015154811999448784,99364.5336579313,15.058508269988499,99357.00440379631,6875703.765532515,69.1967597734878
13-14,0.00019026084766123966,99349.47514966132,18.902315356673828,99340.02399198298,6776346.761128719,68.20717221626731
14-15,0.00023683468787868598,99330.57283430465,23.524925214023625,99318.81037169763,6677006.737136736,67.22005669165712
15-16,0.00028948799867432537,99307.04790909063,28.748198553457993,99292.6738098139,6577687.926765038,66.23586205871811
16-17,0.0003395046598329235,99278.29971053718,33.70544537201695,99261.44698785117,6478395.252955223,65.25489731234408
17-18,0.00037740445110520947,99244.59426516516,37.45535162380388,99225.86658935326,6379133.805967372,64.27688936813405
18-19,0.0003970583063780575,99207.13891354135,39.39101855762341,99187.44340426254,6279907.9393780185,63.30096813749397
19-20,0.00040229945851903855,99167.74789498372,39.895131280704476,99147.80032934337,6180720.495973756,62.32591368837972
20-21,0.00040740565012692143,99127.85276370302,40.38524730088218,99107.66014005258,6081572.695644412,61.35079623021211
21-22,0.0004144166401235365,99087.46751640213,41.063495366497435,99066.93576871889,5982465.03550436,60.37559729250393
22-23,0.00041154839792625,99046.40402103563,40.762388895213306,99026.02282658803,5883398.099735641,59.40042102372657
23-24,0.00039728847683511456,99005.64163214042,39.333800562116274,98985.97473185937,5784372.076909053,58.42467137783045
24-25,0.0003774947040897317,98966.3078315783,37.359257089734946,98947.62820303344,5685386.102177193,57.447693328649095
25-26,0.0003568032489365243,98928.94857448858,35.29817026525186,98911.29948935595,5586438.47397416,56.46919889952989
26-27,0.0003484281872640258,98893.65040422333,34.45733534226583,98876.42173655219,5487527.174484804,55.48917601943891
27-28,0.0003580034927078819,98859.19306888107,35.39193640494225,98841.49710067859,5388650.752748252,54.50834247649239
28-29,0.00038755187934466813,98823.80113247613,38.29934985287487,98804.6514575497,5289809.255647574,53.527684576273614
29-30,0.0004304559281717274,98785.50178262325,42.52280485974892,98764.24038019338,5191004.604190024,52.54824352274679
30-31,0.00047660946120875247,98742.9789777635,47.06183800873903,98719.44805875914,5092240.3638098305,51.57065764601432
31-32,0.0005236527932430248,98695.91713975476,51.6823926919147,98670.07594340881,4993520.915751072,50.59501001120622
32-33,0.0005749220118249135,98644.23474706284,56.71274189571041,98615.87837611498,4894850.839807663,49.62125614698844
33-34,0.0006292631221464992,98587.52200516713,62.037491901658164,98556.5032592163,4796234.961431548,48.64951328404592
34-35,0.0006859926997431309,98525.48451326547,67.58776311475502,98491.6906317081,4697678.458172332,47.67983107497265
35-36,0.0007447307923480156,98457.89675015071,73.32462745965886,98421.23443642088,4599186.767540623,46.71221831207341
36-37,0.0008079950500465163,98384.57212269105,79.49424727607885,98344.82499905302,4500765.533104203,45.7466596235383
37-38,0.0008785229335150486,98305.07787541498,86.36326539453488,98261.89624271772,4402420.70810515,44.78324826398563
38-39,0.0009572722909781903,98218.71461002044,94.02205395166732,98171.70358304461,4304158.811862432,43.82218632113227
39-40,0.0010439339352520036,98124.69255606877,102.43569644544985,98073.47470784604,4205987.1082793875,42.86369718688365
40-41,0.0011387527486796858,98022.25685962332,111.62311443068224,97966.44530240797,4107913.6335715414,41.90796830412141
41-42,0.0012497439659695624,97910.63374519264,122.36322372731031,97849.45213332899,4009947.188269133,40.955175499168085
42-43,0.001371936198575896,97788.27052146533,134.15926812453048,97721.19088740306,3912097.736135804,40.00579737502431
43-44,0.0015063681365390894,97654.1112533408,147.1030415940759,97580.55973254377,3814376.545248401,39.06007126881623
44-45,0.0016541926579608708,97507.00821174672,161.29537708360178,97426.36052320493,3716795.985515857,38.11824456191337
45-46,0.0018166852769880052,97345.71283466312,176.8465232846348,97257.28957302081,3619369.6249926523,37.18057549324204
46-47,0.0019952538206214716,97168.86631137849,193.87655175323493,97071.92803550187,3522112.3354196316,36.247333833586076
47-48,0.0021914493900881305,96974.98975962526,212.51578216253347,96868.73186854398,3425040.4073841297,35.318801433997336
48-49,0.0024069786632978066,96762.47397746272,232.905210271662,96646.0213723269,3328171.6755155856,34.39527265798063
49-50,0.0026437176004466384,96529.56876719106,255.1969199133471,96401.97030723438,3231525.6541432585,33.47705470369412
50-51,0.002903726623081521,96274.37184727771,279.55445665339033,96134.59461895101,3135123.6838360243,32.564467819217185
51-52,0.0031892673465192386,95994.81739062432,306.1531365389953,95841.74082235483,3038989.0892170733,31.657845411078277
52-53,0.0035028209554750895,95688.66425408532,335.1802583506302,95521.07412491001,2943147.3483947185,30.75753404373668
53-54,0.003847108322452562,95353.48399573468,366.8351818548381,95170.06640480726,2847626.2742698085,29.86389332556729
54-55,0.004225111977411634,94986.64881387984,401.32922759771634,94785.98420008099,2752456.207865001,28.977295675082296
55-56,0.004640100045094466,94585.31958628213,438.88534567758217,94365.87691344334,2657670.2236649203,28.098125959605753
56-57,0.005095652272799896,94146.43424060455,479.7374916141425,93906.56549479747,2563304.346751477,27.22678099736194
57-58,0.005595688275998788,93666.6967489904,524.1296368498594,93404.63193056548,2469397.7812566794,26.363668912913766
58-59,0.006144498131552457,93142.56711214055,572.3143295885469,92856.40994734627,2375993.149326114,25.509208335062286
59-60,0.0067467754479321376,92570.252782552,624.5507086821934,92257.9774282109,2283136.7393787676,24.663827425661975
60-61,0.007407653038123665,91945.7020738698,681.101859309915,91605.15114421485,2190878.7619505567,23.827962727288654
61-62,0.008132741313088646,91264.60021455989,742.2313845874701,90893.48452226615,2099273.6108063417,23.002057817280992
62-63,0.00892816950083484,90522.36882997242,808.1990525310821,90118.26930370688,2008380.1262840757,22.186561755320426
63-64,0.009800629777238534,89714.16977744133,879.2553637610249,89274.54209556083,1918261.8569803687,21.381927311361203
64-65,0.010757424368470674,88834.91441368031,955.6348730847312,88357.09697713795,1828987.314884808,20.58860896029804
65-66,0.011806515649696226,87879.27954059557,1037.548089180071,87360.50549600553,1740630.21790767,19.8070606291622
66-67,0.01276840384296944,86841.7314514155,1108.8302975943739,86287.31630261832,1653269.7124116644,19.03773318173191
67-68,0.014060240869673892,85732.90115382112,1205.4252406786677,85130.18853348179,1566982.3961090462,18.277491779936177
68-69,0.015480729361473782,84527.47591314245,1308.5469782198522,83873.20242403253,1481852.2075755643,17.531012153944655
69-70,0.017042247409274944,83218.9289349226,1418.2375760438204,82509.8101469007,1397979.0051515317,16.798810355330993
70-71,0.018758272414117004,81800.69135887879,1534.4396521729552,81033.4715327923,1315469.195004631,16.081394584226185
71-72,0.020643459275144695,80266.25170670584,1656.9730982758954,79437.76515756789,1234435.7234718387,15.379262108594364
72-73,0.022713719862301567,78609.27860842994,1785.509132889493,77716.52404198519,1154997.958314271,14.692896039252174
73-74,0.02498630268403101,76823.76947554045,1919.541957444076,75863.99849681841,1077281.4342722858,14.022761986643681
74-75,0.027479871356565287,74904.22751809638,2058.358536260186,73875.04824996629,1001417.4357754674,13.369304630149633
75-76,0.030214580126222513,72845.86898183619,2201.007345215997,71745.36530922819,927542.3875255012,12.732944235407226
76-77,0.033212144285620006,70644.86163662019,2346.2673377130914,69471.72796776364,855797.022216273,12.11407315960618
77-78,0.03649590285623648,68298.5942989071,2492.6188627504202,67052.2848675319,786325.2942485093,11.513052388855563
78-79,0.04009087038269156,65805.97543615669,2638.2188316175425,64486.866020347916,719273.0093809775,10.930208155318633
79-80,0.04402377410077989,63167.75660453914,2780.883047211278,61777.315080933506,654786.1433606296,10.365828684718203
80-81,0.048323072108087374,60386.87355732787,2918.0792452927094,58927.83393468151,593008.828279696,9.82016112685031
81-82,0.05301894749479559,57468.794312035156,3046.9349882189995,55945.326817925656,534080.9943450146,9.293408722743413
82-83,0.05814327270196538,54421.859323816156,3164.2650076126397,52839.72682000983,478135.6675270889,8.785728261912702
83-84,0.06372953769296187,51257.59431620352,3266.62278902504,49624.282921690996,425295.9407070791,8.297227881657232
84-85,0.06981273488920754,47990.97152717848,3350.3809723024187,46315.78104102727,375671.65778538806,7.827965257436722
85-86,0.07642919328510914,44640.590554876064,3411.84432388004,42934.668392936044,329355.8767443608,7.37794622899283
86-87,0.08361635378374875,41228.746230996025,3447.3974309113614,39505.04751554035,286421.2083514247,6.947123901043867
87-88,0.0914124776645134,37781.34880008466,3453.686703322929,36054.505448423195,246916.16083588437,6.535398250136879
88-89,0.09985628030060081,34327.662096761735,3427.83264839855,32613.74577256246,210861.6553874612,6.142616260702257
89-90,0.1089864828952443,30899.829448363183,3367.6637336400004,29215.997581543183,178247.90961489873,5.768572603702213
90-91,0.11884127621602375,27532.16571472318,3271.9577105287567,25896.186859458805,149031.91203335556,5.413010860735115
91-92,0.12945769219364314,24260.208004194425,3140.6705403607593,22689.872734014043,123135.72517389676,5.075625285348231
92-93,0.14087088192267155,21119.537463833665,2975.1278683291507,19631.97352966909,100445.85243988271,4.756063081963423
93-94,0.15311330214093852,18144.409595504516,2778.1504685654268,16755.3343612218,80813.87891021362,4.453927171608614
94-95,0.1662138167134818,15366.259126939089,2554.0845780969203,14089.216837890628,64058.54454899182,4.168779402964037
95=96,0.1801967249848645,12812.174548842167,2308.7118936357924,11657.818602024272,49969.32771110119,3.9001441574659865
96-97,0.19508073498282555,10503.462655206375,2049.02321464232,9478.951047885215,38311.50910907692,3.6475122887295273
97-98,0.21087790614167193,8454.439440564054,1782.8544868277158,7563.012197150196,28832.558061191703,3.4103453296802
98-99,0.22759259312668206,6671.584953736338,1518.4033198858085,5912.383293793434,21269.54586404151,3.188079895786947
99-100,0.2452204290121311,5153.18163385053,1263.6654110302616,4521.348928335399,15357.162570248074,2.9801322098505167
100-101,0.26374739190531776,3889.516222820268,1025.8497595422684,3376.5913430491337,10835.813641912675,2.7859026730207805
101-102,0.2831490034352467,2863.6664632779994,810.844305248103,2458.2443106539477,7459.222298863541,2.6047804080944092
102-103,0.3033897096159573,2052.8221580298964,622.805118417893,1741.41959882095,5000.977988209594,2.4361477045868685
103-104,0.3244224937655935,1430.0170396120034,463.92969411821764,1198.0521925528944,3259.5583893886437,2.279384300394796
104-105,0.3461887668580544,966.0873454937857,334.4485868136648,798.8630520869533,2061.5061968357495,2.1338714418022673
105-106,0.3686185725821238,631.6387586801209,232.83377761221072,515.2218698740155,1262.6431447487962,1.998995671809673
106-107,0.3916311324898673,398.80498106791015,156.18444637822574,320.7127578787973,747.4212748747807,1.8741523059048921
107-108,0.41513574133802295,242.6205346896844,100.72045553222965,192.26030692356957,426.7085169959834,1.7587485640560083
108-109,0.4390330048959137,141.90007915745477,62.298818147465376,110.75067008372208,234.44821007241384,1.6522063374768527
109-110,0.46321639333871006,79.60126100998939,36.87260903026057,61.164956494859105,123.69753998869176,1.5539645781888882
