x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.005298810872068702,100000.0,529.8810872068702,99735.05945639657,7816643.7633,78.166437633
1-2,0.0004163099530182716,99470.11891279313,41.41040053130679,99449.41371252747,7716908.703843603,77.58016968501995
2-3,0.00026584242752734444,99428.70851226182,26.432369236808416,99415.49232764341,7617459.290131075,76.61227229147475
3-4,0.0001979264545201417,99402.27614302501,19.674340088221005,99392.4389729809,7518043.797803432,75.63251154315714
4-5,0.0001555292425435162,99382.60180293678,15.456900780414646,99374.87335254658,7418651.358830451,74.64738519867596
5-6,0.00013314173177572663,99367.14490215637,13.229913753882666,99360.52994527943,7319276.485477905,73.6589190791882
6-7,0.00012168379858418636,99353.9149884025,12.089761779999144,99347.8701075125,7219915.955532625,72.66866088140966
7-8,0.00011335966335129213,99341.8252266225,11.261355864392828,99336.19454869031,7120568.085425112,71.67744370693201
8-9,0.0001026921652350817,99330.56387075811,10.20047067790973,99325.46363541916,7021231.890876422,70.68551327275209
9-10,8.995894088447852e-05,99320.3634000802,8.93475469973274,99315.89602273033,6921906.427241002,69.69272151530824
10-11,8.143503467728082e-05,99311.42864538047,8.087429635586858,99307.38493056268,6822590.531218272,68.69894657925283
11-12,8.862445690517823e-05,99303.34121574488,8.80070468411499,99298.94086340282,6723283.1462877095,67.70450081514186
12-13,0.00012539777468632623,99294.54051106077,12.451314418588291,99288.31485385148,6623984.205424307,66.7104573054189
13-14,0.00019959231502719816,99282.08919664218,19.815942023494593,99272.18122563043,6524695.890570455,65.71876099068962
14-15,0.00030044254937197575,99262.27325461869,29.822610433075322,99247.36194940216,6425423.709344825,64.73178075282341
15-16,0.00041468611542523127,99232.4506441856,41.15031948176332,99211.87548444472,6326176.347395423,63.75108451245426
16-17,0.0005213755659863783,99191.30032470384,51.7159203477173,99165.44236452998,6226964.471910978,62.77732474044537
17-18,0.0006068548559999557,99139.58440435612,60.16333821760099,99109.50273524733,6127799.029546448,61.809811553710695
18-19,0.0006586394717658143,99079.42106613852,65.25761755386416,99046.79225736158,6028689.526811201,60.84704030301982
19-20,0.0006835076506349816,99014.16344858464,67.67693823833017,98980.32497946548,5929642.73455384,59.88681344192684
20-21,0.0007053427990981521,98946.48651034631,69.79119175613522,98911.59091446824,5830662.409574375,58.927432546730124
21-22,0.0007293766216717426,98876.69531859018,72.11834999353951,98840.63614359341,5731750.818659906,57.968673004206465
22-23,0.0007379140404443752,98804.57696859664,72.9092846052944,98768.12232629399,5632910.182516313,57.010619905863656
23-24,0.0007290751482070532,98731.66768399134,71.98280524943551,98695.67628136663,5534142.060190019,56.05235067945016
24-25,0.0007093298448590896,98659.6848787419,69.98225896888465,98624.69374925747,5435446.383908653,55.09288206818328
25-26,0.0006863936446607592,98589.70261977302,67.67134530720641,98555.86694711942,5336821.690159395,54.131633916593735
26-27,0.0006709753296218377,98522.03127446581,66.1058524093977,98488.97834826111,5238265.823212276,53.16847161442853
27-28,0.0006663922583677889,98455.92542205642,65.61026649169477,98423.12028881058,5139776.8448640155,52.20383458721303
28-29,0.0006769126903708607,98390.31515556472,66.60165293839019,98357.01432909553,5041353.724575205,51.238312598189474
29-30,0.0007000959929691433,98323.71350262633,68.83603783703474,98289.29548370781,4942996.710246109,50.27268127046561
30-31,0.0007290229410646579,98254.87746478929,71.63005974332826,98219.06243491762,4844707.414762402,49.30755133757666
31-32,0.0007648156379970438,98183.24740504596,75.09208300471182,98145.7013635436,4746488.352327485,48.34315912109001
32-33,0.0008127734034769974,98108.15532204125,79.73969930994537,98068.28547238627,4648342.650963941,47.37977832429626
33-34,0.000871946796485492,98028.4156227313,85.47556296678891,97985.67784124792,4550274.365491554,46.41791195528018
34-35,0.000939633402593089,97942.94005976451,92.0304580283275,97896.92483075034,4452288.687650306,45.457984872963095
35-36,0.001013512302234242,97850.90960173619,99.17310066617034,97801.3230514031,4354391.762819556,44.50026862849208
36-37,0.0010952598828894006,97751.73650107002,107.0635554723975,97698.20472333382,4256590.439768152,43.54490868529541
37-38,0.0011878362691859867,97644.67294559762,115.98588401758452,97586.68000358883,4158892.2350448184,42.59210573998164
38-39,0.001292162347372956,97528.68706158003,126.0228972096937,97465.67561297519,4061305.5550412294,41.64216373052273
39-40,0.0014079227106645064,97402.66416437033,137.13542295624487,97334.0964528922,3963839.879428254,40.69539486865717
40-41,0.0015351734859686405,97265.52874141409,149.31946082253967,97190.86901100283,3866505.7829753617,39.75206666746948
41-42,0.0016817348446215188,97116.20928059155,163.32371312472654,97034.54742402918,3769314.913964359,38.81241804932813
42-43,0.0018426037383212203,96952.88556746682,178.64574938764383,96863.56269277299,3672280.36654033,37.876957916687196
43-44,0.0020189915054622406,96774.23981807918,195.3863681402676,96676.54663400905,3575416.803847557,36.94595597515202
44-45,0.0022123608256347156,96578.8534499389,213.66727195736104,96472.01981396023,3478740.257213548,36.01968891685728
45-46,0.0024241798027861495,96365.18617798155,233.6065380243899,96248.38290896936,3382268.2373995874,35.098445523186264
46-47,0.002656475899751626,96131.57963995716,255.37122451860026,96003.89402769785,3286019.854490618,34.18252219299621
47-48,0.0029118456090247453,95876.20841543855,279.1767164844361,95736.62005719633,3190015.9604629204,33.27223732753751
48-49,0.0031930410717203013,95597.03169895412,305.2452485493081,95444.40907467947,3094279.340405724,32.367943705092856
49-50,0.0035023965179796783,95291.7864504048,333.74962105596086,95124.91163987682,2998834.9313310445,31.470025308968328
50-51,0.0038420554402788356,94958.03682934884,364.83404199839777,94775.61980834964,2903710.019691168,30.578875855547523
51-52,0.004214247469598807,94593.20278735044,398.6391654878384,94393.88320460652,2808934.399882818,29.694886282658413
52-53,0.004621915005588575,94194.5636218626,435.3592670487544,93976.88398833823,2714540.5166782117,28.818441450353145
53-54,0.005067981471222219,93759.20435481385,475.1699104267342,93521.61939960047,2620563.6326898737,27.94993463012815
54-55,0.005556062729433956,93284.03444438711,518.2919470276926,93024.88847087327,2527042.013290273,27.089759017624957
55-56,0.006090474450813534,92765.74249735942,564.9873845909149,92483.24880506397,2434017.1248194,26.23831879412472
56-57,0.006675931597134091,92200.7551127685,615.5259343369538,91892.99214560003,2341533.876014336,25.396037951646523
57-58,0.00731695484017609,91585.22917843155,670.1249859257612,91250.16668546866,2249640.883868736,24.563359223416455
58-59,0.008018808094636167,90915.10419250578,729.030773423556,90550.588805794,2158390.7171832677,23.740727532061562
59-60,0.008786877321935904,90186.07341908223,792.45396328058,89789.84643744194,2067840.1283774737,22.928596954970047
60-61,0.009626941024913465,89393.61945580164,860.5871025045594,88963.32590454936,1978050.2819400318,22.127421330311247
61-62,0.010544563756495106,88533.03235329708,933.542204205185,88066.26125119449,1889086.9560354825,21.337651109666645
62-63,0.011545571762499474,87599.4901490919,1011.3861998747063,87093.79704915454,1801020.694784288,20.559716634411924
63-64,0.012636335693365055,86588.1039492172,1094.156348554297,86041.02577494005,1713926.8977351335,19.794022730193163
64-65,0.013824826963448188,85493.9476006629,1181.939032001271,84902.97808466226,1627885.8719601934,19.040948717960138
65-66,0.015120791489092964,84312.00856866162,1274.8643015933517,83674.57641786494,1542982.8938755312,18.300867457320315
66-67,0.01643523740532945,83037.14426706827,1364.7351794898584,82354.77667732335,1459308.3174576662,17.574163109031844
67-68,0.017989986533146117,81672.40908757842,1469.2855396151363,80937.76631777085,1376953.5407803429,16.859470121712917
68-69,0.01968577684101573,80203.12354796327,1578.860792117619,79413.69315190446,1296015.774462572,16.159168335726044
69-70,0.021535429708652926,78624.26275584566,1693.2072839731725,77777.65911385907,1216602.0813106676,15.473621483594949
70-71,0.023556239209697277,76931.05547187249,1812.206345349919,76024.95229919752,1138824.4221968085,14.803182085720703
71-72,0.025761564032751233,75118.84912652257,1935.1790418394903,74151.25960560283,1062799.469897611,14.148239519851261
72-73,0.028159962884621813,73183.67008468308,2060.849433345083,72153.24536801054,988648.2102920082,13.509136794424398
73-74,0.030762665253038054,71122.820651338,2187.9275235489727,70028.85688956351,916494.9649239976,12.886088551196346
74-75,0.03358812365725166,68934.89312778902,2315.393714675605,67777.19627045123,846466.1080344341,12.279211145874786
75-76,0.03664985797694555,66619.49941311342,2441.5951919858144,65398.701817120505,778688.911763983,11.688603466310427
76-77,0.03998362836460587,64177.9042211276,2566.0654715968362,62894.87148532918,713290.2099468624,11.114264614955198
77-78,0.04363380386485547,61611.83874953077,2688.358887750128,60267.6593056557,650395.3384615332,10.55633708816208
78-79,0.04763975748236769,58923.479861780645,2807.1002906324065,57519.929716464445,590127.6791558774,10.01515322143508
79-80,0.05201641290667549,56116.37957114824,2918.972770600576,54656.89318584795,532607.749439413,9.491128143150004
80-81,0.057128298329033746,53197.406800547666,3039.0773260326555,51677.86813753134,477950.856253565,8.984476593859918
81-82,0.062438875964026565,50158.32947451501,3131.8297126220205,48592.414618204,426272.98811603367,8.498548348437701
82-83,0.06820764219286697,47026.49976189299,3207.566669342141,45422.71642722192,377680.57349782967,8.031228677663051
83-84,0.0744673210873926,43818.93309255085,3263.078560309957,42187.39381239587,332257.8570706077,7.582518186119211
84-85,0.08125168444867238,40555.85453224089,3295.2314949998963,38908.23878474094,290070.46325821185,7.152369654240995
85-86,0.08859532388179148,37260.62303724099,3301.1169660217065,35610.064554230135,251162.2244734709,6.740687728770424
86-87,0.09653336375421885,33959.506071219286,3278.225352486615,32320.393394975978,215552.15991924077,6.347329065010207
87-88,0.10510110904475686,30681.280718732673,3224.636630452319,29068.962403506514,183231.7665242648,5.97210293155694
88-89,0.11433362282135023,27456.644088280354,3139.217589129502,25887.035293715602,154162.8041207583,5.6147722797106665
89-90,0.12426522927646896,24317.426499150853,3021.8105793306627,22806.521209485523,128275.76882704269,5.2750552708166705
90-91,0.13492893997914915,21295.61591982019,2873.3948822644315,19858.918478687974,105469.24761755716,4.9526272456574105
91-92,0.14635580334328935,18422.22103755576,2696.1989593191183,17074.1215578962,85610.32913886919,4.647123110961645
92-93,0.15857418031150966,15726.02207823664,2493.741060617079,14479.1515479281,68536.20758097299,4.35814010943179
93-94,0.1716089529278343,13232.281017619562,2270.7778902805508,12096.892072479286,54057.056033044886,4.085240931708201
94-95,0.18548067678710836,10961.50312733901,2033.1470186628444,9944.929618007589,41960.1639605656,3.8279571216754973
95=96,0.20020469320728057,8928.356108676166,1787.498795582861,8034.606710884735,32015.23434255801,3.58579272072796
96-97,0.21579022219800081,7140.857313093305,1540.9271862766232,6370.393719954993,23980.627631673276,3.3582280922632317
97-98,0.23223946263385017,5599.930126816681,1300.5247634390144,4949.667745097174,17610.233911718286,3.144723864925962
98-99,0.2495467311312489,4299.405363377667,1072.902554239056,3762.9540862581384,12660.566166621113,2.944724932071726
99-100,0.2676976755401867,3226.5028091386107,863.7273021302888,2794.639158073466,8897.612080362975,2.7576644455916024
100-101,0.28666860219846046,2362.775507008322,677.3335519028344,2024.1087310569048,6102.9729222895085,2.5829677445814205
101-102,0.30642595763327024,1685.4419551054878,516.4631651284903,1427.2103725412426,4078.864191232604,2.4200561632378004
102-103,0.3269260047328438,1168.9787899769974,382.16956542461384,977.8940072646905,2651.6538186913613,2.2683506676314797
103-104,0.34811473013645394,786.8092245523835,273.89988087392555,649.8592841154207,1673.7598114266707,2.1272752774077786
104-105,0.369928013449206,512.909343678458,189.73953458650803,418.03957638520393,1023.90052731125,1.9962602357135681
105-106,0.3922920798475853,323.16980909194996,126.77695655262814,259.7813308156359,605.8609509260461,1.874744898443355
106-107,0.4151242459505967,196.39285253932184,81.5274348204727,155.62913512908548,346.07962011041025,1.762180321919394
107-108,0.4383339550424532,114.86541771884913,50.34941284630662,89.69071129569582,190.45048498132476,1.6580315360666844
108-109,0.4618240826941424,64.51600487254251,29.795044769352764,49.618482487866125,100.75977368562894,1.5617794977337707
109-110,0.4854924786317114,34.720960103189746,16.856764980970354,26.29257761270457,51.14129119776282,1.4729227258051707
