x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.008172737049624202,100000.0,817.2737049624202,99591.36314751879,7711004.3908,77.11004390800001
1-2,0.0011048015074628492,99182.72629503757,109.57722552503269,99127.93768227506,7611413.027652482,76.74131688022882
2-3,0.0003919797661529795,99073.14906951254,38.8346698043068,99053.73173461038,7512285.089970207,75.8256415640869
3-4,0.0003384732474834441,99034.31439970824,33.52046600716566,99017.55416670465,7413231.358235597,74.85517926963541
4-5,0.00028598733402086953,99000.79393370108,28.312973123048643,98986.63744713955,7314213.804068892,73.88035502995137
5-6,0.00025255902509504233,98972.48096057803,24.996393302641227,98959.98276392672,7215227.166621753,72.9013468854607
6-7,0.00022421170692900176,98947.48456727539,22.185184411159874,98936.39197506981,7116267.1838578265,71.91963711840906
7-8,0.00019759921101177578,98925.29938286422,19.54756110715768,98915.52560231065,7017330.791882757,70.9356538282895
8-9,0.00017065279952996917,98905.75182175706,16.87854343799919,98897.31255003806,6918415.266280446,69.94957460864828
9-10,0.0001438816301655295,98888.87327831906,14.228292292517018,98881.75913217281,6819517.953730408,68.96142839586338
10-11,0.00012092695745075152,98874.64498602654,11.956609987183395,98868.66668103295,6720636.194598235,67.97128015527164
11-12,0.00010767159934211621,98862.68837603935,10.644703772709398,98857.366024153,6621767.527917203,66.9794402386702
12-13,0.00010959657852584715,98852.04367226665,10.833845766768045,98846.62674938327,6522910.161893049,65.98659895711472
13-14,0.00012967940594135201,98841.20982649988,12.81766937282503,98834.80099181346,6424063.535143666,64.99377685097232
14-15,0.00016776613120104403,98828.39215712705,16.580057005020805,98820.10212862454,6325228.734151852,64.00214145035756
15-16,0.00021827219174204093,98811.81210012203,21.567870797096354,98801.02816472348,6226408.632023227,63.012796746549476
16-17,0.00027258064026560943,98790.24422932493,26.928308024025316,98776.78007531293,6127607.6038585035,62.02644453063901
17-18,0.00032093268416469203,98763.3159213009,31.696376075628564,98747.4677332631,6028830.823783191,61.04322002095633
18-19,0.00035528888729702854,98731.61954522527,35.07824724925664,98714.08042160065,5930083.356049928,60.06265655688528
19-20,0.00038140492514318445,98696.54129797601,37.64334694564575,98677.7196245032,5831369.275628327,59.08382602813572
20-21,0.00040702502545272894,98658.89795103038,40.15664044965633,98638.81963080555,5732691.556003824,58.1061787133408
21-22,0.000436840603268995,98618.74131058072,43.08067044774304,98597.20097535686,5634052.7363730185,57.12963541716331
22-23,0.0004708234025466692,98575.66064013298,46.411727950873185,98552.45477615754,5535455.535397662,56.15438435260173
23-24,0.0005044226393792489,98529.2489121821,49.70038379233788,98504.39872028593,5436903.080621504,55.18060008218827
24-25,0.0005465445990249341,98479.54852838976,53.82346536260532,98452.63679570846,5338398.681901218,54.20819613487831
25-26,0.0005924715602679118,98425.72506302716,58.31444289859222,98396.56784157787,5239946.045105509,53.23756611140123
26-27,0.000642534111980936,98367.41062012856,63.20441683066839,98335.80841171322,5141549.477263931,52.26883014252929
27-28,0.0006970928391945766,98304.20620329789,68.52715820702603,98269.94262419437,5043213.6688522175,51.302114768340694
28-29,0.0007565408179813312,98235.67904509086,74.31930097972456,98198.519394601,4944943.726228023,50.337553262682285
29-30,0.0008213063571800634,98161.35974411113,80.62054878727763,98121.0494697175,4846745.206833422,49.3752859523137
30-31,0.0008918560001625283,98080.73919532385,87.47389575172565,98037.00224744799,4748624.157363704,48.41546053101221
31-32,0.000968697803152495,97993.26529957213,94.92586081943513,97945.80236916241,4650587.155116256,47.45823236830707
32-33,0.001052384909428082,97898.3394387527,103.02673508341138,97846.82607121099,4552641.352747094,46.50376481202037
33-34,0.001143519441287194,97795.31270366927,111.83084134340632,97739.39728299757,4454794.526675883,45.5522294833742
34-35,0.001242756734069871,97683.48186232586,121.39680489179757,97622.78345987997,4357055.129392886,44.603806563055116
35-36,0.0013508099388957375,97562.08505743406,131.78783415497324,97496.19114035658,4259432.345933005,43.65868506628892
36-37,0.001468455023144311,97430.29722327908,143.07200936396737,97358.7612185971,4161936.1547926487,42.71706310466058
37-38,0.0015965362001154964,97287.22521391511,155.32257686280454,97209.5639254837,4064577.3935740516,41.779148132109434
38-39,0.0017359718217784153,97131.9026370523,168.61824597364736,97047.59351406548,3967367.829648568,40.84515717223437
39-40,0.0018877607710600418,96963.28439107866,183.04348450661678,96871.76264882536,3870320.2361345026,39.915317023755854
40-41,0.0020529893927446505,96780.24090657204,198.68880800846432,96680.8965025678,3773448.473485677,38.98986444070149
41-42,0.0022328390047473335,96581.55209856358,215.65105666470944,96473.72657023123,3676767.576983109,38.069046283610014
