x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.00744576187596292,100000.0,744.576187596292,99627.71190620186,7190478.3563,71.904783563
1-2,0.001759956542538323,99255.42381240371,174.68523252105396,99168.08119614318,7090850.644393798,71.44043491059752
2-3,0.000826652947541571,99080.73857988266,81.90538459165585,99039.78588758683,6991682.563197655,70.565507114793
3-4,0.0005123597478406803,98998.83319529101,50.723017212460874,98973.47168668477,6892642.777310068,69.62347489200432
4-5,0.0003764750656139426,98948.11017807855,37.25149627166775,98929.48442994272,6793669.305623383,68.65890913324877
5-6,0.00031123191095342785,98910.85868180689,30.784215561583206,98895.4665740261,6694739.821193441,67.6845789270742
6-7,0.00027970289595280083,98880.0744662453,27.65704318023741,98866.2459446552,6595844.354619415,66.70549542184091
7-8,0.0002665383534256398,98852.41742306507,26.34796057208779,98839.24344277903,6496978.108674759,65.72401847158905
8-9,0.0002645046107014265,98826.06946249297,26.139951030328834,98812.99948697782,6398138.86523198,64.74140780900163
9-10,0.0002698885110376522,98799.92951146264,26.664965866473647,98786.5970285294,6299325.8657450015,63.75840445325583
10-11,0.00028067267859549527,98773.26454559618,27.722956733633943,98759.40306722936,6200539.268716472,62.775481778818296
11-12,0.00029572715664212177,98745.54158886254,29.2017382451607,98730.94071973996,6101779.865649243,61.792965712362445
12-13,0.00031444389083731567,98716.33985061738,31.040749991846887,98700.81947562147,6003048.924929503,60.81109706876921
13-14,0.0003368802221722176,98685.29910062553,33.24512548615048,98668.67653788246,5904348.105453881,59.83006748992521
14-15,0.00036599260123142846,98652.05397513938,36.10592185118455,98634.00101421379,5805679.428915999,58.85006135177933
15-16,0.00041550026287898737,98615.9480532882,40.97495234020181,98595.4605771181,5707045.427901785,57.87142486140194
16-17,0.0005208386033316326,98574.973100948,51.341651313351015,98549.30227529132,5608449.967324667,56.89527261226034
17-18,0.000732267367566794,98523.63144963465,72.14564024474497,98487.55862951228,5509900.665049375,55.92466075376079
18-19,0.0010715829309654499,98451.4858093899,105.49893172152942,98398.73634352913,5411413.106419863,54.96527616552989
19-20,0.0014837067344249336,98345.98687766837,145.91660303406272,98273.02857615134,5313014.370076334,54.02370283482072
20-21,0.0018458118380723875,98200.07027463432,181.2588522124604,98109.44084852809,5214741.341500183,53.10323431456018
21-22,0.0020413569551731106,98018.81142242186,200.09138243496238,97918.76573120437,5116631.900651654,52.2005095389396
22-23,0.002032053974660195,97818.7200399869,198.77291885342825,97719.3335805602,5018713.13492045,51.30626461753815
23-24,0.0018678033686175314,97619.94712113347,182.3348660771184,97528.77968809492,4920993.80133989,50.40971590809802
24-25,0.0016414153329268916,97437.61225505636,159.9355907592347,97357.64445967674,4823465.021651795,49.50311188892552
25-26,0.0014354380194138512,97277.67666429712,139.63607552417966,97207.85862653503,4726107.377192118,48.58367859156216
26-27,0.0012952863699579183,97138.04058877294,125.82157997905664,97075.12979878341,4628899.518565583,47.65279894991606
27-28,0.0012308548822773154,97012.21900879388,119.40796340753013,96952.51502709012,4531824.3887668,46.71395454170575
28-29,0.0012314383802863667,96892.81104538635,119.31752629512354,96833.15228223879,4434871.87373971,45.77090731388044
29-30,0.0012800976945524288,96773.49351909122,123.87952594757309,96711.55375611744,4338038.721457471,44.82672438193703
30-31,0.0013619138270360097,96649.61399314365,131.62844567495534,96583.79977030617,4241327.167701353,43.883539648717424
31-32,0.001466690462610549,96517.98554746869,141.56200887285513,96447.20454303226,4144743.367931047,42.942704869162576
32-33,0.001588626895369356,96376.42353859583,153.10617851292162,96299.87044933937,4048296.163388015,42.00504661564656
33-34,0.0017250238752854505,96223.3173600829,165.98751980531196,96140.32360018024,3951996.2929386753,41.07108756341957
