x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.005673321960738523,100000.0,567.3321960738523,99716.33390196308,7617883.6398,76.178836398
1-2,0.0004678985252015479,99432.66780392615,46.524398622312475,99409.40560461499,7518167.305898037,75.61063654374944
2-3,0.00029851886961164854,99386.14340530384,29.6686391844125,99371.30908571163,7418757.900293422,74.64579715141168
3-4,0.00022786441947564388,99356.47476611943,22.639805443728264,99345.15486339756,7319386.59120771,73.66793768032943
4-5,0.00019308383841494506,99333.8349606757,19.179758138683926,99324.24508160635,7220041.4363443125,72.68461384987889
5-6,0.0001811833190436982,99314.65520253702,17.994158859276144,99305.65812310738,7120717.191262706,71.69855422385643
6-7,0.000178336002253384,99296.66104367774,17.70816956763882,99287.80695889393,7021411.533139599,70.71145655190844
7-8,0.00017314736064775974,99278.95287411011,17.189888658025488,99270.3579297811,6922123.726180704,69.72398001576677
8-9,0.00015790379654843107,99261.76298545208,15.673809227493411,99253.92608083833,6822853.368250923,68.73596804089495
9-10,0.0001341571242237858,99246.08917622459,13.314569914339687,99239.43189126742,6723599.442170084,67.7467444609474
10-11,0.00011306804093948689,99232.77460631025,11.220055421725164,99227.16457859939,6624360.010278817,66.755767301276
11-12,0.00011429265423115476,99221.55455088853,11.340294826562362,99215.88440347524,6525132.845700217,65.76325955822051
12-13,0.00016119630061295722,99210.21425606197,15.992319521096059,99202.21809630143,6425916.961296742,64.77071952199825
13-14,0.00026658060754637246,99194.22193654087,26.443255948932773,99181.0003085664,6326714.74320044,63.781081394518445
14-15,0.0004127637655977937,99167.77868059193,40.93286575416973,99147.31224771484,6227533.742891873,62.79795540192593
15-16,0.0005725230841563103,99126.84581483777,56.75240748859796,99098.46961109347,6128386.430644158,61.82368035891678
16-17,0.0007197231389472841,99070.09340734917,71.30303860293799,99034.4418880477,6029287.961033065,60.85880969388289
17-18,0.000850019127714928,98998.79036874622,84.15086543407467,98956.71493602918,5930253.5191450175,59.90228261432566
18-19,0.0009543196463772989,98914.63950331215,94.39618379233886,98867.44141141599,5831296.804208988,58.95281864737249
19-20,0.0010368908511783534,98820.24331951981,102.46580620922889,98769.0104164152,5732429.362797572,58.00865460594605
20-21,0.0011285230989979524,98717.77751331058,111.40529220551163,98662.07486720782,5633660.352381157,57.068346697954624
