x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.004292302531965891,100000.0,429.2302531965891,99785.38487340171,7864181.9355,78.641819355
1-2,0.0006393523494593209,99570.76974680342,63.660805575091835,99538.93934401587,7764396.550626598,77.97867356424513
2-3,0.00034480366126658725,99507.10894122832,34.31041548498868,99489.95373348582,7664857.611282582,77.0282414275513
3-4,0.00023437036424938095,99472.79852574333,23.31347602338375,99461.14178773164,7565367.657549096,76.05463774693337
4-5,0.00018225910952624733,99449.48504971995,18.125574588005804,99440.42226242594,7465906.515761364,75.07234966605178
5-6,0.00015820516366730157,99431.35947513195,15.730554499425548,99423.49419788223,7366466.093498939,74.08594363372163
6-7,0.00014679372078051398,99415.62892063252,14.59359007299452,99408.33212559602,7267042.599301057,73.09758715204255
7-8,0.00013861312663482271,99401.03533055952,13.778288297907334,99394.14618641057,7167634.267175461,72.10824558657156
8-9,0.000127983987203213,99387.25704226161,12.71997743345925,99380.89705354488,7068240.120989051,71.11817280542799
9-10,0.0001148760267348885,99374.53706482815,11.415751976626368,99368.82918883984,6968859.223935505,70.12721195761937
10-11,0.00010486799020826423,99363.12131285152,10.420010832898685,99357.91130743508,6869490.394746666,69.13521137402286
11-12,0.00010873018113085196,99352.70130201863,10.802637208407917,99347.29998341443,6770132.48343923,68.14240976557802
12-13,0.00014004442644201438,99341.89866481021,13.91227922017406,99334.94252520012,6670785.183455816,67.14976533681656
13-14,0.0002073212141503536,99327.98638559005,20.59279873657032,99317.68998622177,6571450.240930615,66.15910057232334
14-15,0.00030248182498168166,99307.39358685348,30.03868164632559,99292.37424603032,6472132.5509443935,65.17271591952432
15-16,0.000410371254295692,99277.35490520715,40.74057265560843,99256.98461887935,6372840.176698363,64.19228415969918
16-17,0.0005141433215594774,99236.61433255154,51.02184251325489,99211.10341129491,6273583.192079484,63.218432372713735
17-18,0.000607187180327483,99185.5924900383,60.224220233137125,99155.48037992173,6174372.08866819,62.250695223586156
18-19,0.0006810515575658275,99125.36826980516,67.50948645443705,99091.61352657794,6075216.608288269,61.28821223394997
19-20,0.0007359872802020946,99057.85878335072,72.90532406860146,99021.40612131642,5976124.9947616905,60.32964035526009
20-21,0.0007880223282463066,98984.95345928211,78.00235348633579,98945.95228253894,5877103.588640374,59.37370664176698
21-22,0.0008335384704719948,98906.95110579577,82.44274874377338,98865.72973142388,5778157.6363578355,58.42013702532628
22-23,0.000840536632812006,98824.508357052,83.06561949373844,98782.97554730512,5679291.906626412,57.46845596344568
23-24,0.000814867048430034,98741.44273755826,80.46114800127732,98701.21216355762,5580508.931079106,56.51638031977478
24-25,0.0007792423138255736,98660.98158955698,76.8808115781487,98622.5411837679,5481807.718915549,55.56206344794551
25-26,0.0007508584376473073,98584.10077797883,74.02270388701787,98547.08942603532,5383185.177731781,54.60500359845294
26-27,0.0007268895505903645,98510.07807409181,71.60594637989831,98474.27510090187,5284638.088305746,53.645659323618055
27-28,0.0007121777180915451,98438.47212771191,70.10568645233204,98403.41928448575,5186163.8132048445,52.684318448953874
28-29,0.000708942995837687,98368.36644125958,69.73756440052597,98333.49765905931,5087760.393920358,51.72150944438527
29-30,0.000718054337778306,98298.62887685906,70.58375686268849,98263.33699842771,4989426.896261299,50.75784833694546
30-31,0.0007396296114259003,98228.04511999637,72.65237084322871,98191.71893457476,4891163.559262872,49.79396213462028
31-32,0.0007731916498177256,98155.39274915314,75.89293005822454,98117.44628412402,4792971.840328297,48.830448394998136
32-33,0.0008180697529701447,98079.49981909491,80.23587218844233,98039.3818830007,4694854.394044173,47.867846009652474
33-34,0.0008736495289927261,97999.26394690647,85.61701078884869,97956.45544151205,4596815.012161172,46.906627938058904
34-35,0.0009396044951579401,97913.64693611763,92.0001027984836,97867.64688471839,4498858.55671966,45.94720651815652
35-36,0.001015797980072592,97821.64683331914,99.36703126066006,97771.96331768882,4400990.909834942,44.98994907879546
36-37,0.0011023639858371854,97722.27980205849,107.72552186769387,97668.41704112465,4303218.946517253,44.03518783263801
37-38,0.00119957348333054,97614.5542801908,117.09583090164656,97556.00636473998,4205550.5294761285,43.08323241844247
38-39,0.0013079181818552081,97497.45844928916,127.51869859049798,97433.69909999392,4107994.5231113886,42.13437548475233
39-40,0.001427897633978897,97369.93975069866,139.03430659069036,97300.42259740332,4010560.8240113948,41.18890115655656
40-41,0.0015601565692824652,97230.90544410796,151.69543586590726,97155.05772617501,3913260.4014139916,40.24708382113631
41-42,0.0017053590640511913,97079.21000824205,165.5549107184847,96996.4325528828,3816105.3436878165,39.3091923941679
42-43,0.001864346881189486,96913.65509752357,180.6806706257416,96823.3147622107,3719108.9111349336,38.37548906180887
43-44,0.0020380753030388786,96732.97442689782,197.14908616895187,96634.39988381336,3622285.5963727226,37.44623400482866
44-45,0.0022279190825321006,96535.82534072887,215.07400742459578,96428.28833701658,3525651.1964889094,36.52168699076137
45-46,0.002435442113079844,96320.75133330427,234.58361416062075,96203.45952622396,3429222.908151893,35.602119591920065
46-47,0.002662678539948653,96086.16771914365,255.84657677167078,95958.24443075781,3333019.448625669,34.68781748448916
47-48,0.0029118851271313292,95830.32114237198,279.0468868626919,95690.79769894063,3237061.2041949113,33.77909168629118
48-49,0.0031855770048172067,95551.27425550928,304.38594204933275,95399.08128448462,3141370.4064959707,32.87627957839449
49-50,0.0034859355238292503,95246.88831345995,332.0245115060871,95080.8760577069,3045971.325211486,31.97974631136627
50-51,0.003814885014906955,94914.86380195386,362.0892916100084,94733.81915614886,2950890.449153779,31.089866549363723
51-52,0.00417457375080052,94552.77451034385,394.7175305362419,94355.41574507573,2856156.62999763,30.207010262667367
52-53,0.004567975492169414,94158.0569798076,430.1116966740523,93943.00113147058,2761801.2142525543,29.331544244215113
53-54,0.0049979819011020474,93727.94528313355,468.4505741525845,93493.71999605726,2667858.2131210836,28.463850403014945
54-55,0.005467947872296487,93259.49470898097,509.93805566541795,93004.52568114827,2574364.493125026,27.60431526203747
55-56,0.005981998350355167,92749.55665331555,554.8276948963068,92472.14280586739,2481359.967443878,26.753335077587952
56-57,0.0065440763620464165,92194.72895841925,603.3293464820676,91893.06428517822,2388887.8246380105,25.911327595696093
57-58,0.0071575095057097565,91591.39961193717,655.5663133637012,91263.61645525532,2296994.7603528323,25.078716670833177
58-59,0.007826120776325536,90935.83329857347,711.6748142904413,90579.99589142825,2205731.1438975767,24.25590731274663
59-60,0.00855468834101632,90224.15848428303,771.8395566635048,89838.23870595128,2115151.1480061486,23.443290395161803
60-61,0.009348754568894849,89452.31892761953,836.2677752728223,89034.18503998312,2025312.9093001974,22.641256633480705
61-62,0.0102145962411206,88616.05115234671,905.1771830037115,88163.46256084486,1936278.7242602143,21.850203197741315
62-63,0.011158781819047031,87710.873969343,978.7465057818301,87221.50071645208,1848115.2616993694,21.07053752930713
63-64,0.012188867799536351,86732.12746356116,1057.166435625883,86203.54424574823,1760893.7609829174,20.30266998492252
64-65,0.013312134669258426,85674.96102793528,1140.5166189873416,85104.70271844161,1674690.216737169,19.54702046717147
65-66,0.014536617938518272,84534.44440894794,1228.8449210177882,83920.02194843904,1589585.5140187275,18.803997886694226
66-67,0.015640590724339633,83305.59948793014,1302.9487866364727,82654.12509461191,1505665.4920702884,18.074001043452537
67-68,0.017107739955995994,82002.65070129366,1402.8800239001046,81301.21068934361,1423011.3669756765,17.35323620402465
68-69,0.01870274156017956,80599.77067739356,1507.4366807890306,79846.05233699906,1341710.156286333,16.646575356357097
69-70,0.0204377267207796,79092.33399660453,1616.4675079312292,78284.10024263892,1261864.103949334,15.954316179410085
70-71,0.02232962498948937,77475.8664886733,1730.0070444278215,76610.86296645939,1183580.003706695,15.276757232263162
71-72,0.024394130263413277,75745.85944424548,1847.754362197117,74821.98226314691,1106969.1407402356,14.614252829952326
72-73,0.026642970524284118,73898.10508204837,1968.865035501465,72913.67256429764,1032147.1584770887,13.967166780949329
73-74,0.029091566305628706,71929.2400465469,2092.5342561276025,70882.9729184831,959233.485912791,13.335793417142336
74-75,0.03175813665464125,69836.70579041929,2217.8836460021116,68727.76396741824,888350.5129943079,12.720395427302332
75-76,0.03465400627333969,67618.82214441718,2343.2630867884736,66447.19060102294,819622.7490268897,12.121221917713635
76-77,0.03780759268435564,65275.55905762871,2467.9117490944277,64041.60318308149,753175.5584258668,11.538400732208569
77-78,0.041257841514548005,62807.64730853428,2591.307958557135,61511.99332925571,689133.9552427853,10.972134521414338
78-79,0.04503740245718675,60216.33934997715,2711.987509803452,58860.34559507542,627621.9619135296,10.42278505615881
79-80,0.049162497721990016,57504.351840173695,2827.0575663470518,56090.82305700017,568761.6163184542,9.890757796892615
80-81,0.053818316259533344,54677.29427382664,2942.639915444374,53205.97431610445,512670.793261454,9.376301444141928
81-82,0.058754557478783186,51734.65435838227,3039.646723144552,50214.83099680999,459464.81894534954,8.881180799285751
82-83,0.06411283351852327,48695.00763523772,3121.974917701216,47134.020176387115,409249.98794853955,8.404352064468911
83-84,0.06992342155337375,45573.03271753651,3186.6223781739996,43979.72152844951,362115.96777215245,7.945838715991577
84-85,0.07621768629399689,42386.41033936251,3230.5941263741583,40771.113276175434,318136.24624370295,7.505618987231456
85-86,0.08302790381005998,39155.81621298836,3251.025342136384,37530.30354192016,277365.1329675275,7.083625366377188
86-87,0.09038703599119444,35904.790870851975,3245.3276247000067,34282.127058501974,239834.82942560734,6.679744502294503
87-88,0.09832845013137992,32659.46324615197,3211.354403116889,31053.786044593526,205552.70236710538,6.2938175320846454
88-89,0.10688557853660911,29448.10884303508,3147.5781504968395,27874.31976778666,174498.91632251185,5.9256408366537086
89-90,0.11609151381407654,26300.53069253824,3053.268422210347,24773.896481433065,146624.5965547252,5.5749672228600415
90-91,0.12597853667256562,23247.262270327894,2928.6560824592534,21782.934229098268,121850.70007329213,5.241507522751128
91-92,0.13657757471306206,20318.60618786864,2775.0659546889146,18931.073210524184,100067.76584419387,4.924932592272987
92-93,0.147917592869385,17543.540233179727,2594.9982416991543,16246.04111233015,81136.69263366968,4.624875683883779
93-94,0.16002491890371914,14948.541991480572,2392.139219915519,13752.472381522812,64890.65152133953,4.340935159985624
94-95,0.17292251067300388,12556.402771565054,2171.2846922804933,11470.760425424807,51138.17913981672,4.07267750725734
95-96,0.18662917571764623,10385.11807928456,1938.166026867303,9416.035065850909,39667.41871439191,3.8196406060627703
96-97,0.20115875798760652,8446.952052417259,1699.1783836451195,7597.362860594699,30251.383648541003,3.5813372043332463
97-98,0.21651931105107933,6747.773668772139,1461.0233058911574,6017.26201582656,22654.020787946305,3.3572585418485965
98-99,0.2327122816947109,5286.750362880982,1230.2917396963742,4671.604493032794,16636.758772119745,3.14687806879038
99-100,0.24973173211651725,4056.458623184608,1013.0264382268749,3549.9454040711703,11965.15427908695,2.949655201879874
100-101,0.26756363256426857,3043.432184957733,814.3117708702999,2636.276299522583,8415.20887501578,2.765039062348172
101-102,0.28618525886865687,2229.1204140874333,637.9414027550197,1910.1497127099235,5778.932575493197,2.5924721423624844
102-103,0.3055647304325796,1591.1790113324137,486.2081856677675,1348.07491849853,3868.7828627832732,2.43139385023917
103-104,0.3256607234627385,1104.970825664646,359.8455984911681,925.048026419062,2520.7079442847435,2.2812438896461575
104-105,0.3464223912424089,745.1252271734779,258.12806297247937,616.0611956872382,1595.6599178656816,2.141465433828594
105-106,0.36778951785215663,486.99716420099855,179.1124522168528,397.44093809257214,979.5987221784434,2.0115080624455817
106-107,0.38969292394032634,307.8847119841457,119.98049364962698,247.89446515933224,582.1577840858713,1.8908304356334817
107-108,0.41205513314357306,187.90421833451873,77.42689770406913,149.19076948248417,334.26331892653906,1.778902687173647
108-109,0.4347912960192865,110.4773206304496,48.03457741765144,86.46003192162388,185.07254944405489,1.6752085259483154
109-110,0.45781035556981686,62.442743212798156,28.586934473005893,48.14927597629521,98.612517522431,1.5792470421481988
