x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.005008555041226209,100000.0,500.85550412262086,99749.57224793869,7850999.1746,78.509991746
1-2,0.00042563124800745706,99499.14449587738,42.34994504745459,99477.96952335365,7751249.602352061,77.90267586344146
2-3,0.00024972119889833796,99456.79455082993,24.836469973818936,99444.37631584302,7651771.632828708,76.93563488935966
3-4,0.0001969184126002889,99431.95808085611,19.579983347020654,99422.16808918261,7552327.2565128645,75.95472725551136
4-5,0.00016856050489446483,99412.37809750909,16.75700064487557,99403.99959718666,7452905.088423681,74.96958860709945
5-6,0.00015712914502179543,99395.62109686421,15.617948961860606,99387.81212238329,7353501.088826495,73.98214335478897
6-7,0.0001527168495551529,99380.00314790235,15.177000989528825,99372.41464740758,7254113.276704112,72.99369135567619
7-8,0.00014711050681352476,99364.82614691282,14.617609933910122,99357.51734194586,7154740.862056704,72.00476405482038
8-9,0.0001347645981289397,99350.20853697891,13.388890927512316,99343.51409151516,7055383.344714758,71.01528470459817
9-10,0.0001166793475723943,99336.8196460514,11.590555306217878,99331.0243683983,6956039.830623243,70.02478894943908
10-11,0.0001005625997998488,99325.22909074518,9.988403263080908,99320.23488911364,6856708.806254845,69.03290200307961
11-12,9.995643118733921e-05,99315.2406874821,9.927197021632336,99310.27708897128,6757388.571365732,68.03979454300861
12-13,0.00013093386826263834,99305.31349046047,13.002428834339954,99298.8122760433,6658078.294276761,67.04654625471127
13-14,0.00020240642290542875,99292.31106162613,20.097401503996878,99282.26236087413,6558779.482000718,66.05526059243387
14-15,0.0003022993350911172,99272.21366012213,30.00992418247824,99257.2086980309,6459497.219639843,65.06853208446825
15-16,0.0004133376400863245,99242.20373593965,41.02053828917951,99221.69346679506,6360240.010941813,64.08805701115755
16-17,0.0005157200422455165,99201.18319765048,51.16003838949753,99175.60317845573,6261018.317475018,63.11435121696519
17-18,0.0006031046332113572,99150.02315926098,59.79783835036366,99120.1242400858,6161842.714296563,62.14665935477418
18-19,0.0006673604438266702,99090.22532091061,66.12889674904766,99057.16087253609,6062722.590056477,61.183861177244545
19-20,0.0007128456820926076,99024.09642416156,70.58889955908559,98988.80197438202,5963665.429183941,60.2243862305905
20-21,0.0007627403591528755,98953.50752460248,75.47583386875206,98915.7696076681,5864676.627209559,59.26699087196524
21-22,0.0008135482155596989,98878.03169073373,80.44204624005178,98837.8106676137,5765760.857601891,58.311849042826616
22-23,0.0008341687243613936,98797.58964449368,82.41385932372772,98756.38271483182,5666923.046934278,57.358920063998895
23-24,0.0008137908598631018,98715.17578516995,80.3335077837507,98675.00903127808,5568166.664219446,56.406389594414875
24-25,0.0007660433448607074,98634.8422773862,75.55856449797723,98597.06299513721,5469491.6551881675,55.4519227577469
25-26,0.0007069301593699277,98559.28371288822,69.67453014253799,98524.44644781695,5370894.59219303,54.494050584203855
26-27,0.0006657647204367729,98489.60918274568,65.5709071234777,98456.82372918395,5272370.145745213,53.53224760961764
27-28,0.0006547755442420878,98424.03827562221,64.44565322842462,98391.81544900799,5173913.32201603,52.56757813093624
28-29,0.0006803005738702168,98359.59262239379,66.91408730665523,98326.13557874046,5075521.506567022,51.60169304535595
29-30,0.000728252252615687,98292.67853508714,71.5818645588068,98256.88760280774,4977195.370988281,50.63648122287758
30-31,0.0007812750717972679,98221.09667052834,76.73769435327341,98182.7278233517,4878938.4833854735,49.67301983759483
31-32,0.0008312321226223773,98144.35897617506,81.58074383517857,98103.56860425747,4780755.755562122,48.71146753042291
32-33,0.0008819902663574889,98062.77823233989,86.49041589289682,98019.53302439344,4682652.186957864,47.751575790186855
33-34,0.0009336958273175125,97976.28781644699,91.4800511102762,97930.54779089185,4584632.653933471,46.79328800987562
34-35,0.0009905348365367998,97884.8077653367,96.95831205927387,97836.32860930706,4486702.10614258,45.83655225536874
35-36,0.00105643851084759,97787.84945327743,103.30685005540873,97736.19602824973,4388865.777533272,44.88150421622935
36-37,0.00113426323333459,97684.54260322203,110.79998513994113,97629.14261065205,4291129.581505023,43.928440131361015
37-38,0.0012247373243181874,97573.74261808209,119.50220445778135,97513.9915158532,4193500.438894371,42.97775535072325
38-39,0.0013283698904219012,97454.24041362431,129.45527865939573,97389.51277429462,4095986.447378518,42.02984323713317
39-40,0.0014445892144020354,97324.78513496491,140.59433489996587,97254.48796751493,3998596.9346042234,41.085083610091495
40-41,0.001573684574896068,97184.19080006494,152.93726198581857,97107.72216907203,3901342.4466367085,40.14379720116064
