x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.0055545437905853,100000.0,555.45437905853,99722.27281047073,7610457.445,76.10457445
1-2,0.0004486041291651268,99444.54562094147,44.61123378850417,99422.24000404721,7510735.17218953,75.52686902325075
2-3,0.00030381708858582813,99399.93438715297,30.19939867112716,99384.8346878174,7411312.932185483,74.56054149210148
3-4,0.0002299403670196614,99369.73498848184,22.849113333898003,99358.31043181488,7311928.097497665,73.58304918841947
4-5,0.0001898856437122691,99346.88587514794,18.864547375211803,99337.45360146034,7212569.787065851,72.59985779655028
5-6,0.00017342451705601103,99328.02132777273,17.22591412889815,99319.40837070828,7113232.333464391,71.61355112462597
6-7,0.0001675611678506935,99310.79541364383,16.640632859691458,99302.47509721399,7013912.9250936825,70.62588609707252
7-8,0.0001615904975324317,99294.15478078414,16.04499187308919,99286.1322848476,6914610.449996469,69.63763844168011
8-9,0.000148258672195597,99278.10978891105,14.718840735392654,99270.75036854336,6815324.317711621,68.64881223265256
9-10,0.00012878016950910217,99263.39094817566,12.78315631235434,99256.99937001948,6716053.567343078,67.6589173832421
10-11,0.0001130720207933177,99250.60779186331,11.222466787990989,99244.99655846931,6616796.567973058,66.66756723393598
11-12,0.00011866742475655683,99239.38532507532,11.776482290950325,99233.49708392985,6517551.571414588,65.67504978054076
12-13,0.00016638581010027992,99227.60884278436,16.510066081620376,99219.35380974355,6418318.074330658,64.68278485375782
13-14,0.00026758106482267536,99211.09877670274,26.547011452897742,99197.82527097629,6319098.7205209145,63.69346573555738
14-15,0.0004062797619182377,99184.55176524984,40.29667607715283,99164.40342721126,6219900.895249939,62.7103796362483
15-16,0.0005575549699282514,99144.25508917269,55.27837216480256,99116.61590309028,6120736.491822727,61.73566472729652
16-17,0.0006979377422748773,99088.97671700788,69.15793669419637,99054.39774866079,6021619.875919636,60.76982602330245
17-18,0.0008241859783174979,99019.81878031368,81.61074621427419,98979.01340720654,5922565.478170975,59.81191998857154
18-19,0.0009284480033332988,98938.20803409941,91.85898170263414,98892.2785432481,5823586.464763769,58.860844364157565
