x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.01065388941509436,100000.0,1065.3889415094359,99467.30552924528,7264925.562,72.64925562
1-2,0.00206943238157673,98934.61105849057,204.73848778313962,98832.241814599,7165458.256470755,72.42620332569463
2-3,0.0009312852896120324,98729.87257070743,91.94567797037033,98683.89973172225,7066626.014656155,71.57535840629436
3-4,0.000670032931950913,98637.92689273706,66.09065935750043,98604.88156305831,6967942.114924433,70.64161154260329
4-5,0.0006588271754598177,98571.83623337955,64.94180444552516,98539.36533115679,6869337.233361375,69.68864024301496
5-6,0.0007292897141215163,98506.89442893403,71.84006487707569,98470.9743964955,6770797.8680302175,68.73425365079278
6-7,0.0008142371690655787,98435.05436405695,80.14948000220608,98394.97962405585,6672326.893633722,67.78405250792534
7-8,0.0008862993099718882,98354.90488405475,87.17188433108842,98311.3189418892,6573931.914009666,66.83888232884081
8-9,0.000937236642858134,98267.73299972365,92.10012017794045,98221.68293963469,6475620.595067777,65.8977305916479
9-10,0.0009677670898246184,98175.63287954571,95.01114652352807,98128.12730628395,6377398.912128142,64.95908124119498
10-11,0.0009821760554640827,98080.62173302218,96.33243817120452,98032.45551393658,6279270.784821858,64.02152304778598
11-12,0.0009855951203916278,97984.28929485098,96.57283740404674,97936.00287614897,6181238.329307921,63.08397370426957
12-13,0.000982769449261311,97887.71645744694,96.20105719233248,97839.61592885076,6083302.326431773,62.14571701727523
13-14,0.0009776108543063807,97791.5154002546,95.60204691435848,97743.71437679742,5985462.710502922,61.20636014284874
14-15,0.0009731336533594113,97695.91335334025,95.07118107982049,97648.37776280034,5887718.996126125,60.265765414688374
15-16,0.000971555020112866,97600.84217226043,94.82458817970314,97553.42987817057,5790070.618363325,59.32398214499164
16-17,0.0009744487152155057,97506.01758408072,95.01461356058796,97458.51027730043,5692517.188485154,58.38118845922941
17-18,0.0009829001279135214,97411.00297052013,95.74528727990865,97363.13032688017,5595058.678207854,57.43764572366746
18-19,0.0009976414635719788,97315.25768324023,97.08573610299204,97266.71481518874,5497695.547880974,56.49366480409366
19-20,0.001019161162914239,97218.17194713723,99.08098517804082,97168.63145454822,5400428.833065785,55.549582191303585
