x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.007617613870283686,100000.0,761.7613870283686,99619.11930648581,6986755.4564,69.867554564
1-2,0.0011539013207741728,99238.23861297163,114.51113460681047,99180.98304566822,6887136.337093513,69.40002597137271
2-3,0.0007916501602044228,99123.72747836482,78.47131473830706,99084.49182099567,6787955.354047845,68.47962164789872
3-4,0.0006419458344878464,99045.25616362652,63.58168962002174,99013.46531881651,6688870.862226849,67.53348036352777
4-5,0.0005679393844688495,98981.67447400649,56.21559127446328,98953.56667836926,6589857.396908033,66.57653986888846
5-6,0.0005301299511426704,98925.45888273203,52.44334868426898,98899.2372083899,6490903.830229663,65.61408866370886
6-7,0.0005129210052438516,98873.01553404775,50.71404651921473,98847.65851078814,6392004.593021274,64.64862590157507
7-8,0.0005089779839119451,98822.30148752853,50.29837577666068,98797.1522996402,6293156.934510485,63.68154596464937
8-9,0.0005144525909874185,98772.00311175187,50.81351291785811,98746.59635529293,6194359.7822108455,62.71372035659204
9-10,0.00042997901907976114,98721.18959883401,42.44804026609376,98699.96557870097,6095613.185855553,61.745742840274154
10-11,0.00034020526600400257,98678.74155856791,33.57102752087282,98661.95604480748,5996913.220276851,60.77208855280706
11-12,0.00025966836640062556,98645.17053104704,25.615030285108116,98632.36301590448,5898251.264232044,59.792600412968625
12-13,0.00022159001558278173,98619.55550076194,21.853108840180845,98608.62894634185,5799618.90121614,58.808000824657256
13-14,0.00024747519686790933,98597.70239192176,24.400485810164373,98585.50214901668,5701010.272269798,57.820924159150486
14-15,0.0003193503229295918,98573.30190611159,31.47941579595288,98557.56219821362,5602424.770120782,56.83511317757155
15-16,0.0003895780076229727,98541.82249031564,38.389726873313805,98522.62762687898,5503867.207922569,55.853109561308045
16-17,0.0004558741203908847,98503.43276344232,44.90516576651692,98480.98018055907,5405344.580295689,54.874682319718914
17-18,0.0005507669913226399,98458.52759767581,54.22770701502902,98431.4137441683,5306863.600115131,53.89948163555925
18-19,0.0008674737733423331,98404.29989066078,85.36314933926205,98361.61831599115,5208432.186370962,52.92890851475157
19-20,0.0009294980110601039,98318.93674132152,91.38725615060252,98273.24311324622,5110070.568054971,51.97442870542465
20-21,0.0009971186722682382,98227.54948517092,97.9445237228163,98178.57722330952,5011797.3249417255,51.02231859808678
21-22,0.0010706960531850016,98129.6049614481,105.06698073282584,98077.07147108168,4913618.747718416,50.07274562705939
22-23,0.0011506335492951715,98024.53798071528,112.79032205476976,97968.1428196879,4815541.676247334,49.12587986076214
23-24,0.0012373780542981024,97911.7476586605,121.15384781080012,97851.1707347551,4717573.533427646,48.18189488225693
24-25,0.0013314211000482737,97790.5938108497,130.20045998601543,97725.4935808567,4619722.362692892,47.24096850898088
25-26,0.0014333006031131469,97660.3933508637,139.97670069006008,97590.40500051867,4521996.869112035,46.30328338803525
26-27,0.0015436031296782982,97520.41665017363,150.53282034873965,97445.15023999926,4424406.464111516,45.369027492804896
27-28,0.001662966623658255,97369.88382982489,161.9228669584804,97288.92239634565,4326961.313871517,44.43839453925842
28-29,0.001792083606974752,97207.9609628664,174.2047933089945,97120.8585662119,4229672.391475171,43.51158433506195
29-30,0.0019317054706352022,97033.75616955741,187.44063762901635,96940.0358507429,4132551.532908959,42.58880307269268
30-31,0.0020826533758668453,96846.3155319284,201.69730598283638,96745.46687893698,4035611.497058216,41.67026360159
31-32,0.0022458637152543304,96644.61822594557,217.0506413482585,96536.09290527143,3938866.030179279,40.75618593650605
32-33,0.00242254119579367,96427.5675845973,233.5997548838653,96310.76770715536,3842329.9372740076,39.846799349191045
33-34,0.0026144548945230012,96193.96782971344,251.49479001598243,96068.22043470545,3746019.169566852,38.94235006708748
34-35,0.0028240680976988272,95942.47303969745,270.9480773257394,95806.99900103458,3649950.949132147,38.04311931402823
35-36,0.003053790966809091,95671.52496237171,292.16083871094116,95525.44454301625,3554143.9501311122,37.1494439074634
36-37,0.003304298358276869,95379.36412366077,315.161876287304,95221.78318551711,3458618.505588096,36.261706474620084
37-38,0.00357360231426256,95064.20224737347,339.72165315473785,94894.3414207961,3363396.722402579,35.38026557726157
38-39,0.003858722346072652,94724.48059421874,365.5154699890371,94541.72285922422,3268502.380981783,34.505360815684085
39-40,0.004158940103721928,94358.9651242297,392.4332842008576,94162.74848212927,3173960.6581225586,33.637086353626636
40-41,0.004477408077190903,93966.53184002884,420.72650864616134,93756.16858570576,3079797.9096404295,32.775477069682225
41-42,0.004819698907384662,93545.80533138268,450.8626157460834,93320.37402350963,2986041.741054724,31.92063749386493
42-43,0.005191149093935724,93094.9427156366,483.26972752827504,92853.30785187247,2892721.3670312143,31.072808926551293
43-44,0.0055954025551376045,92611.67298810833,518.1995916732296,92352.57319227171,2799868.059179342,30.23234511203415
44-45,0.006034654371547878,92093.4733964351,555.7522818228252,91815.5972555237,2707515.48598707,29.399645665790217
45-46,0.006510603780037933,91537.72111461227,595.9658331048528,91239.73819805984,2615699.8887315462,28.575103868453187
46-47,0.007025179913157948,90941.75528150742,638.8821924709716,90622.31418527193,2524460.150533486,27.759087590943206
47-48,0.00758080333296883,90302.87308903644,684.5683212900287,89960.58892839143,2433837.836348214,26.95194242544763
48-49,0.008180367106648719,89618.3047677464,733.1106324756927,89251.74945150856,2343877.247419823,26.154001166326275
49-50,0.008827147408577074,88885.1941352707,784.6027110720249,88492.8927797347,2254625.497968314,25.365591197754405
50-51,0.009524739817689514,88100.59142419868,839.1352111000605,87681.02381864864,2166132.6051885793,24.58703818183002
51-52,0.010277034645505926,87261.45621309862,896.7890087193127,86813.06170873895,2078451.5813699306,23.81866715923472
52-53,0.011088217589493778,86364.66720437931,957.630222006375,85885.85209337612,1991638.5196611916,23.06080234117085
53-54,0.011962782557490063,85407.03698237293,1021.7058122996395,84896.1840762231,1905752.6675678154,22.313766346456227
