x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.006117526258955923,100000.0,611.7526258955924,99694.1236870522,7527728.1213,75.277281213
1-2,0.000861114108203995,99388.24737410441,85.58462200350996,99345.45506310265,7428033.997612948,74.73754889401863
2-3,0.0003232810316099649,99302.66275210089,32.10266725611561,99286.61141847284,7328688.542549845,73.80153099061582
3-4,0.0002303729943333096,99270.56008484478,22.869256175890417,99259.12545675684,7229401.931131372,72.82523564843929
4-5,0.0001990057028364086,99247.69082866888,19.750856468249836,99237.81540043476,7130142.805674615,71.84190126885036
5-6,0.0001927120456541092,99227.93997220063,19.122419298085937,99218.3787625516,7030904.990274181,70.856101539989
6-7,0.00019694532573360328,99208.81755290255,19.53871288860201,99199.04819645824,6931686.611511629,69.8696626216248
7-8,0.00020436394189092538,99189.27884001394,20.270712017063403,99179.14348400541,6832487.563315171,68.88332734362898
8-9,0.00020651715916663864,99169.00812799687,20.48010183596721,99158.76807707889,6733308.419831165,67.89730528655205
9-10,0.00018380250232492268,99148.5280261609,18.2237475530411,99139.41615238438,6634149.651754086,66.91122686161945
10-11,0.0001621761428641332,99130.30427860786,16.076570388852502,99122.26599341343,6535010.235601702,65.92343565530591
11-12,0.00016326367591669837,99114.22770821901,16.181753151288515,99106.13683164337,6435887.969608288,64.93404749674092
12-13,0.00021215953344788988,99098.04595506772,21.02459519542472,99087.53365747,6336781.832776645,63.944568953961216
13-14,0.0003201453353145045,99077.02135987229,31.719046225218637,99061.16183675968,6237694.299119175,62.95803218046215
14-15,0.00046422518330164493,99045.30231364707,45.97932362171965,99022.31265183621,6138633.137282415,61.978034231681036
15-16,0.000606599347319443,98999.32299002535,60.05292471081611,98969.29652766994,6039610.824630579,61.0065871383696
16-17,0.0007291418931405373,98939.27006531453,72.14076668136633,98903.19968197384,5940641.528102909,60.0433126723212
17-18,0.0008364904524131892,98867.12929863317,82.70140971580693,98825.77859377526,5841738.328420935,59.086759875222725
18-19,0.0009271284630352301,98784.42788891736,91.58585480046646,98738.63496151712,5742912.54982716,58.135808168925564
19-20,0.0010051891955519356,98692.8420341169,99.20497849100822,98643.2395448714,5644173.914865643,57.18929355499279
20-21,0.0010587721015202034,98593.63705562589,104.38819230190522,98541.44295947494,5545530.6753207715,56.2463343571758
21-22,0.0010922555383481945,98489.24886332398,107.57542753871924,98435.46114955463,5446989.232361296,55.30541957853918
22-23,0.001107769215918804,98381.67343578527,108.98418924273969,98327.1813411639,5348553.7712117415,54.36534655717965
23-24,0.001115915437358773,98272.68924654253,109.66401100097829,98217.85724104205,5250226.589870578,53.425083104208355
24-25,0.0011194296786245202,98163.02523554156,109.88660379223295,98108.08193364544,5152008.732629536,52.48420900096878
25-26,0.00111949085876459,98053.13863174933,109.76959237142044,97998.25383556362,5053900.65069589,51.54246688294638
26-27,0.0011200281433034413,97943.36903937791,109.6993297740582,97888.51937449088,4955902.396860327,50.599672499195094
27-28,0.0011266233477697269,97833.66970960386,110.22169649283161,97778.55886135744,4858013.877485836,49.6558484610227
28-29,0.0011386939244638038,97723.44801311102,111.2770965301839,97667.80946484592,4760235.318624479,48.71129105049408
29-30,0.0011617716307205338,97612.17091658083,113.40305098392757,97555.46939108886,4662567.509159633,47.76625153787691
30-31,0.0011972872673374534,97498.7678655969,116.73403334656923,97440.40084892361,4565012.039768544,46.82122799809596
31-32,0.0012455138099471948,97382.03383225034,121.29066797881273,97321.38849826093,4467571.638919621,45.87675429551442
32-33,0.0013060845344199212,97260.74316427152,127.0307524530431,97197.227788045,4370250.25042136,44.93334215059504
33-34,0.0013786883290106352,97133.71241181849,133.91711565564964,97066.75385399067,4273053.022633315,43.99145174763652
34-35,0.0014634899866809029,96999.79529616283,141.95822912603165,96928.81618159982,4175986.2687793244,43.05149568645038
35-36,0.0015607506222163649,96857.8370670368,151.17092946890898,96782.25160230235,4079057.4525977247,42.11386064479786
36-37,0.0016712197523424872,96706.6661375679,161.61809063229381,96625.85709225175,3982275.2009954224,41.178911031122986
37-38,0.0017957697638386388,96545.0480469356,173.37267813103557,96458.36170787008,3885649.343903171,40.24700823613608
38-39,0.0019355181678435305,96371.67536880456,186.5291285418401,96278.41080453363,3789190.982195301,39.31851311803447
39-40,0.002091095005461338,96185.14624026272,201.13227890258176,96084.58010081144,3692912.5713907676,38.39379276053883
40-41,0.0022628067330850337,95984.01396136013,217.1932730602936,95875.41732482999,3596827.991289956,37.47319832589951
41-42,0.002451251745048592,95766.82068829983,234.74858632995057,95649.44639513486,3500952.573965126,36.557051271023866
42-43,0.002657940219809793,95532.07210196988,253.91853672159482,95405.11283360909,3405303.127569991,35.64565336691544
43-44,0.0028841983896601983,95278.15356524829,274.80109708268617,95140.75301670695,3309898.0147363823,34.739317365860806
44-45,0.003131771440600917,95003.3524681656,297.5287860211437,94854.58807515503,3214757.2617196753,33.83835599693073
45-46,0.0034026697394395336,94705.82368214446,322.2526403919289,94544.69736194849,3119902.6736445203,32.943092117710364
46-47,0.003699216403202428,94383.57104175253,349.1452541904726,94208.9984146573,3025357.976282572,32.05386215938198
47-48,0.004023832893533844,94034.42578756205,378.3788156085593,93845.23637975777,2931148.977867915,31.1710201165031
48-49,0.004379194466417279,93656.04697195349,410.13804264609547,93450.97795063045,2837303.741488157,30.294933784017427
49-50,0.004767893544444479,93245.90892930739,444.58656722990247,93023.61564569244,2743852.7635375266,29.425985494095254
50-51,0.005193187786745961,92801.3223620775,481.9346938846157,92560.35501513518,2650829.1478918344,28.564562232736826
51-52,0.005657495724724577,92319.38766819288,522.296541041992,92058.23939767189,2558268.792876699,27.71106760447143
52-53,0.006162740752234616,91797.0911271509,565.7216744258875,91514.23028993796,2466210.553479027,26.86589001020746
53-54,0.006711244878186277,91231.369452725,612.2760609695207,90925.23142224025,2374696.323189089,26.0293837244176
54-55,0.0073068152414732645,90619.09339175548,662.1369727633681,90288.0249053738,2283771.0917668487,25.201875303407373
55-56,0.007954223934478448,89956.95641899211,715.5377758207817,89599.18753108171,2193483.066861475,24.383695871666653
56-57,0.008659666182059437,89241.41864317133,772.8008950632793,88855.01819563968,2103883.8793303934,23.575195366881143
57-58,0.009429523926950569,88468.61774810805,834.2169478400286,88051.50927418804,2015028.8611347538,22.776764376177294
58-59,0.010272199097777157,87634.40080026802,900.1980128347549,87184.30179385064,1926977.3518605658,21.988823273322048
59-60,0.011194330530662057,86734.20278743327,970.9313343159984,86248.73712027527,1839793.050066715,21.211851737147445
60-61,0.012201578984358984,85763.27145311727,1046.4473305922304,85240.04778782115,1753544.3129464397,20.446331899839194
61-62,0.013298075297023622,84716.82412252504,1126.570706106045,84153.53876947201,1668304.2651586186,19.692714905669362
62-63,0.014489697692816036,83590.253416419,1211.1975020697942,82984.6546653841,1584150.7263891466,18.951380832612525
63-64,0.01578180814472853,82379.0559143492,1300.090455584123,81729.01068655714,1501166.0717237624,18.222666611821193
64-65,0.017184164975550163,81078.96545876507,1393.2743184903522,80382.3282995199,1419437.0610372054,17.50684721993769
65-66,0.018708416998583825,79685.69114027472,1490.7931386726161,78940.29457093841,1339054.7327376856,16.804205542755227
66-67,0.020371882115410595,78194.89800160211,1592.9772441151938,77398.40937954451,1260114.438166747,16.115046766106516
67-68,0.02219382730639977,76601.92075748692,1700.0898006301845,75751.87585717184,1182716.0287872027,15.439769879028866
68-69,0.02419589835028524,74901.83095685673,1812.3170880823536,73995.67241281556,1106964.1529300308,14.778866401378618
69-70,0.026392050841690134,73089.51386877437,1928.9821660191094,72125.02278576481,1032968.4805172153,14.132923121801262
70-71,0.02879386160596261,71160.53170275527,2048.98650165585,70136.03845192734,960843.4577314506,13.502477212297833
71-72,0.03140848265861583,69111.54520109942,2170.6887689588752,68026.20081661998,890707.4192795232,12.88796852519735
72-73,0.034246724538666805,66940.85643214054,2292.505070613959,65794.60389683356,822681.2184629032,12.289672739650017
73-74,0.037318118304001634,64648.351361526584,2412.5548242681143,63442.07394939253,756886.6145660696,11.707748126992557
74-75,0.04064309925154547,62235.79653725847,2529.455655662786,60971.06870942708,693444.540616677,11.14221363265649
75-76,0.04424976354730051,59706.34088159569,2641.991466285131,58385.34514845312,632473.4719072499,10.593070393670835
76-77,0.04817335798148107,57064.34941531056,2748.9813323640756,55689.85874912852,574088.1267587967,10.060364003812982
77-78,0.052438934989411615,54315.36808294648,2848.240055827593,52891.24805503268,518398.2680096682,9.54422820476901
78-79,0.05707452432343336,51467.12802711889,2937.4618504410555,49998.39710189836,465507.0199546355,9.044744437835197
79-80,0.06209948929497756,48529.666176677834,3013.6674852274396,47022.83243406411,415508.6228527372,8.56195097942834
80-81,0.06799015313197522,45515.9986914504,3094.6397209864963,43968.67883095715,368485.7904186731,8.095742178845972
81-82,0.07408789911645883,42421.3589704639,3142.9093637868154,40849.90428857049,324517.1115877159,7.649851854431695
82-83,0.08069296566467268,39278.44960667709,3169.4945854731704,37693.7023139405,283667.2072991454,7.221955299654286
83-84,0.08783923020302718,36108.95502120392,3171.7828124982852,34523.06361495477,245973.5049852049,6.8119807078538885
84-85,0.09556122541880464,32937.17220870563,3147.5165380941066,31363.41393965858,211450.44137025013,6.419811635024382
85-86,0.10389381365589434,29789.655670611526,3094.96093511577,28242.17520305364,180087.02743059155,6.045287311200892
86-87,0.11287179084413071,26694.694735495756,3013.0780008327943,25188.15573507936,151844.85222753792,5.68820335771178
87-88,0.12252941481249922,23681.616734662963,2901.6946403121415,22230.769414506893,126656.69649245856,5.348312909188763
