x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.006433406085907527,100000.0,643.3406085907527,99678.32969570463,7835884.03,78.3588403
1-2,0.000763048124533285,99356.65939140925,75.81391260850722,99318.752435105,7736205.700304296,77.86298118003349
2-3,0.0002129797012764273,99280.84547880075,21.144804812546123,99270.27307639447,7636886.947869191,76.92205793613915
3-4,0.00017575405488927086,99259.7006739882,17.44529488054872,99250.97802654793,7537616.674792796,75.93833775047932
4-5,0.00016393659782706362,99242.25537910765,16.269437707535513,99234.12066025389,7438365.696766248,74.95159867489431
5-6,0.00016879401196606087,99225.98594140011,16.74875225833688,99217.61156527094,7339131.576105994,73.96380601791415
6-7,0.00017983450923801715,99209.23718914177,17.84124448178735,99200.31656690087,7239913.964540723,72.97620836190761
7-8,0.0001887231748715986,99191.39594465999,18.719715162622045,99182.03608707868,7140713.6479738215,71.98924442960462
8-9,0.0001897376569984185,99172.67622949737,18.816791226047584,99163.26783388435,7041531.6118867425,71.00273865345531
9-10,0.00018350762964088635,99153.85943827132,18.195489715262795,99144.76169341369,6942368.344052858,70.01611821650634
10-11,0.00017715141404060162,99135.66394855606,17.5620230503406,99126.8829370309,6843223.582359444,69.02887729597052
11-12,0.0001835199119104423,99118.10192550572,18.19014533409905,99109.00685283866,6744096.6994224135,68.04101943448312
12-13,0.0002175057746185237,99099.91178017162,21.55480307637359,99089.13437863343,6644987.692569575,67.0534168315893
13-14,0.00028545021746977475,99078.35697709525,28.281938545659813,99064.21600782241,6545898.558190942,66.06789573331551
14-15,0.0003725935396048147,99050.07503854959,36.9054180567357,99031.62232952123,6446834.34218312,65.08661744752901
15-16,0.0004692877840846016,99013.16962049286,46.46567096639389,98989.93678500966,6347802.719853599,64.11069097357517
16-17,0.0005516706491210792,98966.70394952646,54.59702580920894,98939.40543662186,6248812.783068589,63.14055670941124
17-18,0.0006006458453459078,98912.10692371725,59.411146078140966,98882.40135067818,6149873.377631967,62.175132740573986
18-19,0.0006053930702151289,98852.6957776391,59.84473699586705,98822.77340914117,6050990.976281289,61.21219991706133
19-20,0.0005790832263193854,98792.85104064323,57.20928291790614,98764.24639918428,5952168.202872148,60.24897692671542
20-21,0.0005416602104010649,98735.64175772533,53.481168488573665,98708.90117348105,5853403.956472963,59.283596604718255
21-22,0.0005153274264776796,98682.16058923675,50.85362385570847,98656.7337773089,5754695.055299482,58.315454596229685
22-23,0.0005066218954293962,98631.30696538104,49.968779683479944,98606.32257553929,5656038.3215221735,57.34526384718198
23-24,0.0005262248563763861,98581.33818569756,51.875950528160644,98555.40021043348,5557431.998946634,56.37407750012589
24-25,0.0005676289874518688,98529.4622351694,55.92817888272635,98501.49814572804,5458876.5987362005,55.403495308915765
25-26,0.0006191174261589228,98473.53405628668,60.966680949701235,98443.05071581183,5360375.100590472,54.434677824465254
26-27,0.0006667563412518459,98412.56737533698,65.61720335638046,98379.75877365879,5261932.049874661,53.46809040969442
27-28,0.0007053191477615255,98346.9501719806,69.36598708024657,98312.26717844048,5163552.291101002,52.503430783277274
28-29,0.0007320774273167772,98277.58418490035,71.94680099298984,98241.61078440385,5065240.023922562,51.540135687429725
29-30,0.0007550740328052106,98205.63738390736,74.15252666367309,98168.56112057553,4966998.413138158,50.57752839300937
30-31,0.0007859012347255441,98131.48485724369,77.12165511475885,98092.92402968631,4868829.852017582,49.615369206941985
31-32,0.0008291582243627786,98054.36320212894,81.3025816837002,98013.71191128709,4770736.927987896,48.65399939575881
