x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.005851683235591348,100000.0,585.1683235591348,99707.41583822043,7551308.5346,75.513085346
1-2,0.0007509645258046499,99414.83167644087,74.6570119278475,99377.50317047695,7451601.11876178,74.95462189197315
2-3,0.0002588708879923489,99340.17466451302,25.716279228717525,99327.31652489866,7352223.6155913025,74.01057669186598
3-4,0.00023524327165743951,99314.4583852843,23.363058113440907,99302.77685622759,7252896.299066404,73.02961136765445
4-5,0.00020533970710409229,99291.09532717087,20.388404432525775,99280.9011249546,7153593.522210176,72.046677485414
5-6,0.00019896072524840653,99270.70692273835,19.750971845270033,99260.83143681572,7054312.621085222,71.0613718765551
6-7,0.00020180248237441827,99250.95595089308,20.029089288924265,99240.94140624862,6955051.789648406,70.07541361203205
7-8,0.00020111141276778145,99230.92686160417,19.95647189139361,99220.94862565846,6855810.848242157,69.08945693718906
8-9,0.00018903370105967664,99210.97038971278,18.754216918489394,99201.59328125353,6756589.8996164985,68.10325383448817
9-10,0.00016799837767494645,99192.21617279429,16.664131395012028,99183.88410709678,6657388.306335245,67.11603554393803
10-11,0.00015179712070323458,99175.55204139928,15.054563244038208,99168.02475977725,6558204.422228148,66.12722881028712
11-12,0.00015840527704367945,99160.49747815524,15.707546074816259,99152.64370511784,6459036.397468371,65.13719234709646
12-13,0.00020604891130009898,99144.78993208043,20.42867602658219,99134.57559406714,6359883.753763254,64.14743284160589
13-14,0.00030971215865878253,99124.36125605385,30.700019900285426,99109.0112461037,6260749.178169186,63.16055002863206
14-15,0.0004568178469035547,99093.66123615357,45.267752967689916,99071.02735966972,6161640.166923082,62.17996277520781
15-16,0.0006186128634048023,99048.39348318588,61.272610308279184,99017.75717803174,6062569.139563412,61.20815216041413
16-17,0.0007646121622798413,98987.1208728776,75.68675652846694,98949.27749461336,5963551.382385381,60.245730250544035
17-18,0.0008761024352292386,98911.43411634913,86.65654830134987,98868.10584219846,5864602.1048907675,59.29144751851701
18-19,0.0009462914267560215,98824.77756804778,93.51703976371441,98778.01904816592,5765733.999048569,58.343000014125586
19-20,0.0009870368129662362,98731.26052828407,97.45138873197665,98682.53483391808,5666955.980000404,57.39778819472239
20-21,0.0010170211682626455,98633.80913955209,100.31267180130206,98583.65280365144,5568273.445166485,56.45400389321081
21-22,0.0010476917815636566,98533.49646775078,103.23273445799408,98481.88010052178,5469689.792362834,55.51096823355923
22-23,0.00107332177126621,98430.26373329278,105.64734501641802,98377.44006078457,5371207.912262312,54.568663219435926
23-24,0.001093379726752225,98324.61638827636,107.50614219963096,98270.86331717655,5272830.472201528,53.6267586479008
24-25,0.0011101598573538091,98217.11024607673,109.03669310048788,98162.59189952648,5174559.608884351,52.6849099502095
25-26,0.0011274283032847467,98108.07355297625,110.60981890436715,98052.76864352406,5076397.016984825,51.74290792942418
26-27,0.0011400794228751904,97997.46373407188,111.72489189717307,97941.60128812329,4978344.2483413005,50.800745842266366
27-28,0.0011416334305452197,97885.7388421747,111.74963183584536,97829.86402625678,4880402.6470531775,49.85815814213811
28-29,0.0011329243896422941,97773.98921033886,110.7705370490154,97718.60394181435,4782572.783026921,48.914571468883054
29-30,0.001122806774855219,97663.21867328984,109.65692358053656,97608.39021149957,4684854.179085107,47.96948372915318
30-31,0.0011250507438171366,97553.5617497093,109.75270720852141,97498.68539610504,4587245.788873607,47.022842698895886
31-32,0.0011548108351272066,97443.80904250078,112.52916649834637,97387.54445925161,4489747.103477502,46.075242209787476
32-33,0.0012214120984144552,97331.27987600243,118.88160279471276,97271.83907460507,4392359.559018251,45.12793384217288
33-34,0.0013219216744782677,97212.39827320771,128.507176305367,97148.14468505503,4295087.719943645,44.18250959998583
34-35,0.0014411132829224395,97083.89109690234,139.90888501754154,97013.93665439358,4197939.57525859,43.240330891440074
35-36,0.0015602453282029525,96943.9822118848,151.25639534348338,96868.35401421305,4100925.6386041967,42.302013441546514
36-37,0.0016772536948693943,96792.72581654131,162.3459570122741,96711.55283803518,4004057.2845899835,41.367336758127685
37-38,0.0017976798510643255,96630.37985952903,173.71048687416734,96543.52461609195,3907345.731751948,40.43599681003047
38-39,0.001926063695875871,96456.66937265485,185.78168910377255,96363.77852810296,3810802.207135856,39.507918238530905
39-40,0.0020654228500318556,96270.88768355109,198.84009121445675,96171.46763794386,3714438.428607753,38.58319496146502
40-41,0.002219821549551284,96072.04759233663,213.26280155498543,95965.41619155914,3618266.960969809,37.66201566061372
41-42,0.002411242085608576,95858.78479078165,231.13873616282797,95743.21542270023,3522301.5447782497,36.74469223103458
42-43,0.002621300905832058,95627.64605461882,250.66883522555972,95502.31163700603,3426558.3293555495,35.83229819751531
