x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.005006291632159867,100000.0,500.62916321598675,99749.68541839201,7274540.0968,72.745400968
1-2,0.0007394829933571976,99499.37083678402,73.5780925835429,99462.58179049224,7174790.411381609,72.10890230804509
2-3,0.0003030522474324618,99425.79274420047,30.131209943884105,99410.72713922853,7075327.829591117,71.16189506071423
3-4,0.0002922461202671516,99395.6615342566,29.047996454773447,99381.1375360292,6975917.102451888,70.18331579842292
4-5,0.00024483505194042093,99366.61353780182,24.32842998667144,99354.44932280849,6876535.964915859,69.2036864303505
5-6,0.000227620235723249,99342.28510781516,22.612314353527093,99330.9789506384,6777181.51559305,68.22051162038245
6-7,0.00022259888200893346,99319.67279346164,22.108448125317643,99308.61856939898,6677850.536642412,67.23592968866511
7-8,0.00021280449685309448,99297.56434533632,21.13096821924707,99286.99886122669,6578541.9180730125,66.2507883395227
8-9,0.0001883707677116381,99276.43337711706,18.700777970920832,99267.0829881316,6479254.919211786,65.2647833811608
9-10,0.00015341674743379893,99257.73259914614,15.227798493014754,99250.11869989963,6379987.836223654,64.27698547164412
10-11,0.0001279828876938246,99242.50480065313,12.701342346355839,99236.15412947995,6280737.717523755,63.28677143064632
11-12,0.0001348249502432545,99229.80345830678,13.378653313914134,99223.11413164983,6181501.563394275,62.29480809151805
12-13,0.00019528968769080742,99216.42480499286,19.375944613965533,99206.73683268587,6082278.449262625,61.30314069688738
13-14,0.0003325146086975882,99197.0488603789,32.98446788576443,99180.55662643601,5983071.712429939,60.3150172426116
14-15,0.0005360898125630624,99164.06439249314,53.1608446931631,99137.48397014655,5883891.155803503,59.334913225369185
15-16,0.00075933186771516,99110.90354779997,75.25806750188802,99073.27451404903,5784753.671833356,58.366470940742055
16-17,0.0009656817293610301,99035.64548029809,95.63691339580015,98987.82702360018,5685680.397319307,57.410444186486394
17-18,0.0011374048529454635,98940.00856690228,112.53484589446039,98883.74114395505,5586692.570295706,56.46545468528071
18-19,0.0012722949915366369,98827.47372100782,125.73769984145684,98764.60487108708,5487808.8291517515,55.52918254941899
19-20,0.0013813446842129659,98701.73602116636,136.34111837542957,98633.56546197865,5389044.224280665,54.59928509388119
20-21,0.0014822047647303149,98565.39490279093,146.0940979624418,98492.34785380971,5290410.658818686,53.674118224112
21-22,0.0015747349465482596,98419.30080482848,154.98431239220866,98341.80864863237,5191918.310964877,52.75305014877895
22-23,0.0016392550841126691,98264.31649243628,161.08028039708256,98183.77635223774,5093576.502316244,51.83546463388175
23-24,0.0016620682057642295,98103.23621203919,163.05426979060837,98021.70907714388,4995392.725964006,50.91975472824385
24-25,0.001654411483141999,97940.18194224859,162.03336166627273,97859.16526141544,4897371.016886862,50.00369531449968
25-26,0.0016372592763811446,97778.14858058232,160.08818079093226,97698.10449018684,4799511.851625446,49.0857305164661
26-27,0.0016151597153131862,97618.06039979139,157.66875864475247,97539.22602046901,4701813.747135259,48.165408407820685
27-28,0.001579771754544608,97460.39164114663,153.96517390153886,97383.40905419587,4604274.52111479,47.242520203160346
28-29,0.0015356653838108874,97306.4264672451,149.43011074808783,97231.71141187105,4506891.112060594,46.316479555208886
29-30,0.0014925875817687864,97156.99635649701,145.01532624366266,97084.48869337518,4409659.400648723,45.38694655059542
30-31,0.001465988597762109,97011.98103025334,142.21845803666542,96940.87180123501,4312574.911955348,44.45404439901567
31-32,0.001482183723550031,96869.76257221668,143.57878538869556,96797.97317952233,4215634.040154113,43.51857512824341
32-33,0.0015648583664427983,96726.18378682798,151.36277795290152,96650.50239785154,4118836.066974591,42.58243120654872
33-34,0.0017091135815493943,96574.82100887508,165.05733822197018,96492.2923397641,4022185.5645767394,41.64838746330275
34-35,0.0018849136353163212,96409.7636706531,181.72407812043815,96318.90163159289,3925693.2722369754,40.71883513424633
35-36,0.0020601359891887546,96228.03959253267,198.24284753365694,96128.91816876584,3829374.3706053826,39.79478732831364
36-37,0.0022207726542466666,96029.79674499901,213.26034660415937,95923.16657169693,3733245.4524366166,38.87590705153747
37-38,0.0023692641387812,95816.53639839485,227.01468359094045,95703.02905659938,3637322.28586492,37.96132090124115
38-39,0.002518603032740346,95589.52171480391,240.75205928910427,95469.14568515935,3541619.2568083205,37.05028745069902
39-40,0.0026847218710740746,95348.7696555148,255.98492727416465,95220.77719187771,3446150.1111231614,36.14257555261325
40-41,0.0028797865053224645,95092.78472824063,273.8469182139215,94955.86126913367,3350929.3339312836,35.2385235484236
41-42,0.003131752859783768,94818.9378100267,296.94947964821034,94670.4630702026,3255973.47266215,34.33885200428647
42-43,0.003407025863502148,94521.9883303785,322.03885891124776,94360.96890092288,3161303.0095919473,33.4451598557405
43-44,0.0037073154107869002,94199.94947146726,349.2289243709179,94025.3350092818,3066942.0406910246,32.55778859647889
44-45,0.004034580541662322,93850.72054709634,378.6482909403032,93661.39640162619,2972916.7056817426,31.67707917798956
