x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.01447017031883099,100000.0,1447.017031883099,99276.49148405845,7150574.5337,71.505745337
1-2,0.0019648846326823567,98552.9829681169,193.64524173905895,98456.16034724738,7051298.0422159415,71.54829645792783
2-3,0.0007837023613805101,98359.33772637785,77.08444523998541,98320.79550375786,6952841.881868694,70.68817300509427
3-4,0.00044491754366547226,98282.25328113786,43.72749871575166,98260.38953177999,6854521.086364936,69.7432227846616
4-5,0.0003171138855023474,98238.5257824221,31.152800616886406,98222.94938211366,6756260.696833156,68.77404402216771
5-6,0.0002707479957492015,98207.37298180522,26.589449402618047,98194.07825710392,6658037.747451043,67.79570153744537
6-7,0.0002590193330155746,98180.78353240261,25.430721065509438,98168.06817186986,6559843.669193938,66.81392664817136
7-8,0.000258936821589864,98155.3528113371,25.41603507899935,98142.6447937976,6461675.601022068,65.83110768744274
8-9,0.0002583626770818858,98129.9367762581,25.353113167390237,98117.2602196744,6363532.956228271,64.84802869829105
9-10,0.00025543107374326787,98104.5836630907,25.058959144199513,98092.0541835186,6265415.696008597,63.864658123673344
10-11,0.00025770569435681445,98079.5247039465,25.27565201601687,98066.8868779385,6167323.641825078,62.88084756162076
11-12,0.00028163565435785986,98054.24905193048,27.615572594309,98040.44126563333,6069256.75494714,61.896927605174994
12-13,0.00034919258297921987,98026.63347933617,34.23017334540667,98009.51839266348,5971216.313681507,60.914224040349474
13-14,0.0004750286858643051,97992.40330599077,46.549202567129775,97969.1287047072,5873206.795288843,59.93532760850029
14-15,0.0006461891559993226,97945.85410342364,63.291548796724115,97914.20832902528,5775237.666584136,58.96357451215759
15-16,0.0008386988695987135,97882.56255462691,82.09399456799096,97841.51555734292,5677323.45825511,58.00137746788836
16-17,0.001028254271179596,97800.46856005893,100.56374952024639,97750.1866852988,5579481.942697767,57.04964428949977
17-18,0.0012087427591427936,97699.90481053868,118.09405250867881,97640.85778428434,5481731.756012469,56.10785155464313
18-19,0.001367641508615904,97581.81075803,133.45693487858378,97515.08229059071,5384090.898228184,55.17514848724129
19-20,0.0015057332645375036,97448.35382315141,146.7312279259395,97374.98820918844,5286575.815937594,54.25002689662295
20-21,0.0016620431937226453,97301.62259522548,161.71949957256405,97220.7628454392,5189200.827728406,53.33108214767876
21-22,0.0018168062763917767,97139.90309565292,176.4843856322712,97051.66090283678,5091980.064882967,52.41903587106663
22-23,0.0018924172881221756,96963.41871002065,183.4952498822723,96871.6710850795,4994928.40398013,51.513534386797886
23-24,0.001852283825260688,96779.92346013838,179.26388683518172,96690.29151672078,4898056.732895051,50.610256319457186
24-25,0.0017308948018862522,96600.6595733032,167.20557951421395,96517.0567835461,4801366.441378331,49.70324698181717
25-26,0.0015780004973283822,96433.453993789,152.1720383612927,96357.36797460835,4704849.384594785,48.7885602946236
26-27,0.0014592591550824515,96281.2819554277,140.4993421565327,96211.03228434942,4608492.016620177,47.8648800994738
27-28,0.0014119162873595182,96140.78261327116,135.74273685116833,96072.91124484559,4512280.984335828,46.934098742326626
28-29,0.001454239244626925,96005.03987641999,139.61429667026283,95935.23272808485,4416208.073090982,45.9997525002399
29-30,0.0015614448983855384,95865.42557974973,149.6885797030587,95790.5812898982,4320272.840362897,45.06601638949482
30-31,0.0016874047627342865,95715.73700004668,161.51119048250112,95634.98140480542,4224482.259072999,44.13571259521241
31-32,0.0018167027057903716,95554.22580956417,173.5936205779394,95467.4289992752,4128847.277668193,43.209468159962114
32-33,0.0019676577938914372,95380.63218898623,187.67644431295125,95286.79396682975,4033379.848668918,42.2871997815785
33-34,0.0021348351693269963,95192.95574467328,203.22126979591684,95091.34510977533,3938093.0547020882,41.369584796430196
34-35,0.0023125221615986212,94989.73447487736,219.66586609752247,94879.9015418286,3843001.709592313,40.457021285902215
35-36,0.0024985694907813565,94770.06860877984,236.78960206515325,94651.67380774727,3748121.8080504844,39.54963695893373
36-37,0.0026919172328904507,94533.27900671469,254.47576283981633,94406.04112529478,3653470.134242737,38.64744958210147
37-38,0.002893572641571598,94278.80324387486,272.80256574658796,94142.40196100157,3559064.0931174424,37.750416537544126
38-39,0.0031076505448877404,94006.00067812827,292.13779923010264,93859.93177851322,3464921.691156441,36.85851611771205
39-40,0.0033384384012783925,93713.86287889817,312.8579585670513,93557.43389961465,3371061.7593779275,35.97185790680921
40-41,0.0035888798687522183,93401.00492033112,335.2049862798032,93233.40242719122,3277504.325478313,35.090675183569466
41-42,0.0038746236410545734,93065.79993405132,360.5949485981304,92885.50245975226,3184270.9230511216,34.215264096022096
42-43,0.004181708049992653,92705.2049854532,387.6661019638887,92511.37193447124,3091385.4205913693,33.34640618157797
43-44,0.00451028864544923,92317.53888348931,416.3787474020196,92109.3495097883,2998874.048656898,32.48433704934087
44-45,0.004862268821562514,91901.16013608729,446.84814559512097,91677.73606328973,2906764.69914711,31.629249237362956
45-46,0.0052408990851064334,91454.31199049216,479.3028200400087,91214.66058047216,2815086.96308382,30.7813475582921
46-47,0.005650176363851016,90975.00917045215,514.0248465160181,90717.99674719413,2723872.302503348,29.940885165505833
47-48,0.00609294175474582,90460.98432393614,551.1735085627175,90185.39756965477,2633154.3057561535,29.108176585023255
48-49,0.0065733397116493715,89909.81081537342,591.0077298995762,89614.30695042363,2542968.9081864986,28.283553097541205
49-50,0.007094260735952618,89318.80308547385,633.6508777115606,89001.97764661806,2453354.601236075,27.46739226776619
50-51,0.007658125268751285,88685.15220776228,679.1620050853181,88345.57120521962,2364352.623589457,26.6600729065729
51-52,0.008266123383927773,88005.99020267696,727.4683735400665,87642.25601590693,2276007.0523842373,25.861956068474598
52-53,0.008919839234003604,87278.5218291369,778.5103832973753,86889.26663748821,2188364.7963683303,25.073348522703448
53-54,0.009619927649557934,86500.01144583953,832.1238517949095,86083.94951994208,2101475.529730842,24.294511579881632
