x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.003905205475773414,100000.0,390.5205475773414,99804.73972621132,8163582.4735,81.635824735
1-2,0.0009794437041370488,99609.47945242266,97.5618775220441,99560.69851366164,8063777.733773789,80.95391902560199
2-3,0.0004663843320221521,99511.91757490061,46.41079920641348,99488.7121752974,7964217.035260128,80.03279636597921
3-4,0.00028261466813477633,99465.5067756942,28.110411188270163,99451.45157010006,7864728.32308483,79.06990652368232
4-5,0.00019739090332247138,99437.39636450593,19.628037492424458,99427.58234575971,7765276.87151473,78.0921178089749
5-6,0.0001524271454883678,99417.7683270135,15.153966636910532,99410.19134369504,7665849.289168971,77.10743681103158
6-7,0.00012715209310039844,99402.6143603766,12.639250475573608,99396.29473513881,7566439.097825276,76.11911564411906
7-8,0.0001128449947063693,99389.97510990102,11.215661215142957,99384.36727929345,7467042.8030901365,75.12873199569084
8-9,0.00010567582729611065,99378.75944868587,10.501932620401053,99373.50848237568,7367658.4358108435,74.13715442498683
9-10,0.00010471442554104931,99368.25751606547,10.405290002809851,99363.05487106406,7268284.927328467,73.14493691462145
10-11,0.00011121495261954216,99357.85222606266,11.05007882770103,99352.3271866488,7168921.872457404,72.15254468410214
11-12,0.0001275248592635206,99346.80214723496,12.669186962106963,99340.46755375392,7069569.545270755,71.16051440481637
12-13,0.000155303375060559,99334.13296027285,15.42692610744469,99326.41949721913,6970229.077717001,70.16952652624084
13-14,0.00019389291737684046,99318.7060341654,19.257193663057137,99309.07743733386,6870902.658219782,69.1803481194792
14-15,0.00023983683363779112,99299.44884050234,23.81566539188391,99287.5410078064,6771593.580782448,68.19366733504411
15-16,0.00028775805550204365,99275.63317511046,28.56736316120396,99261.34949352985,6672306.039774641,67.20990666466447
16-17,0.00033199042996671517,99247.06581194926,32.94907605184391,99230.59127392333,6573044.690281112,66.22910850317272
17-18,0.00036810880506822825,99214.11673589742,36.52158995755091,99195.85594091864,6473814.099007188,65.25093718507951
18-19,0.0003937942087182519,99177.59514593986,39.05556260307453,99158.06736463832,6374618.24306627,64.27478135244172
19-20,0.0004089254990847779,99138.5395833368,40.540276777652004,99118.26944494797,6275460.175701631,63.299905385699375
20-21,0.0004151116054749549,99097.99930655914,41.136729591501734,99077.43094176339,6176341.906256683,62.32559637405193
21-22,0.00041498312462768573,99056.86257696764,41.1069263480053,99036.30911379364,6077264.47531492,61.35127155468766
22-23,0.0004115079792657047,99015.75565061964,40.74577352325327,98995.38276385801,5978228.166201126,60.37653428910345
23-24,0.00040747996389786705,98975.00987709638,40.33033345151027,98954.84471037063,5879232.783437268,59.40118410432986
24-25,0.00040522178447125585,98934.67954364487,40.09048739076763,98914.6342999495,5780277.938726897,58.42519494063694
25-26,0.0004064755675152305,98894.5890562541,40.19823421082639,98874.48993914868,5681363.304426948,57.44867700694144
26-27,0.0004124246398623633,98854.39082204328,40.76998653359451,98834.00582877648,5582488.814487799,56.47183466576959
27-28,0.0004237886486794129,98813.62083550969,41.87609084500053,98792.68279008719,5483654.808659023,55.49492835393008
28-29,0.0004409462103028259,98771.74474466468,43.55302653015795,98749.9682313996,5384862.125868935,54.51824446140309
29-30,0.0004640551914382742,98728.19171813452,45.815329908113554,98705.28405318047,5286112.157637536,53.542074109178444
30-31,0.0004931548464365131,98682.3763882264,48.66569217372598,98658.04354213954,5187406.873584355,52.56669998679981
31-32,0.0005282442371101856,98633.71069605267,52.1026892599831,98607.65935142268,5088748.830042216,51.59238960119411
32-33,0.0005693375807583755,98581.6080067927,56.12621420985785,98553.54489968777,4990141.170690794,50.6193931260175
33-34,0.0006165002525498252,98525.48179258284,60.740984407720525,98495.11130037898,4891587.625791105,49.647944235268405
34-35,0.0006698701550926137,98464.74080817512,65.95859119632628,98431.76151257695,4793092.514490726,48.67826264661
35-36,0.0007296689606950284,98398.7822169788,71.79853715391936,98362.88294840184,4694660.75297815,47.710557460212975
36-37,0.0007962069750791801,98326.98367982487,78.28863024437327,98287.83936470268,4596297.870029748,46.7450306926565
37-38,0.0008698844656953137,98248.69504958049,85.46501359846614,98205.96254278126,4498010.030665046,45.7818806488489
38-39,0.000951191457199783,98163.23003598202,93.37202582136325,98116.54402307134,4399804.068122264,44.82130494798819
39-40,0.001040707311404704,98069.85801016066,102.06201825959538,98018.82700103086,4301687.524099193,43.863503133179925
40-41,0.0011391008973919866,97967.79599190108,111.59520432988958,97911.99838973612,4203668.697098162,42.9086788626507
41-42,0.0012471318018896207,97856.20078757119,122.03958001427618,97795.18099756405,4105756.6987084257,41.95704171697111
42-43,0.0013656527992143023,97734.16120755691,133.47093083196197,97667.42574214093,4007961.5177108617,41.00880867232492
43-44,0.0014956136615032845,97600.69027672496,145.97292575002064,97527.70381384995,3910294.091968721,40.06420529283098
44-45,0.0016380663153020651,97454.71735097494,159.63728975991575,97374.89870609499,3812766.388154871,39.12346669093005
45-46,0.0017941713176983399,97295.08006121502,174.56404199899563,97207.79804021552,3715391.489448776,38.186838297590874
46-47,0.0019652056179646025,97120.51601921603,190.8617837005845,97025.08512736573,3618183.6914085606,37.25457647581563
47-48,0.0021525715780039076,96929.65423551544,208.6480187731166,96825.33022612888,3521158.606281195,36.326949002888604
