x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.0073315887677980075,100000.0,733.1588767798007,99633.4205616101,7560582.9406,75.605829406
1-2,0.0006001852732367736,99266.8411232202,59.57849616289132,99237.05187513876,7460949.5200383905,75.16054138135708
2-3,0.00034135181522013217,99207.26262705731,33.86457918076639,99190.33033746692,7361712.468163252,74.20537844933395
3-4,0.0002614284910219686,99173.39804787654,25.92675180117741,99160.43467197595,7262522.137825785,73.23054650522069
4-5,0.00022848618136212372,99147.47129607537,22.65382710815103,99136.14438252129,7163361.7031538095,72.24956531430331
5-6,0.00022179711356129218,99124.81746896722,21.98559839690688,99113.82466976876,7064225.558771288,71.26596284510556
6-7,0.00022188368724199056,99102.83187057031,21.989301751565197,99091.83721969453,6965111.734101519,70.2816620134332
7-8,0.00021348472759493865,99080.84256881874,21.15224668568127,99070.2664454759,6866019.896881824,69.29714886218173
8-9,0.00018668951730171695,99059.69032213306,18.493405770296583,99050.4436192479,6766949.630436349,68.3118391389156
9-10,0.0001446596249693436,99041.19691636277,14.327262402435949,99034.03328516155,6667899.186817101,67.3245012623175
10-11,0.00010357771170149612,99026.86965396033,10.256976555719538,99021.74116568247,6568865.15353194,66.33416946820792
11-12,9.064505230431855e-05,99016.61267740461,8.975366035139793,99012.12499438705,6469843.412366257,65.34098912719786
12-13,0.00013725281163545815,99007.63731136947,13.589076594369152,99000.84277307229,6370831.28737187,64.3468671748647
13-14,0.00025976283788735024,98994.04823477511,25.714974903422416,98981.1907473234,6271830.444598798,63.355631539832295
14-15,0.00043362624760322677,98968.33325987168,42.91526698302378,98946.87562638016,6172849.253851474,62.371963339452904
15-16,0.0006223728040352443,98925.41799288866,61.56848978659272,98894.63374799537,6073902.378225094,61.39880428568643
16-17,0.0007924889682760471,98863.84950310207,78.34851009251175,98824.67524805582,5975007.744477099,60.43672964898681
17-18,0.0009404194240378707,98785.50099300955,92.89980394713855,98739.05109103599,5876183.069229043,59.484266518472836
18-19,0.001055955275522516,98692.60118906242,104.2149728806302,98640.4937026221,5777444.018138007,58.53978868254099
19-20,0.001145614098917775,98588.3862161818,112.9442452388087,98531.91409356239,5678803.524435385,57.601140888776364
20-21,0.0012436964238278512,98475.441970943,122.47355501412888,98414.20519343593,5580271.610341823,56.66663178814049
21-22,0.0013511477315744991,98352.96841592886,132.88939016880065,98286.52372084446,5481857.405148387,55.73657301288495
22-23,0.0013815317362396381,98220.07902576006,135.69415631005276,98152.23194760503,5383570.881427542,54.811306759543534
23-24,0.0013339864806250364,98084.38486945,130.84324337626919,98018.96324776187,5285418.649479937,53.88644335706251
24-25,0.0012479127831842702,97953.54162607374,122.23747675334994,97892.42288769706,5187399.686232175,52.95775527989044
25-26,0.0011604677918842898,97831.3041493204,113.53007750332219,97774.53911056873,5089507.263344478,52.0232997770973
26-27,0.0010852288815058147,97717.77407181707,106.04615065919593,97664.75099648748,4991732.7242339095,51.083160373314136
27-28,0.001025263384336673,97611.72792115787,100.07773051939684,97561.68905589817,4894067.973237422,50.13811431747646
28-29,0.0009853477761596853,97511.65019063848,96.08288766500678,97463.60874680597,4796506.284181524,49.18905868995342
29-30,0.0009673828146805098,97415.56730297348,94.23814569124912,97368.44823012785,4699042.675434718,48.23708166498853
