x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.0053918233720922585,100000.0,539.1823372092258,99730.40883139538,8186643.1573,81.866431573
1-2,0.0003400204206636211,99460.81766279077,33.818709061249834,99443.90830826014,8086912.748468605,81.30752328908306
2-3,0.000278366730751254,99426.99895372952,27.677168647158037,99413.16036940594,7987468.840160345,80.33500884279414
3-4,0.00021464585100063329,99399.32178508236,21.33565201344479,99388.65395907563,7888055.679790939,79.35723844118584
4-5,0.00017412637951284761,99377.98613306892,17.304328928629264,99369.3339686046,7788667.025831863,78.37416845419565
5-6,0.00015083666487030744,99360.68180414029,14.987233862576364,99353.188187209,7689297.691863258,77.38773076276185
6-7,0.0001375346709014707,99345.69457027772,13.66347740820117,99338.86283157361,7589944.503676049,76.39933000122998
7-8,0.0001283758326970509,99332.03109286951,12.751832205036473,99325.65517676699,7490605.6408444755,75.40977022649629
8-9,0.000119110689535266,99319.27926066448,11.82998783688339,99313.36426674604,7391279.985667708,74.41938806532433
9-10,0.00010942666517441337,99307.4492728276,10.866883000902746,99302.01583132714,7291966.621400963,73.42819370345245
10-11,0.00010286518725114701,99296.5823898267,10.21416154092847,99291.47530905623,7192664.6055696355,72.4361748658386
11-12,0.00010612765013958859,99286.36822828576,10.537028950961876,99281.09971381028,7093373.130260579,71.44357535518903
12-13,0.00012701466084021607,99275.8311993348,12.609486029414052,99269.52645632009,6994092.030546769,70.45110522926181
13-14,0.00016895931534908015,99263.2217133054,16.771445980024026,99254.83599031538,6894822.504090449,69.45999117381314
14-15,0.0002239139856628769,99246.45026732537,22.22266824224932,99235.33893320424,6795567.668100134,68.47164457565914
15-16,0.00028632961956194877,99224.22759908313,28.41083533977369,99210.02218141324,6696332.329166929,67.48686778619788
16-17,0.0003416227895848458,99195.81676374335,33.88755163797721,99178.87298792436,6597122.306985516,66.50605360403466
17-18,0.0003782463857772846,99161.92921210537,37.5076413311818,99143.17539143979,6497943.433997592,65.52861048214
18-19,0.0003888016400817392,99124.4215707742,38.539737678870736,99105.15170193477,6398800.258606153,64.55321662621205
19-20,0.0003797005097742893,99085.88183309532,37.62295984346129,99067.07035317359,6299695.106904218,63.57813030836931
20-21,0.00036556485366607357,99048.25887325186,36.20856226087969,99030.15459212143,6200628.036551044,62.60209020418766
21-22,0.00035662384936701046,99012.05031099098,35.310058515625705,98994.39528173316,6101597.881958923,61.62480084791868
22-23,0.00034937325786216694,98976.74025247536,34.57982619458479,98959.45033937806,6002603.48667719,60.6466071863492
23-24,0.00034745642483268075,98942.16042628077,34.378089326937065,98924.9713816173,5903644.036337812,59.66762814661263
24-25,0.00035103155391981444,98907.78233695382,34.719752528503676,98890.42246068957,5804719.064956195,58.68819346470618
