x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.006114989367211382,100000.0,611.4989367211382,99694.25053163944,7611702.415,76.11702415
1-2,0.0005602207006202616,99388.50106327886,55.679495699267704,99360.66131542923,7512008.164468361,75.58226640006977
2-3,0.00031502682577559064,99332.8215675796,31.292503473767727,99317.17531584272,7412647.503152932,74.62435261752681
3-4,0.00024372654209649887,99301.52906410582,24.202418303689495,99289.42785495397,7313330.327837089,73.64771113560438
4-5,0.00021575067489458278,99277.32664580214,21.419150225561758,99266.61707068936,7214040.899982135,72.66554352052725
5-6,0.00021169083726959304,99255.90749557658,21.01156616169188,99245.40171249573,7114774.282911445,71.68111664515808
6-7,0.00021246276393028796,99234.8959294149,21.08372026749797,99224.35406928115,7015528.881198949,70.696188225854
7-8,0.00020336260228452955,99213.81220914739,20.176379033420844,99203.72401963068,6916304.527129668,69.71110547138106
8-9,0.0001749825486537379,99193.63583011397,17.35715520778408,99184.95725251008,6817100.803110037,68.72518328479748
9-10,0.000130865023802631,99176.27867490619,12.978706069447965,99169.78932187147,6717915.845857527,67.73712359059616
10-11,8.727202442353455e-05,99163.29996883674,8.654181936798603,99158.97287786835,6618746.056535656,66.74592373000571
11-12,7.099803913169939e-05,99154.64578689994,7.039785421668114,99151.12589418911,6519587.083657787,65.75170565047935
12-13,0.00011251419157837805,99147.60600147827,11.155512736187871,99142.02824511018,6420435.957763598,64.75633872256957
13-14,0.00022726311837025583,99136.45048874208,22.530058882229998,99125.18545930096,6321293.929518488,63.76356928611574
14-15,0.00039092926671915917,99113.92042985985,38.7465322353062,99094.5471637422,6222168.744059187,62.77795003036372
15-16,0.000567707747657701,99075.17389762454,56.24574382221548,99047.05102571343,6123074.196895445,61.802305825094834
16-17,0.0007257538877563661,99018.92815380232,71.86337206909033,98982.99646776778,6024027.145869731,60.8371273875318
17-18,0.0008626719035768021,98947.06478173324,85.35885272859497,98904.38535536894,5925044.149401963,59.8809490960847
18-19,0.0009692982975271235,98861.70592900465,95.82648324761134,98813.79268738085,5826139.764046594,58.932219602102634
19-20,0.0010519514416390376,98765.87944575703,103.89690926771151,98713.93099112318,5727325.971359213,57.98891280570942
20-21,0.0011420902119583687,98661.98253648932,112.68088454733196,98605.64209421565,5628612.040368089,57.049452034742906
21-22,0.0012314512493706111,98549.30165194199,121.3586606438852,98488.62232162005,5530006.398273874,56.11411045615361
22-23,0.001273727599381921,98427.9429912981,125.3703875384067,98365.2577975289,5431517.775952254,55.182680963194045
23-24,0.001249078227309948,98302.57260375969,122.78760312791162,98241.17880219573,5333152.518154725,54.25242063248661
24-25,0.0011726510655745816,98179.78500063177,115.13062949887417,98122.21968588234,5234911.3393525295,53.31964557998211
25-26,0.001074838089505821,98064.6543711329,105.40362575231714,98011.95255825674,5136789.119666647,52.38165731177811
26-27,0.0009874605740894022,97959.25074538059,96.73089797840122,97910.88529639138,5038777.1671083905,51.437481695377315
27-28,0.0009222853968847341,97862.51984740219,90.2571729576015,97817.39126092338,4940866.281811999,50.48783016742601
28-29,0.00089437223309413,97772.26267444459,87.44479690280886,97728.54027599319,4843048.890551075,49.53397577262919
29-30,0.0008962807397490791,97684.81787754178,87.55302082953722,97641.041367127,4745320.3502750825,48.577869656509385
