x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.004206222327143988,100000.0,420.6222327143988,99789.6888836428,7855346.1988,78.55346198800001
1-2,0.0022673679116115785,99579.3777672856,225.7830858077908,99466.4862243817,7755556.509916358,77.88315898137957
2-3,0.0012744300182147943,99353.5946814778,126.61920347962104,99290.285079738,7656090.023691976,77.05901380052713
3-4,0.0007414890666791378,99226.97547799817,73.57571743657456,99190.18761927988,7556799.738612238,76.15670740954737
4-5,0.0004314132813466366,99153.3997605616,42.77609354737869,99132.01171378791,7457609.550992958,75.21284765829313
5-6,0.0003019496479357163,99110.62366701422,29.926417922944214,99095.66045805275,7358477.53927917,74.24509368442409
6-7,0.00027483875717897855,99080.69724909127,27.231215692366884,99067.0816412451,7259381.878821118,73.26736771513482
7-8,0.00025016204842128793,99053.4660333989,24.779417966143534,99041.07632441583,7160314.797179873,72.28737250613274
8-9,0.00022649445861220823,99028.68661543276,22.429448762040472,99017.47189105174,7061273.720855458,71.30533547594298
9-10,0.00022205217498219945,99006.25716667072,21.984554740706205,98995.26488930036,6962256.248964406,70.32137612518662
10-11,0.00017005577545126406,98984.27261193002,16.832847236501078,98975.85618831177,6863260.984075105,69.33688355707444
11-12,0.00012687700177412665,98967.43976469352,12.556692030605792,98961.16141867822,6764285.127886793,68.34859165771752
12-13,0.00012995816804035534,98954.88307266292,12.859995322770843,98948.45307500154,6665323.966468114,67.3572011759515
13-14,0.00020228343601438555,98942.02307734016,20.014332394298997,98932.01591114301,6566375.513393112,66.36589094464304
14-15,0.00027329827445705105,98922.00874494585,27.035214295819017,98908.49113779794,6467443.497481969,65.37921721906406
15-16,0.00033293657129687497,98894.97353065004,32.92575340578983,98878.51065394715,6368535.006344171,64.39695344445795
16-17,0.00040620168704061046,98862.04777724425,40.15793059140605,98841.96881194855,6269656.495690224,63.418234162183246
17-18,0.0004955893247531227,98821.88984665285,48.97507365993015,98797.40230982288,6170814.526878275,62.44380204076095
18-19,0.0005463526310812057,98772.91477299292,53.96484186578437,98745.93235206003,6072017.124568452,61.474515949272146
19-20,0.0006023156322789113,98718.94993112714,59.45996674567702,98689.2199477543,5973271.192216392,60.50784774740554
20-21,0.0006107955962630282,98659.48996438146,60.26078199980062,98629.35957338156,5874581.972268637,59.54401319517776
21-22,0.0005941159514461264,98599.22918238166,58.57937485754535,98569.9394949529,5775952.612695255,58.58009905951008
22-23,0.0005778917954260012,98540.64980752411,56.94583303971495,98512.17689100426,5677382.673200303,57.61462588576115
23-24,0.0005571533858479737,98483.7039744844,54.87052912023353,98456.26870992428,5578870.496309298,56.64765104442758
24-25,0.0005511493429654215,98428.83344536416,54.248986882265356,98401.70895192302,5480414.227599374,55.6789513373786
25-26,0.0005452100013515881,98374.5844584819,53.63480732557083,98347.76705481911,5382012.518647451,54.70937995086404
26-27,0.0005611906791808586,98320.94965115633,55.17680051243943,98293.36125090011,5283664.751592631,53.73895156972267
27-28,0.0005988019413970074,98265.7728506439,58.84173555584291,98236.35198286598,5185371.390341732,52.76884554933569
28-29,0.000638933928026392,98206.93111508805,62.74774025678051,98175.55724495967,5087135.038358865,51.80016298846856
29-30,0.0006973878301514185,98144.18337483128,68.44455908575651,98109.9610952884,4988959.481113906,50.83296135910696
30-31,0.0007611894819008798,98075.73881574553,74.65422081620335,98038.41170533742,4890849.520018618,49.86808745032281
31-32,0.0008268406277746953,98001.08459492933,81.03127830907239,97960.5689557748,4792811.10831328,48.905694545356745
32-33,0.0008826869335301798,97920.05331662025,86.43275159315925,97876.83694082368,4694850.539357506,47.94575146090771
33-34,0.0009423051993971666,97833.62056502709,92.18912933427458,97787.52600035995,4596973.702416682,46.987668205136195
34-35,0.0009916003378355597,97741.43143569281,96.92043643216418,97692.97121747672,4499186.176416322,46.03151509374486
35-36,0.0010434742699336023,97644.51099926064,101.8895348279771,97593.56623184665,4401493.205198845,45.076708973760674
36-37,0.0011042844779808182,97542.62146443267,107.71480282473158,97488.76406302031,4303899.638966998,44.12327221015221
