x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.0038503363861479276,100000.0,385.0336386147928,99807.48318069261,7483475.4227,74.834754227
1-2,0.001077942724843616,99614.9663613852,107.37922827479672,99561.2767472478,7383667.939519308,74.12207431494467
2-3,0.000549880440152955,99507.5871331104,54.717275811313264,99480.22849520475,7284106.662772059,73.20152033259711
3-4,0.0003537992194576408,99452.86985729908,35.18634772833475,99435.27668343492,7184626.434276855,72.2415194713414
4-5,0.0002701208773423878,99417.68350957075,26.85479189295309,99404.25611362427,7085191.15759342,71.26691054827627
5-6,0.0002426698565360332,99390.8287176778,24.11915814591632,99378.76913860484,6985786.901479796,70.28603133316358
6-7,0.00025064402173867966,99366.70955953188,24.90567171094038,99354.25672367642,6886408.132341191,69.30297040997876
7-8,0.00028359941300488273,99341.80388782095,28.173277269432198,99327.71724918623,6787053.875617514,68.32021978664301
8-9,0.00033478603660370027,99313.63061055151,33.248816772830466,99297.0062021651,6687726.158368329,67.33945901739892
9-10,0.00039911139201080176,99280.38179377868,39.62393137707887,99260.56982809014,6588429.152166164,66.36184342896053
10-11,0.00047247345706802845,99240.7578624016,46.88862394930001,99217.31355042696,6489168.582338073,65.38814013628732
11-12,0.0005515212509906443,99193.8692384523,54.7075268529936,99166.51547502581,6389951.268787647,64.41881255208256
12-13,0.0006335449799662596,99139.16171159931,62.80911822044696,99107.7571524891,6290784.753312621,63.45408458882094
13-14,0.0007164007584962265,99076.35259337886,70.97837414693619,99040.86340630539,6191676.996160132,62.493994117562146
14-15,0.0007984423874015081,99005.37421923193,79.05008735718327,98965.84917555335,6092636.132753827,61.53843850196087
15-16,0.0008784547520105495,98926.32413187475,86.90229953258127,98882.87298210846,5993670.283578273,60.5872131222459
16-17,0.0009555897727203228,98839.42183234217,94.44994064457596,98792.19686201987,5894787.410596165,59.64004342918239
17-18,0.0012270520812420569,98744.97189169758,121.16522327189593,98684.38928006163,5795995.213734145,58.696611105334355
18-19,0.0013496451039545889,98623.80666842569,133.10713780340467,98557.253099524,5697310.824454084,57.76810910988768
19-20,0.0014513055180762047,98490.69953062228,142.94009570797758,98419.22948276829,5598753.57135456,56.84550519020144
20-21,0.001568866197133136,98347.7594349143,154.2944753412185,98270.6121972437,5500334.3418717915,55.92739858513874
21-22,0.0016939206387073984,98193.46495957309,166.33193688121258,98110.29899113248,5402063.729674548,55.0144933972807
22-23,0.0017689220657206928,98027.13302269188,173.40235864317725,97940.43184337029,5303953.430683415,54.106993310266716
23-24,0.0017610413874815617,97853.73066404871,172.32446961886336,97767.56842923927,5206012.998840045,53.201987941709874
24-25,0.0016868798651802723,97681.40619442984,164.77679731187922,97599.0177957739,5108245.430410806,52.29496205493914
25-26,0.0015890963191847573,97516.62939711797,154.96331683426428,97439.14773870083,5010646.412615032,51.38248156845255
26-27,0.0015044797906788821,97361.6660802837,146.47865900461244,97288.4267507814,4913207.264876331,50.46346742695361
27-28,0.0014382642577899188,97215.18742127909,139.8211293823738,97145.2768565879,4815918.83812555,49.53874971465015
28-29,0.0014080873833917473,97075.36629189672,136.69059851375226,97007.02099263984,4718773.561268962,48.60938198347913
29-30,0.00141264847973996,96938.67569338296,136.94027284626245,96870.20555695983,4621766.5402763225,47.677219718731976
30-31,0.0014134370739236665,96801.7354205367,136.82316166353633,96733.32383970493,4524896.334719363,46.7439588253435
31-32,0.001424400163765528,96664.91225887317,137.68951685191934,96596.06750044721,4428163.010879658,45.80941426834206
