x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.004048759657647196,100000.0,404.87596576471964,99797.56201711764,7663635.1589,76.636351589
1-2,0.0016547373128726242,99595.12403423528,164.8037679196262,99512.72215027547,7563837.5968828825,75.94586251313723
2-3,0.0009026693700255375,99430.32026631566,89.75270455623259,99385.44391403753,7464324.874732607,75.07091252185498
3-4,0.000542652176042346,99340.56756175942,53.90737515667044,99313.61387418109,7364939.43081857,74.13828621665395
4-5,0.000348672140070982,99286.66018660275,34.61849228776315,99269.35094045887,7265625.816944389,73.17826788905099
5-6,0.0002715242953522464,99252.04169431499,26.949340683320656,99238.56702397333,7166356.46600393,72.20361761499571
6-7,0.00026241455489721757,99225.09235363167,26.03810844461356,99212.07329940936,7067117.898979957,71.22309217705957
7-8,0.0002673373761871306,99199.05424518706,26.519614882153146,99185.79443774598,6967905.825680548,70.24165581718353
8-9,0.0002821156964622949,99172.5346303049,27.978128677159525,99158.54556596633,6868720.031242803,69.26030535417894
9-10,0.00031296236445454664,99144.55650162774,31.02851482554681,99129.04224421497,6769561.485676836,68.27970918973948
10-11,0.0003252746915876178,99113.52798680219,32.23912224806781,99097.40842567815,6670432.443432622,67.3009283285814
11-12,0.0003448372985504535,99081.28886455412,34.166923988949975,99064.20540255964,6571335.035006943,66.32266405002133
12-13,0.0003886646336100756,99047.12194056518,38.496113359162244,99027.8738838856,6472270.829604384,65.34536998953058
13-14,0.000466902236948175,99008.62582720602,46.227348875887344,98985.51215276807,6373242.955720498,64.37058289086193
14-15,0.0005442736081806732,98962.39847833014,53.86262169401431,98935.46716748313,6274257.4435677305,63.400418139032965
15-16,0.0006151311712817395,98908.53585663612,60.841723511254514,98878.1149948805,6175321.976400248,62.43467181994408
16-17,0.0006910090473478709,98847.69413312487,68.30465095546434,98813.54180764714,6076443.861405367,61.47279321682314
17-18,0.0008755658146649641,98779.3894821694,86.48785662406344,98736.14555385736,5977630.31959772,60.514955102822725
18-19,0.0009644586946454884,98692.90162554533,95.18522707254905,98645.30901200906,5878894.174043863,59.56754819459265
19-20,0.0010450651190373925,98597.71639847278,103.04103422478502,98546.19588136039,5780248.865031854,58.62457140154807
20-21,0.001111540901649262,98494.675364248,109.48086026202758,98439.93493411699,5681702.669150494,57.68537891148643
21-22,0.0011701703849226798,98385.19450398597,115.12744092342199,98327.63078352426,5583262.734216377,56.74901353160589
22-23,0.0012024768957765223,98270.06706306255,118.16748518974212,98210.98332046768,5484935.103432853,55.81491157335857
23-24,0.001188247749727241,98151.89957787281,116.6287738048615,98093.58519097038,5386724.120112385,54.88150655544478
24-25,0.0011454794878475855,98035.27080406796,112.29739179164311,97979.12210817213,5288630.534921414,53.94620213261005
25-26,0.0010900208998320916,97922.97341227632,106.7380875930834,97869.60436847978,5190651.4128132425,53.007493869283444
26-27,0.0010520580800148264,97816.23532468324,102.90836072996468,97764.78114431826,5092781.808444763,52.064790589621424
27-28,0.001034413238418158,97713.32696395327,101.0759589813952,97662.78898446258,4995017.027300444,51.11909687757455
28-29,0.0010371213990841485,97612.25100497187,101.23575433002951,97561.63312780685,4897354.238315982,50.171512160564106
29-30,0.0010668406023455457,97511.01525064184,104.02871024532044,97459.00089551917,4799792.605188175,49.22308103193072
30-31,0.001097524599770661,97406.98654039652,106.90656391761486,97353.53325843772,4702333.604292656,48.2751163063905
31-32,0.0011342108462654202,97300.07997647891,110.35880605181522,97244.90057345301,4604980.071034218,47.32760828302931
32-33,0.0012004092309869565,97189.7211704271,116.66743845002912,97131.38745120208,4507735.170460765,46.38078097329061
33-34,0.0013082488641656786,97073.05373197708,126.9957122859529,97009.5558758341,4410603.783009564,45.43592287914865
34-35,0.0014318964872799796,96946.05801969113,138.81671993403683,96876.64965972412,4313594.2271337295,44.49478725847292
35-36,0.0015416944486324434,96807.2412997571,149.2471864992569,96732.61770650746,4216717.5774740055,43.557873572878954
36-37,0.001607261519161753,96657.99411325784,155.35467445760258,96580.31677602904,4119984.959767498,42.62435815644959
37-38,0.0016912958794665037,96502.63943880024,163.21451644048454,96421.03218057999,4023404.6429914692,41.692172010932616
38-39,0.0017856715620114198,96339.42492235976,172.03057138439206,96253.40963666757,3926983.6108108894,40.76195819079943
39-40,0.0019050265033593436,96167.39435097536,183.20143499761767,96075.79363347655,3830730.201174222,39.833981434429596
40-41,0.002037045156682425,95984.19291597774,195.524135297564,95886.43084832895,3734654.4075407456,38.909056731976406
41-42,0.002182059098016494,95788.66878068018,209.01653619977168,95684.16051258029,3638767.9766924167,37.98745742070828
