x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.003971609005309658,100000.0,397.1609005309658,99801.41954973452,8041218.3317,80.412183317
1-2,0.0012797010516773868,99602.83909946903,127.46185794564406,99539.1081704962,7941416.912150266,79.73082879916221
2-3,0.0007053695491444143,99475.37724152338,70.16690199582388,99440.29379052547,7841877.803979769,78.83235049151826
3-4,0.000469700785310593,99405.21033952756,46.690705360440774,99381.86498684734,7742437.510189244,77.88764274774171
4-5,0.0003486138225843284,99358.51963416713,34.63775333598705,99341.20075749913,7643055.645202396,76.92400886550773
5-6,0.00028137046677020585,99323.88188083113,27.946807006238245,99309.90847732802,7543714.444444898,75.95066062254647
6-7,0.0002458799169953616,99295.93507382489,24.41487627392888,99283.72763568793,7444404.53596757,74.97189618520413
7-8,0.00023218234080132528,99271.52019755096,23.04909393437342,99259.99565058376,7345120.808331882,73.99021183230643
8-9,0.00023449994626088564,99248.47110361658,23.27376114027315,99236.83422304645,7245860.812681298,73.00727892439303
9-10,0.00024857731753672477,99225.19734247631,24.665133387444914,99212.8647757826,7146623.978458251,72.0242858655311
10-11,0.00027085563845846624,99200.53220908887,26.869023486912408,99187.09769734541,7047411.113682468,71.04206960128361
11-12,0.0002982922707283972,99173.66318560195,29.582737188086455,99158.87181700791,6948224.015985123,70.06118149514786
12-13,0.0003283669911432201,99144.08044841386,32.555643386507015,99127.80262672062,6849065.144168115,69.08193724921162
13-14,0.0003591044785947543,99111.52480502735,35.591392437840405,99093.72910880843,6749937.341541395,68.10446469086115
14-15,0.000389063407102079,99075.93341258951,38.54682021532078,99056.66000248185,6650843.612432586,67.12875047803958
15-16,0.0004929798958755448,99037.38659237418,48.8234405300947,99012.97487210913,6551786.952430104,66.15468337625326
16-17,0.000623038611438756,98988.5631518441,61.67369693444255,98957.72630337687,6452773.977557994,65.1870657791014
17-18,0.0007032857620493583,98926.88945490964,69.57387283746876,98892.10251849091,6353816.251254617,64.22739344443508
18-19,0.0007169787738198682,98857.31558207217,70.87859690915785,98821.87628361759,6254924.148736127,63.2722435553415
19-20,0.0006785026347795517,98786.43698516302,67.02685777491726,98752.92355627556,6156102.272452509,62.3172822133175
20-21,0.0006231074706140986,98719.4101273881,61.512801944992624,98688.65372641559,6057349.348896233,61.35925388006062
21-22,0.0005782134820784149,98657.8973254431,57.04532634707919,98629.37466226956,5958660.695169818,60.39719937993373
22-23,0.0005551039195728112,98600.85199909602,54.73371941791685,98573.48513938706,5860031.320507548,59.43185278522008
23-24,0.0005700989926327022,98546.1182796781,56.181042759107605,98518.02775829856,5761457.835368161,58.464584257057155
24-25,0.0005854646169683299,98489.937236919,57.66237337964763,98461.10605022917,5662939.807609863,57.49764865813223
25-26,0.0006017573552680297,98432.27486353935,59.2323453948992,98402.6586908419,5564478.701559633,56.53103831313352
26-27,0.0006195235813062385,98373.04251814446,60.94441960483172,98342.57030834204,5466076.042868791,55.564775704285026
27-28,0.0006392973351480709,98312.09809853963,62.85066232721211,98280.67276737602,5367733.4725604495,54.598910778816794
