x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.0036302583450049408,100000.0,363.02583450049406,99818.48708274975,7773793.3419,77.737933419
1-2,0.0011597957965257227,99636.9741654995,115.55854381568835,99579.19489359166,7673974.854817251,77.0193486814502
2-3,0.0006497422394421602,99521.41562168382,64.66326745848683,99489.08398795457,7574395.659923659,76.10819854810569
3-4,0.0004402196885698453,99456.75235422533,43.782820547545306,99434.86094395156,7474906.575935704,75.15735632823666
4-5,0.0003334931233709773,99412.96953367778,33.15354171337001,99396.3927628211,7375471.714991752,74.19023644086187
5-6,0.0002770077054277403,99379.81599196441,27.528974793765116,99366.05150456753,7276075.322228931,73.21481982636449
6-7,0.0002527344652509485,99352.28701717065,25.109747130743376,99339.73214360527,7176709.270724364,72.23496797294705
7-8,0.0002531588239693299,99327.1772700399,25.14555138587646,99314.60449434696,7077369.5385807585,71.25310245492608
8-9,0.00027384706689639334,99302.03171865402,27.193570123006022,99288.43493359252,6978054.934086411,70.27101876280719
9-10,0.000310968903551313,99274.83814853101,30.871387569282746,99259.40245474636,6878766.499152819,69.29013058536631
10-11,0.0003606807538888864,99243.96676096173,35.795388750267264,99226.0690665866,6779507.096698073,68.31152883103859
11-12,0.0004192100509128807,99208.17137221147,41.58906257191856,99187.3768409255,6680281.027631486,67.33599596920556
12-13,0.00048311248416299757,99166.58230963955,47.90861392556433,99142.62800267676,6581093.65079056,66.36402604096644
13-14,0.0005494146047544913,99118.67369571398,54.45724693232009,99091.44507224782,6481951.022787883,65.39586115414467
14-15,0.0006155399194091507,99064.21644878166,60.97797980921373,99033.72745887705,6382859.577715635,64.43153548805094
15-16,0.0007159309847928627,99003.23846897244,70.87948601477407,98967.79872596505,6283825.850256758,63.47091213815299
16-17,0.0008259335488952161,98932.35898295767,81.71155435536974,98891.50320577998,6184858.051530792,62.51602726461027
17-18,0.0009081857926110236,98850.6474286023,89.77475358505802,98805.76005180978,6085966.548325012,61.56729072230686
18-19,0.0009543226636388328,98760.87267501724,94.24973907451806,98713.74780547997,5987160.788273202,60.62280158230849
19-20,0.0009712179266497636,98666.62293594272,95.8267929573803,98618.70953946403,5888447.040467722,59.68023294250859
20-21,0.0009759724480426312,98570.79614298535,96.20238121718056,98522.69495237675,5789828.330928259,58.737765722512975
21-22,0.0009819984454184888,98474.59376176816,96.70189798727354,98426.24281277452,5691305.6359758815,57.79465970425234
22-23,0.0009948861799350557,98377.8918637809,97.87480502642097,98328.95446126768,5592879.393163107,56.85097827576237
